,onset,duration,trial_type
445,489.6872,1.0227,foot_left
448,492.2098,1.0226,foot_left
450,494.7325,1.0226,foot_left
452,497.2552,1.0226,foot_left
454,499.7779,1.0226,foot_left
457,502.3006,1.0226,foot_left
459,504.8232,1.0226,foot_left
461,507.3459,1.0226,foot_right
463,509.8685,1.0225,foot_right
466,512.3912,1.0226,foot_right
468,514.9139,1.0226,foot_right
470,517.4365,1.0226,foot_right
472,519.9592,1.0226,foot_right
475,522.4819,1.0226,foot_right
477,525.0046,1.0226,foot_right
479,527.5273,1.0226,foot_right
482,530.0499,1.0226,foot_right
484,532.5726,3.0227,Bfix
486,535.5953,4.0226,Ins_yeux
490,541.618,1.0226,saccade_left
493,544.1407,1.0226,saccade_left
495,546.6634,1.0226,saccade_left
497,549.1861,1.0226,saccade_left
499,551.7088,1.0226,saccade_left
502,554.2314,1.0226,saccade_left
504,556.7541,1.0226,saccade_left
506,559.2768,1.0226,saccade_left
508,561.7995,1.0226,saccade_left
511,564.3221,1.0226,saccade_left
513,566.8448,1.0226,sacaade_right
515,569.3675,1.0226,sacaade_right
517,571.8902,1.0226,sacaade_right
520,574.4129,1.0226,sacaade_right
522,576.9355,1.0226,sacaade_right
524,579.4582,1.0226,sacaade_right
526,581.9809,1.0226,sacaade_right
529,584.5036,1.0226,sacaade_right
531,587.0262,1.0226,sacaade_right
533,589.5489,1.0226,sacaade_right
536,592.0716,3.0227,Bfix
538,595.0943,4.0226,Ins_index
542,601.1169,1.0226,finger_left
545,603.6396,1.0226,finger_left
549,606.1623,1.0226,finger_left
552,608.6849,1.0226,finger_left
555,611.2076,1.0226,finger_left
558,613.7303,1.0226,finger_left
562,616.253,1.0226,finger_left
566,618.7756,1.0226,finger_left
569,621.2983,1.0226,finger_left
572,623.821,1.0226,finger_left
576,626.3437,1.0226,finger_right
579,628.8663,1.0225,finger_right
582,631.389,1.0226,finger_right
585,633.9117,1.0226,finger_right
589,636.4343,1.0226,finger_right
592,638.957,1.0226,finger_right
595,641.4797,1.0226,finger_right
599,644.0023,1.0226,finger_right
602,646.525,1.0226,finger_right
605,649.0477,1.0226,finger_right
608,651.5704,3.0227,Bfix
611,654.5931,4.0226,Ins_main
615,660.6157,1.0226,hand_left
617,663.1384,1.0226,hand_left
619,665.6611,1.0226,hand_left
622,668.1837,1.0226,hand_left
624,670.7064,1.0228,hand_left
626,673.2291,1.0226,hand_left
628,675.7518,1.0226,hand_left
631,678.2745,1.0226,hand_left
633,680.7972,1.0226,hand_left
635,683.3199,1.0226,hand_left
637,685.8425,1.0226,hand_right
640,688.3652,1.0226,hand_right
642,690.8879,1.0226,hand_right
644,693.4105,1.0226,hand_right
646,695.9332,1.0226,hand_right
649,698.4559,1.0226,hand_right
651,700.9785,1.0226,hand_right
653,703.5012,1.0226,hand_right
656,706.0239,1.0226,hand_right
658,708.5466,1.0226,hand_right
