onset	duration	trial_type
215.592	0.421	fixation
216.013	2.119	spatial_congruent
218.132	0.121	spatialcue
218.253	0.418	fixation
218.671	2.121	spatial_congruent
220.792	0.12	doublecue
220.912	0.42	fixation
221.332	2.11	double_incongruent
223.442	0.121	doublecue
223.563	0.42	fixation
223.983	2.12	double_congruent
226.103	0.12	spatialcue
226.223	0.423	fixation
226.646	2.116	spatial_incongruent
228.762	0.121	doublecue
228.883	0.42	fixation
229.303	2.119	double_congruent
231.422	0.12	spatialcue
231.542	0.421	fixation
231.963	2.119	spatial_incongruent
234.082	0.121	doublecue
234.203	0.418	fixation
234.621	2.122	double_congruent
236.743	0.12	doublecue
236.863	0.421	fixation
237.284	2.108	double_incongruent
239.392	0.121	doublecue
239.513	0.421	fixation
239.934	2.119	double_incongruent
242.053	0.12	spatialcue
242.173	0.42	fixation
242.593	2.119	spatial_congruent
244.712	0.116	spatialcue
244.828	0.405	fixation
245.233	2.108	spatial_congruent
247.341	0.122	doublecue
247.463	0.419	fixation
247.882	2.11	double_congruent
249.992	0.121	doublecue
250.113	0.418	fixation
250.531	2.121	double_congruent
252.652	0.121	spatialcue
252.773	0.42	fixation
253.193	2.109	spatial_incongruent
255.302	0.11	spatialcue
255.412	0.422	fixation
255.834	2.119	spatial_congruent
257.953	0.121	doublecue
258.074	0.419	fixation
258.493	2.109	double_incongruent
260.602	0.121	spatialcue
260.723	0.419	fixation
261.142	2.121	spatial_incongruent
263.263	0.12	doublecue
263.383	0.418	fixation
263.801	2.121	double_incongruent
265.922	0.121	spatialcue
266.043	0.419	fixation
266.462	2.11	spatial_congruent
268.572	0.11	doublecue
268.682	0.421	fixation
269.103	2.12	double_congruent
271.223	0.118	doublecue
271.341	0.421	fixation
271.762	2.111	double_incongruent
273.873	0.12	spatialcue
273.993	0.421	fixation
274.414	2.119	spatial_congruent
276.533	0.12	doublecue
276.653	0.418	fixation
277.071	2.111	double_congruent
279.182	0.12	doublecue
279.302	0.421	fixation
279.723	2.111	double_congruent
281.834	0.119	spatialcue
281.953	0.421	fixation
282.374	2.109	spatial_incongruent
284.483	0.12	spatialcue
284.603	0.42	fixation
285.023	2.11	spatial_congruent
287.133	0.12	doublecue
287.253	0.419	fixation
287.672	2.121	double_congruent
289.793	0.118	spatialcue
289.911	0.422	fixation
290.333	2.12	spatial_congruent
292.453	0.119	spatialcue
292.572	0.421	fixation
292.993	2.123	spatial_congruent
295.116	0.119	spatialcue
295.235	0.418	fixation
295.653	2.119	spatial_incongruent
297.772	0.121	spatialcue
297.893	0.41	fixation
298.303	2.119	spatial_incongruent
300.422	0.118	spatialcue
300.54	0.421	fixation
300.961	2.112	spatial_incongruent
303.073	0.12	spatialcue
303.193	0.409	fixation
303.602	2.12	spatial_incongruent
305.722	0.119	doublecue
305.841	0.42	fixation
306.261	2.111	double_incongruent
308.372	0.12	doublecue
308.492	0.421	fixation
308.913	2.104	double_incongruent
311.017	0.115	spatialcue
311.132	0.421	fixation
311.553	2.12	spatial_incongruent
313.673	0.12	spatialcue
313.793	0.42	fixation
314.213	2.12	spatial_incongruent
316.333	0.12	spatialcue
316.453	0.421	fixation
316.874	2.118	spatial_incongruent
318.992	0.12	spatialcue
319.112	0.421	fixation
319.533	2.12	spatial_congruent
321.653	0.119	doublecue
321.772	0.421	fixation
322.193	2.119	double_congruent
324.312	0.12	doublecue
324.432	0.42	fixation
324.852	2.122	double_incongruent
326.974	0.119	spatialcue
327.093	0.42	fixation
327.513	2.11	spatial_congruent
329.623	0.12	spatialcue
329.743	0.42	fixation
330.163	2.119	spatial_congruent
332.282	0.121	spatialcue
332.403	0.421	fixation
332.824	2.119	spatial_congruent
334.943	0.12	spatialcue
335.063	0.42	fixation
335.483	2.109	spatial_incongruent
337.592	0.12	doublecue
337.712	0.421	fixation
338.133	2.12	double_congruent
340.253	0.119	spatialcue
340.372	0.42	fixation
340.792	2.121	spatial_congruent
342.913	0.119	doublecue
343.032	0.422	fixation
343.454	2.109	double_incongruent
345.563	0.119	spatialcue
345.682	0.421	fixation
346.103	2.12	spatial_incongruent
348.223	0.12	doublecue
348.343	0.419	fixation
348.762	2.11	double_incongruent
350.872	0.12	spatialcue
350.992	0.419	fixation
351.411	2.12	spatial_congruent
353.531	10.326	end
