onset	duration	trial_type	gain_amount	loss_amount	num_loss_cards
0.0	1.011	fmri_buffer			
1.011	1.506	test_start_block			
2.517	8.136	card_flip	12.0	-70.0	1.0
10.653	2.592	card_flip	12.0	-70.0	1.0
13.245	1.66	card_flip	12.0	-70.0	1.0
14.905	1.339	card_flip	12.0	-70.0	1.0
16.244	2.04	card_flip	12.0	-70.0	1.0
18.284	2.473	inter_trials			
20.757	10.36	card_flip	14.0	-75.0	1.0
31.117	0.663	card_flip	14.0	-75.0	1.0
31.78	0.486	card_flip	14.0	-75.0	1.0
32.266	0.85	card_flip	14.0	-75.0	1.0
33.116	2.471	inter_trials			
35.587	5.372	card_flip	15.0	-70.0	1.0
40.959	0.441	card_flip	15.0	-70.0	1.0
41.4	0.569	card_flip	15.0	-70.0	1.0
41.969	1.569	card_flip	15.0	-70.0	1.0
43.538	2.538	inter_trials			
46.076	1.593	card_flip	17.0	-75.0	1.0
47.669	1.302	card_flip	17.0	-75.0	1.0
48.971	0.539	card_flip	17.0	-75.0	1.0
49.51	1.077	card_flip	17.0	-75.0	1.0
50.587	2.48	inter_trials			
53.067	7.486	card_flip	24.0	-60.0	2.0
60.553	2.683	inter_trials			
63.236	1.979	card_flip	29.0	-75.0	2.0
65.215	1.277	card_flip	29.0	-75.0	2.0
66.492	1.614	card_flip	29.0	-75.0	2.0
68.106	2.41	inter_trials			
70.516	1.625	card_flip	17.0	-65.0	2.0
72.141	0.601	card_flip	17.0	-65.0	2.0
72.742	2.463	card_flip	17.0	-65.0	2.0
75.205	2.532	inter_trials			
77.737	2.683	card_flip	14.0	-95.0	1.0
80.42	0.382	card_flip	14.0	-95.0	1.0
80.802	0.266	card_flip	14.0	-95.0	1.0
81.068	0.689	card_flip	14.0	-95.0	1.0
81.757	2.609	inter_trials			
84.366	3.226	card_flip	15.0	-65.0	2.0
87.592	2.394	inter_trials			
89.986	2.779	card_flip	17.0	-65.0	2.0
92.765	2.602	inter_trials			
95.367	1.582	card_flip	13.0	-70.0	2.0
96.949	1.366	card_flip	13.0	-70.0	2.0
98.315	2.331	inter_trials			
100.646	1.067	card_flip	15.0	-80.0	2.0
101.713	0.697	card_flip	15.0	-80.0	2.0
102.41	5.322	card_flip	15.0	-80.0	2.0
107.732	2.264	inter_trials			
109.996	1.251	card_flip	14.0	-65.0	3.0
111.247	0.568	card_flip	14.0	-65.0	3.0
111.815	1.884	card_flip	14.0	-65.0	3.0
113.699	1.769	card_flip	14.0	-65.0	3.0
115.468	1.603	card_flip	14.0	-65.0	3.0
117.071	2.465	inter_trials			
119.536	1.969	card_flip	1.0	-45.0	1.0
121.505	3.281	inter_trials			
124.786	1.785	card_flip	15.0	-70.0	3.0
126.571	1.549	card_flip	15.0	-70.0	3.0
128.12	2.268	inter_trials			
130.388	2.744	card_flip	30.0	-50.0	3.0
133.132	2.265	inter_trials			
135.397	1.053	card_flip	17.0	-70.0	2.0
136.45	0.397	card_flip	17.0	-70.0	2.0
