onset	duration	trial_type	gain_amount	loss_amount	num_loss_cards
235.306	2.612	inter_trials			
237.918	1.261	card_flip	15.0	-75.0	2.0
239.179	1.96	card_flip	15.0	-75.0	2.0
241.139	2.34	inter_trials			
243.479	1.333	card_flip	17.0	-75.0	2.0
244.812	0.368	card_flip	17.0	-75.0	2.0
245.18	2.619	inter_trials			
247.799	3.033	card_flip	2.0	-25.0	1.0
250.832	2.155	card_flip	2.0	-25.0	1.0
252.987	0.99	card_flip	2.0	-25.0	1.0
253.977	2.401	inter_trials			
256.378	1.694	card_flip	9.0	-95.0	1.0
258.072	1.006	card_flip	9.0	-95.0	1.0
259.078	0.63	card_flip	9.0	-95.0	1.0
259.708	1.102	card_flip	9.0	-95.0	1.0
260.81	1.004	card_flip	9.0	-95.0	1.0
261.814	2.334	inter_trials			
264.148	2.015	card_flip	11.0	-100.0	1.0
266.163	0.312	card_flip	11.0	-100.0	1.0
266.475	0.247	card_flip	11.0	-100.0	1.0
266.722	0.649	card_flip	11.0	-100.0	1.0
267.371	1.028	card_flip	11.0	-100.0	1.0
268.399	1.065	card_flip	11.0	-100.0	1.0
269.464	2.344	inter_trials			
271.808	1.735	card_flip	16.0	-75.0	2.0
273.543	0.36	card_flip	16.0	-75.0	2.0
273.903	0.501	card_flip	16.0	-75.0	2.0
274.404	0.963	card_flip	16.0	-75.0	2.0
275.367	2.253	card_flip	16.0	-75.0	2.0
277.62	0.715	card_flip	16.0	-75.0	2.0
278.335	2.333	inter_trials			
280.668	3.843	card_flip	17.0	-80.0	2.0
284.511	0.46	card_flip	17.0	-80.0	2.0
284.971	0.781	card_flip	17.0	-80.0	2.0
285.752	2.397	inter_trials			
288.149	10.01	rest_block			
298.159	4.221	card_flip	13.0	-70.0	1.0
302.38	2.26	inter_trials			
304.64	2.866	card_flip	15.0	-80.0	1.0
307.506	1.222	card_flip	15.0	-80.0	1.0
308.728	1.409	card_flip	15.0	-80.0	1.0
310.137	0.787	card_flip	15.0	-80.0	1.0
310.924	2.404	inter_trials			
313.328	3.556	card_flip	16.0	-75.0	1.0
316.884	0.431	card_flip	16.0	-75.0	1.0
317.315	0.421	card_flip	16.0	-75.0	1.0
317.736	2.603	inter_trials			
320.339	1.401	card_flip	21.0	-55.0	2.0
321.74	0.368	card_flip	21.0	-55.0	2.0
322.108	0.778	card_flip	21.0	-55.0	2.0
322.886	2.673	inter_trials			
325.559	1.405	card_flip	26.0	-65.0	2.0
326.964	0.464	card_flip	26.0	-65.0	2.0
327.428	2.41	inter_trials			
329.838	1.975	card_flip	15.0	-60.0	2.0
331.813	2.405	inter_trials			
334.218	1.113	card_flip	13.0	-90.0	1.0
335.331	2.278	inter_trials			
337.609	2.371	card_flip	15.0	-95.0	1.0
339.98	0.669	card_flip	15.0	-95.0	1.0
340.649	2.34	inter_trials			
342.989	2.298	card_flip	16.0	-65.0	2.0
345.287	1.223	card_flip	16.0	-65.0	2.0
346.51	0.501	card_flip	16.0	-65.0	2.0
347.011	2.269	inter_trials			
349.28	1.973	card_flip	7.0	-95.0	1.0
351.253	2.276	inter_trials			
353.529	3.824	card_flip	14.0	-75.0	2.0
357.353	0.837	card_flip	14.0	-75.0	2.0
358.19	2.399	inter_trials			
360.589	1.486	card_flip	15.0	-70.0	2.0
362.075	0.638	card_flip	15.0	-70.0	2.0
362.713	2.406	inter_trials			
365.119	1.209	card_flip	16.0	-70.0	3.0
366.328	2.741	inter_trials			
369.069	1.281	card_flip	14.0	-65.0	3.0
370.35	2.479	inter_trials			
372.829	1.404	card_flip	16.0	-75.0	3.0
374.233	2.337	inter_trials			
376.57	1.304	card_flip	16.0	-80.0	2.0
377.874	0.611	card_flip	16.0	-80.0	2.0
378.485	0.704	card_flip	16.0	-80.0	2.0
379.189	2.342	inter_trials			
381.531	1.191	card_flip	17.0	-80.0	2.0
382.722	0.459	card_flip	17.0	-80.0	2.0
383.181	1.104	card_flip	17.0	-80.0	2.0
384.285	0.675	card_flip	17.0	-80.0	2.0
384.96	2.608	inter_trials			
