onset	duration	trial_type	large_amount	later_delay
0.0	1.009	fmri_buffer	stim	stim
1.009	1.521	test_start_block	stim	stim
2.53	5.837	stim	31.0	76.0
8.367	4.59	stim	43.0	19.0
12.957	4.649	stim	60.0	124.0
17.606	4.92	stim	27.0	142.0
22.526	4.521	stim	25.0	70.0
27.047	4.99	stim	44.0	92.0
32.037	4.92	stim	41.0	27.0
36.957	4.58	stim	64.0	89.0
41.537	4.52	stim	78.0	108.0
46.057	6.21	stim	80.0	145.0
52.267	4.72	stim	41.0	174.0
56.987	5.06	stim	42.0	145.0
62.047	5.06	stim	36.0	114.0
67.107	5.2	stim	58.0	55.0
72.307	4.991	stim	81.0	58.0
77.298	4.779	stim	32.0	111.0
82.077	4.79	stim	25.0	141.0
86.867	5.2	stim	67.0	23.0
92.067	5.201	stim	77.0	161.0
97.268	5.268	stim	55.0	163.0
102.536	4.582	stim	40.0	159.0
107.118	4.518	stim	76.0	161.0
111.636	4.919	stim	48.0	128.0
116.555	4.571	stim	39.0	95.0
121.126	6.21	stim	83.0	105.0
127.336	4.931	stim	67.0	41.0
132.267	5.27	stim	56.0	172.0
137.537	5.06	stim	28.0	123.0
142.597	4.64	stim	50.0	129.0
147.237	4.709	stim	23.0	61.0
151.946	4.65	stim	79.0	92.0
156.596	4.591	stim	61.0	141.0
161.187	4.59	stim	43.0	38.0
165.777	4.919	stim	66.0	145.0
170.696	4.86	stim	30.0	23.0
175.556	5.261	stim	32.0	57.0
180.817	4.789	stim	27.0	91.0
185.606	6.001	stim	43.0	120.0
191.607	5.599	stim	75.0	60.0
197.206	4.581	stim	34.0	176.0
201.787	5.12	stim	24.0	38.0
206.907	5.659	stim	82.0	74.0
212.566	4.58	stim	58.0	53.0
217.146	4.79	stim	54.0	23.0
221.936	5.05	stim	41.0	55.0
226.986	4.86	stim	77.0	142.0
231.846	5.201	stim	25.0	108.0
237.047	5.049	stim	33.0	163.0
242.096	4.98	stim	29.0	75.0
247.076	4.981	stim	45.0	157.0
252.057	5.319	stim	31.0	74.0
257.376	4.521	stim	80.0	39.0
261.897	5.049	stim	22.0	21.0
266.946	4.711	stim	52.0	139.0
271.657	4.859	stim	54.0	126.0
276.516	6.811	stim	23.0	176.0
283.327	4.509	stim	24.0	87.0
287.836	4.581	stim	36.0	140.0
292.417	4.719	stim	35.0	171.0
297.136	4.92	stim	34.0	43.0
302.056	4.58	stim	74.0	121.0
306.636	7.52	rest_block	stim	stim
314.156	5.8	stim	45.0	107.0
319.956	4.64	stim	77.0	24.0
324.596	4.581	stim	39.0	161.0
329.177	5.459	stim	62.0	180.0
334.636	5.4	stim	24.0	139.0
340.036	4.59	stim	58.0	72.0
344.626	6.28	stim	56.0	93.0
350.906	5.539	stim	45.0	26.0
356.445	4.581	stim	23.0	42.0
361.026	4.64	stim	50.0	41.0
365.666	4.64	stim	25.0	176.0
370.306	5.12	stim	54.0	22.0
375.426	5.329	stim	29.0	44.0
380.755	4.581	stim	24.0	89.0
385.336	4.58	stim	23.0	77.0
389.916	4.581	stim	27.0	130.0
394.497	4.849	stim	23.0	134.0
399.346	4.519	stim	55.0	107.0
403.865	5.661	stim	44.0	143.0
409.526	4.92	stim	23.0	110.0
414.446	4.64	stim	65.0	156.0
419.086	4.523	stim	22.0	27.0
423.609	4.506	stim	50.0	59.0
428.115	5.121	stim	85.0	129.0
433.236	6.139	stim	66.0	58.0
439.375	4.851	stim	49.0	172.0
444.226	4.58	stim	73.0	44.0
448.806	4.72	stim	58.0	73.0
453.526	5.87	stim	71.0	76.0
459.396	4.641	stim	67.0	74.0
464.037	5.319	stim	29.0	58.0
469.356	4.98	stim	39.0	104.0
474.336	4.57	stim	33.0	103.0
478.906	5.53	stim	33.0	78.0
484.436	5.6	stim	74.0	52.0
490.036	5.8	stim	28.0	132.0
495.836	4.58	stim	28.0	59.0
500.416	5.12	stim	28.0	163.0
505.536	4.52	stim	32.0	74.0
510.056	4.86	stim	57.0	89.0
514.916	4.58	stim	70.0	108.0
519.496	5.4	stim	72.0	95.0
524.896	5.048	stim	30.0	36.0
529.944	4.722	stim	41.0	129.0
534.666	4.93	stim	78.0	129.0
539.596	4.92	stim	71.0	88.0
544.516	4.86	stim	65.0	159.0
549.376	5.12	stim	24.0	125.0
554.496	5.13	stim	58.0	36.0
559.626	4.72	stim	63.0	37.0
564.346	4.849	stim	75.0	41.0
569.195	4.862	stim	45.0	72.0
574.057	6.899	stim	25.0	74.0
580.956	4.58	stim	65.0	137.0
585.536	4.78	stim	49.0	140.0
590.316	7.021	stim	67.0	103.0
597.337	4.72	stim	69.0	172.0
602.057	5.189	stim	66.0	71.0
607.246	5.051	stim	71.0	176.0
612.297	7.309	end	stim	stim
