onset	duration	trial_type
0.0	1.018	fmri_buffer
1.018	1.521	test_start_block
2.539	1.031	cue_BY
3.57	2.009	fixation
5.579	1.659	probe_BY
7.238	0.521	cue_AY
7.759	2.011	fixation
9.77	1.518	probe_AY
11.288	0.52	cue_AX
11.808	2.019	fixation
13.827	2.051	probe_AX
15.878	0.521	cue_BY
16.399	2.021	fixation
18.42	1.779	probe_BY
20.199	0.51	cue_BX
20.709	2.021	fixation
22.73	1.658	probe_BX
24.388	0.521	cue_AX
24.909	2.019	fixation
26.928	1.639	probe_AX
28.567	0.522	cue_AX
29.089	2.008	fixation
31.097	1.521	probe_AX
32.618	0.521	cue_AX
33.139	2.019	fixation
35.158	1.52	probe_AX
36.678	0.511	cue_AY
37.189	2.021	fixation
39.21	2.048	probe_AY
41.258	0.522	cue_AX
41.78	2.01	fixation
43.79	2.458	probe_AX
46.248	0.521	cue_AX
46.769	2.02	fixation
48.789	1.92	probe_AX
50.709	0.521	cue_AX
51.23	2.019	fixation
53.249	1.518	probe_AX
54.767	0.559	cue_AX
55.326	2.018	fixation
57.344	1.925	probe_AX
59.269	0.52	cue_BX
59.789	2.022	fixation
61.811	2.187	probe_BX
63.998	0.522	cue_AX
64.52	2.019	fixation
66.539	1.518	probe_AX
68.057	0.522	cue_BY
68.579	2.021	fixation
70.6	1.919	probe_BY
72.519	0.521	cue_BX
73.04	2.008	fixation
75.048	2.321	probe_BX
77.369	0.52	cue_AY
77.889	2.01	fixation
79.899	2.32	probe_AY
82.219	0.52	cue_BX
82.739	2.01	fixation
84.749	1.639	probe_BX
86.388	0.511	cue_AY
86.899	2.01	fixation
88.909	1.51	probe_AY
90.419	0.52	cue_BY
90.939	2.02	fixation
92.959	1.92	probe_BY
94.879	0.52	cue_AX
95.399	2.02	fixation
97.419	1.509	probe_AX
98.928	0.521	cue_AY
99.449	2.011	fixation
101.46	2.338	probe_AY
103.798	0.522	cue_AX
104.32	2.02	fixation
106.34	1.508	probe_AX
107.848	0.522	cue_AY
108.37	2.021	fixation
110.391	2.727	probe_AY
113.118	0.521	cue_AX
113.639	2.02	fixation
115.659	1.52	probe_AX
117.179	0.52	cue_AX
117.699	2.01	fixation
119.709	1.64	probe_AX
121.349	0.509	cue_AX
121.858	2.021	fixation
123.879	1.639	probe_AX
125.518	0.521	cue_AX
126.039	2.01	fixation
128.049	1.779	probe_AX
129.828	0.52	cue_BY
130.348	2.022	fixation
132.37	1.778	probe_BY
134.148	0.521	cue_AX
134.669	2.022	fixation
136.691	1.518	probe_AX
138.209	0.521	cue_BY
138.73	2.02	fixation
140.75	2.458	probe_BY
