onset	duration	trial_type	large_amount	later_delay
0.0	1.019	fmri_buffer	stim	stim
1.019	1.518	test_start_block	stim	stim
2.537	5.839	stim	31.0	76.0
8.376	4.58	stim	43.0	19.0
12.956	4.649	stim	60.0	124.0
17.605	4.92	stim	27.0	142.0
22.525	4.51	stim	25.0	70.0
27.035	4.98	stim	44.0	92.0
32.015	4.92	stim	41.0	27.0
36.935	4.58	stim	64.0	89.0
41.515	4.51	stim	78.0	108.0
46.025	6.211	stim	80.0	145.0
52.236	4.719	stim	41.0	174.0
56.955	5.061	stim	42.0	145.0
62.016	5.059	stim	36.0	114.0
67.075	5.191	stim	58.0	55.0
72.266	4.979	stim	81.0	58.0
77.245	4.791	stim	32.0	111.0
82.036	4.777	stim	25.0	141.0
86.813	5.203	stim	67.0	23.0
92.016	5.189	stim	77.0	161.0
97.205	5.26	stim	55.0	163.0
102.465	4.582	stim	40.0	159.0
107.047	4.508	stim	76.0	161.0
111.555	4.92	stim	48.0	128.0
116.475	4.58	stim	39.0	95.0
121.055	6.22	stim	83.0	105.0
127.275	4.92	stim	67.0	41.0
132.195	5.259	stim	56.0	172.0
137.454	5.061	stim	28.0	123.0
142.515	4.64	stim	50.0	129.0
147.155	4.71	stim	23.0	61.0
151.865	4.649	stim	79.0	92.0
156.514	4.581	stim	61.0	141.0
161.095	4.58	stim	43.0	38.0
165.675	4.92	stim	66.0	145.0
170.595	4.86	stim	30.0	23.0
175.455	5.26	stim	32.0	57.0
180.715	4.79	stim	27.0	91.0
185.505	6.01	stim	43.0	120.0
191.515	5.61	stim	75.0	60.0
197.125	4.589	stim	34.0	176.0
201.714	5.12	stim	24.0	38.0
206.834	5.671	stim	82.0	74.0
212.505	4.58	stim	58.0	53.0
217.085	4.78	stim	54.0	23.0
221.865	5.06	stim	41.0	55.0
226.925	4.86	stim	77.0	142.0
231.785	5.19	stim	25.0	108.0
236.975	5.051	stim	33.0	163.0
242.026	4.988	stim	29.0	75.0
247.014	4.98	stim	45.0	157.0
251.994	5.321	stim	31.0	74.0
257.315	4.51	stim	80.0	39.0
261.825	5.049	stim	22.0	21.0
266.874	4.72	stim	52.0	139.0
271.594	4.861	stim	54.0	126.0
276.455	6.8	stim	23.0	176.0
283.255	4.51	stim	24.0	87.0
287.765	4.579	stim	36.0	140.0
292.344	4.72	stim	35.0	171.0
297.064	4.921	stim	34.0	43.0
301.985	4.579	stim	74.0	121.0
306.564	7.512	rest_block	stim	stim
314.076	5.799	stim	45.0	107.0
319.875	4.64	stim	77.0	24.0
324.515	4.58	stim	39.0	161.0
329.095	5.47	stim	62.0	180.0
334.565	5.39	stim	24.0	139.0
339.955	4.579	stim	58.0	72.0
344.534	6.27	stim	56.0	93.0
350.804	5.541	stim	45.0	26.0
356.345	4.579	stim	23.0	42.0
360.924	4.652	stim	50.0	41.0
365.576	4.648	stim	25.0	176.0
370.224	5.121	stim	54.0	22.0
375.345	5.33	stim	29.0	44.0
380.675	4.589	stim	24.0	89.0
385.264	4.58	stim	23.0	77.0
389.844	4.591	stim	27.0	130.0
394.435	4.859	stim	23.0	134.0
399.294	4.52	stim	55.0	107.0
403.814	5.661	stim	44.0	143.0
409.475	4.93	stim	23.0	110.0
414.405	4.639	stim	65.0	156.0
419.044	4.523	stim	22.0	27.0
423.567	4.509	stim	50.0	59.0
428.076	5.129	stim	85.0	129.0
433.205	6.14	stim	66.0	58.0
439.345	4.85	stim	49.0	172.0
444.195	4.58	stim	73.0	44.0
448.775	4.719	stim	58.0	73.0
453.494	5.871	stim	71.0	76.0
459.365	4.64	stim	67.0	74.0
464.005	5.32	stim	29.0	58.0
469.325	4.979	stim	39.0	104.0
474.304	4.571	stim	33.0	103.0
478.875	5.53	stim	33.0	78.0
484.405	5.59	stim	74.0	52.0
489.995	5.798	stim	28.0	132.0
495.793	4.582	stim	28.0	59.0
500.375	5.12	stim	28.0	163.0
505.495	4.509	stim	32.0	74.0
510.004	4.86	stim	57.0	89.0
514.864	4.581	stim	70.0	108.0
519.445	5.399	stim	72.0	95.0
524.844	5.06	stim	30.0	36.0
529.904	4.72	stim	41.0	129.0
534.624	4.931	stim	78.0	129.0
539.555	4.92	stim	71.0	88.0
544.475	4.858	stim	65.0	159.0
549.333	5.121	stim	24.0	125.0
554.454	5.12	stim	58.0	36.0
559.574	4.721	stim	63.0	37.0
564.295	4.849	stim	75.0	41.0
569.144	4.86	stim	45.0	72.0
574.004	6.891	stim	25.0	74.0
580.895	4.59	stim	65.0	137.0
585.485	4.789	stim	49.0	140.0
590.274	7.031	stim	67.0	103.0
597.305	4.71	stim	69.0	172.0
602.015	5.19	stim	66.0	71.0
607.205	5.049	stim	71.0	176.0
612.254	7.528	end	stim	stim
