onset	duration	trial_type	gain_amount	loss_amount	num_loss_cards
0.0	1.02	fmri_buffer			
1.02	1.507	test_start_block			
2.527	3.265	card_flip	12.0	-70.0	1.0
5.792	0.585	card_flip	12.0	-70.0	1.0
6.377	0.808	card_flip	12.0	-70.0	1.0
7.185	2.619	card_flip	12.0	-70.0	1.0
9.804	2.475	inter_trials			
12.279	1.313	card_flip	14.0	-75.0	1.0
13.592	0.419	card_flip	14.0	-75.0	1.0
14.011	2.466	inter_trials			
16.477	0.707	card_flip	15.0	-70.0	1.0
17.184	0.827	card_flip	15.0	-70.0	1.0
18.011	1.293	card_flip	15.0	-70.0	1.0
19.304	2.544	inter_trials			
21.848	0.871	card_flip	17.0	-75.0	1.0
22.719	0.883	card_flip	17.0	-75.0	1.0
23.602	2.474	inter_trials			
26.076	0.904	card_flip	24.0	-60.0	2.0
26.98	2.679	inter_trials			
29.659	1.059	card_flip	29.0	-75.0	2.0
30.718	0.779	card_flip	29.0	-75.0	2.0
31.497	2.4	inter_trials			
33.897	0.863	card_flip	17.0	-65.0	2.0
34.76	0.881	card_flip	17.0	-65.0	2.0
35.641	2.547	inter_trials			
38.188	0.897	card_flip	14.0	-95.0	1.0
39.085	1.691	card_flip	14.0	-95.0	1.0
40.776	0.769	card_flip	14.0	-95.0	1.0
41.545	0.753	card_flip	14.0	-95.0	1.0
42.298	0.773	card_flip	14.0	-95.0	1.0
43.071	2.605	inter_trials			
45.676	1.116	card_flip	15.0	-65.0	2.0
46.792	0.553	card_flip	15.0	-65.0	2.0
47.345	2.393	inter_trials			
49.738	0.8	card_flip	17.0	-65.0	2.0
50.538	2.61	inter_trials			
53.148	0.844	card_flip	13.0	-70.0	2.0
53.992	0.63	card_flip	13.0	-70.0	2.0
54.622	0.685	card_flip	13.0	-70.0	2.0
55.307	2.341	inter_trials			
57.648	1.698	card_flip	15.0	-80.0	2.0
59.346	0.678	card_flip	15.0	-80.0	2.0
60.024	0.765	card_flip	15.0	-80.0	2.0
60.789	2.259	inter_trials			
63.048	1.249	card_flip	14.0	-65.0	3.0
64.297	0.464	card_flip	14.0	-65.0	3.0
64.761	0.401	card_flip	14.0	-65.0	3.0
65.162	0.793	card_flip	14.0	-65.0	3.0
65.955	2.52	inter_trials			
68.475	1.104	card_flip	1.0	-45.0	1.0
69.579	3.279	inter_trials			
72.858	0.955	card_flip	15.0	-70.0	3.0
73.813	0.416	card_flip	15.0	-70.0	3.0
74.229	2.27	inter_trials			
76.499	2.257	card_flip	30.0	-50.0	3.0
78.756	2.271	inter_trials			
81.027	1.015	card_flip	17.0	-70.0	2.0
82.042	0.687	card_flip	17.0	-70.0	2.0
82.729	0.574	card_flip	17.0	-70.0	2.0
83.303	2.344	inter_trials			
85.647	0.977	card_flip	7.0	-95.0	1.0
86.624	0.358	card_flip	7.0	-95.0	1.0
86.982	0.55	card_flip	7.0	-95.0	1.0
87.532	0.55	card_flip	7.0	-95.0	1.0
88.082	0.977	card_flip	7.0	-95.0	1.0
89.059	1.961	card_flip	7.0	-95.0	1.0
91.02	2.401	card_flip	7.0	-95.0	1.0
93.421	1.895	card_flip	7.0	-95.0	1.0
95.316	2.731	inter_trials			
98.047	1.493	card_flip	9.0	-100.0	1.0
99.54	0.49	card_flip	9.0	-100.0	1.0
100.03	0.628	card_flip	9.0	-100.0	1.0
100.658	0.624	card_flip	9.0	-100.0	1.0
101.282	0.962	card_flip	9.0	-100.0	1.0
102.244	0.577	card_flip	9.0	-100.0	1.0
102.821	0.491	card_flip	9.0	-100.0	1.0
103.312	0.482	card_flip	9.0	-100.0	1.0
103.794	2.392	inter_trials			
106.186	1.751	card_flip	15.0	-80.0	2.0
107.937	0.59	card_flip	15.0	-80.0	2.0
108.527	0.528	card_flip	15.0	-80.0	2.0
109.055	1.075	card_flip	15.0	-80.0	2.0
110.13	0.9	card_flip	15.0	-80.0	2.0
111.03	2.328	inter_trials			
113.358	1.14	card_flip	16.0	-70.0	2.0
114.498	1.482	card_flip	16.0	-70.0	2.0
115.98	0.468	card_flip	16.0	-70.0	2.0
116.448	1.762	card_flip	16.0	-70.0	2.0
118.21	2.28	inter_trials			
120.49	3.102	card_flip	30.0	-45.0	5.0
123.592	0.718	card_flip	30.0	-45.0	5.0
124.31	2.259	inter_trials			
126.569	1.336	card_flip	13.0	-75.0	1.0
127.905	0.754	card_flip	13.0	-75.0	1.0
128.659	0.86	card_flip	13.0	-75.0	1.0
129.519	0.789	card_flip	13.0	-75.0	1.0
130.308	2.459	inter_trials			
132.767	1.175	card_flip	14.0	-70.0	1.0
133.942	0.527	card_flip	14.0	-70.0	1.0
134.469	0.679	card_flip	14.0	-70.0	1.0
135.148	2.469	inter_trials			
137.617	0.741	card_flip	16.0	-80.0	1.0
138.358	0.474	card_flip	16.0	-80.0	1.0
138.832	2.535	inter_trials			
141.367	0.462	card_flip	17.0	-70.0	1.0
141.829	0.533	card_flip	17.0	-70.0	1.0
142.362	2.405	inter_trials			
144.767	0.939	card_flip	25.0	-65.0	2.0
145.706	1.149	card_flip	25.0	-65.0	2.0
146.855	0.664	card_flip	25.0	-65.0	2.0
147.519	2.458	inter_trials			
149.977	0.794	card_flip	30.0	-80.0	2.0
150.771	1.071	card_flip	30.0	-80.0	2.0
151.842	0.617	card_flip	30.0	-80.0	2.0
152.459	2.548	inter_trials			
155.007	0.693	card_flip	13.0	-95.0	1.0
155.7	0.569	card_flip	13.0	-95.0	1.0
156.269	0.487	card_flip	13.0	-95.0	1.0
156.756	0.744	card_flip	13.0	-95.0	1.0
157.5	2.538	inter_trials			
160.038	1.278	card_flip	14.0	-90.0	1.0
161.316	0.999	card_flip	14.0	-90.0	1.0
162.315	0.452	card_flip	14.0	-90.0	1.0
162.767	0.42	card_flip	14.0	-90.0	1.0
163.187	0.464	card_flip	14.0	-90.0	1.0
163.651	0.604	card_flip	14.0	-90.0	1.0
164.255	2.613	inter_trials			
166.868	3.102	card_flip	16.0	-70.0	2.0
169.97	0.483	card_flip	16.0	-70.0	2.0
170.453	0.919	card_flip	16.0	-70.0	2.0
171.372	2.474	inter_trials			
173.846	3.576	card_flip	7.0	-100.0	1.0
177.422	0.582	card_flip	7.0	-100.0	1.0
178.004	1.542	card_flip	7.0	-100.0	1.0
179.546	1.263	card_flip	7.0	-100.0	1.0
180.809	0.393	card_flip	7.0	-100.0	1.0
181.202	2.325	inter_trials			
183.527	1.329	card_flip	14.0	-80.0	2.0
184.856	0.512	card_flip	14.0	-80.0	2.0
185.368	1.615	card_flip	14.0	-80.0	2.0
186.983	2.265	inter_trials			
189.248	1.903	card_flip	15.0	-75.0	2.0
191.151	0.739	card_flip	15.0	-75.0	2.0
191.89	2.667	inter_trials			
194.557	0.922	card_flip	15.0	-65.0	3.0
195.479	0.52	card_flip	15.0	-65.0	3.0
195.999	2.468	inter_trials			
198.467	0.804	card_flip	14.0	-70.0	3.0
199.271	0.463	card_flip	14.0	-70.0	3.0
199.734	0.546	card_flip	14.0	-70.0	3.0
200.28	2.398	inter_trials			
202.678	1.642	card_flip	11.0	-30.0	5.0
204.32	2.616	inter_trials			
206.936	0.918	card_flip	15.0	-75.0	2.0
207.854	2.343	inter_trials			
210.197	1.615	card_flip	17.0	-75.0	2.0
211.812	0.917	card_flip	17.0	-75.0	2.0
212.729	0.651	card_flip	17.0	-75.0	2.0
213.38	2.608	inter_trials			
215.988	1.317	card_flip	2.0	-25.0	1.0
217.305	0.542	card_flip	2.0	-25.0	1.0
217.847	0.53	card_flip	2.0	-25.0	1.0
218.377	0.514	card_flip	2.0	-25.0	1.0
218.891	0.479	card_flip	2.0	-25.0	1.0
219.37	0.484	card_flip	2.0	-25.0	1.0
219.854	0.951	card_flip	2.0	-25.0	1.0
220.805	2.402	inter_trials			
223.207	1.018	card_flip	9.0	-95.0	1.0
224.225	0.617	card_flip	9.0	-95.0	1.0
224.842	0.925	card_flip	9.0	-95.0	1.0
225.767	0.931	card_flip	9.0	-95.0	1.0
226.698	0.552	card_flip	9.0	-95.0	1.0
227.25	1.07	card_flip	9.0	-95.0	1.0
228.32	2.336	inter_trials			
230.656	1.471	card_flip	11.0	-100.0	1.0
232.127	0.529	card_flip	11.0	-100.0	1.0
232.656	0.896	card_flip	11.0	-100.0	1.0
233.552	0.752	card_flip	11.0	-100.0	1.0
234.304	0.531	card_flip	11.0	-100.0	1.0
234.835	2.342	inter_trials			
237.177	1.207	card_flip	16.0	-75.0	2.0
238.384	0.422	card_flip	16.0	-75.0	2.0
238.806	0.863	card_flip	16.0	-75.0	2.0
239.669	2.347	inter_trials			
242.016	1.076	card_flip	17.0	-80.0	2.0
243.092	1.751	card_flip	17.0	-80.0	2.0
244.843	1.555	card_flip	17.0	-80.0	2.0
246.398	2.411	inter_trials			
248.809	10.008	rest_block			
