onset	duration	trial_type	large_amount	later_delay
0.0	1.015	fmri_buffer	stim	stim
1.015	1.519	test_start_block	stim	stim
2.534	5.838	stim	31.0	76.0
8.372	4.59	stim	43.0	19.0
12.962	4.648	stim	60.0	124.0
17.61	4.931	stim	27.0	142.0
22.541	4.52	stim	25.0	70.0
27.061	4.98	stim	44.0	92.0
32.041	4.93	stim	41.0	27.0
36.971	4.589	stim	64.0	89.0
41.56	4.521	stim	78.0	108.0
46.081	6.221	stim	80.0	145.0
52.302	4.708	stim	41.0	174.0
57.01	5.061	stim	42.0	145.0
62.071	5.05	stim	36.0	114.0
67.121	5.2	stim	58.0	55.0
72.321	4.989	stim	81.0	58.0
77.31	4.781	stim	32.0	111.0
82.091	4.79	stim	25.0	141.0
86.881	5.189	stim	67.0	23.0
92.07	5.191	stim	77.0	161.0
97.261	5.26	stim	55.0	163.0
102.521	4.59	stim	40.0	159.0
107.111	4.511	stim	76.0	161.0
111.622	4.918	stim	48.0	128.0
116.54	4.581	stim	39.0	95.0
121.121	6.21	stim	83.0	105.0
127.331	4.92	stim	67.0	41.0
132.251	5.27	stim	56.0	172.0
137.521	5.059	stim	28.0	123.0
142.58	4.65	stim	50.0	129.0
147.23	4.711	stim	23.0	61.0
151.941	4.639	stim	79.0	92.0
156.58	4.58	stim	61.0	141.0
161.16	4.581	stim	43.0	38.0
165.741	4.93	stim	66.0	145.0
170.671	4.858	stim	30.0	23.0
175.529	5.263	stim	32.0	57.0
180.792	4.788	stim	27.0	91.0
185.58	6.001	stim	43.0	120.0
191.581	5.609	stim	75.0	60.0
197.19	4.581	stim	34.0	176.0
201.771	5.12	stim	24.0	38.0
206.891	5.67	stim	82.0	74.0
212.561	4.58	stim	58.0	53.0
217.141	4.79	stim	54.0	23.0
221.931	5.049	stim	41.0	55.0
226.98	4.851	stim	77.0	142.0
231.831	5.199	stim	25.0	108.0
237.03	5.06	stim	33.0	163.0
242.09	4.989	stim	29.0	75.0
247.079	4.992	stim	45.0	157.0
252.071	5.319	stim	31.0	74.0
257.39	4.51	stim	80.0	39.0
261.9	5.05	stim	22.0	21.0
266.95	4.71	stim	52.0	139.0
271.66	4.86	stim	54.0	126.0
276.52	6.81	stim	23.0	176.0
283.33	4.511	stim	24.0	87.0
287.841	4.589	stim	36.0	140.0
292.43	4.71	stim	35.0	171.0
297.14	4.921	stim	34.0	43.0
302.061	4.59	stim	74.0	121.0
306.651	7.519	rest_block	stim	stim
314.17	5.81	stim	45.0	107.0
319.98	4.64	stim	77.0	24.0
324.62	4.59	stim	39.0	161.0
329.21	5.46	stim	62.0	180.0
334.67	5.4	stim	24.0	139.0
340.07	4.579	stim	58.0	72.0
344.649	6.291	stim	56.0	93.0
350.94	5.54	stim	45.0	26.0
356.48	4.579	stim	23.0	42.0
361.059	4.64	stim	50.0	41.0
365.699	4.642	stim	25.0	176.0
370.341	5.119	stim	54.0	22.0
375.46	5.32	stim	29.0	44.0
380.78	4.57	stim	24.0	89.0
385.35	4.589	stim	23.0	77.0
389.939	4.581	stim	27.0	130.0
394.52	4.861	stim	23.0	134.0
399.381	4.52	stim	55.0	107.0
403.901	5.679	stim	44.0	143.0
409.58	4.92	stim	23.0	110.0
414.5	4.64	stim	65.0	156.0
419.14	4.531	stim	22.0	27.0
423.671	4.508	stim	50.0	59.0
428.179	5.131	stim	85.0	129.0
433.31	6.139	stim	66.0	58.0
439.449	4.851	stim	49.0	172.0
444.3	4.58	stim	73.0	44.0
448.88	4.72	stim	58.0	73.0
453.6	5.88	stim	71.0	76.0
459.48	4.65	stim	67.0	74.0
464.13	5.32	stim	29.0	58.0
469.45	4.99	stim	39.0	104.0
474.44	4.589	stim	33.0	103.0
479.029	5.54	stim	33.0	78.0
484.569	5.601	stim	74.0	52.0
490.17	5.81	stim	28.0	132.0
495.98	4.59	stim	28.0	59.0
500.57	5.131	stim	28.0	163.0
505.701	4.518	stim	32.0	74.0
510.219	4.86	stim	57.0	89.0
515.079	4.581	stim	70.0	108.0
519.66	5.4	stim	72.0	95.0
525.06	5.061	stim	30.0	36.0
530.121	4.709	stim	41.0	129.0
534.83	4.92	stim	78.0	129.0
539.75	4.92	stim	71.0	88.0
544.67	4.85	stim	65.0	159.0
549.52	5.12	stim	24.0	125.0
554.64	5.12	stim	58.0	36.0
559.76	4.72	stim	63.0	37.0
564.48	4.849	stim	75.0	41.0
569.329	4.86	stim	45.0	72.0
574.189	6.901	stim	25.0	74.0
581.09	4.581	stim	65.0	137.0
585.671	4.789	stim	49.0	140.0
590.46	7.02	stim	67.0	103.0
597.48	4.71	stim	69.0	172.0
602.19	5.199	stim	66.0	71.0
607.389	5.051	stim	71.0	176.0
612.44	5.531	end	stim	stim
