onset	duration	trial_type	gain_amount	loss_amount	num_loss_cards
0.0	1.013	fmri_buffer			
1.013	1.521	test_start_block			
2.534	1.658	card_flip	12.0	-70.0	1.0
4.192	2.471	inter_trials			
6.663	0.997	card_flip	14.0	-75.0	1.0
7.66	0.649	card_flip	14.0	-75.0	1.0
8.309	0.682	card_flip	14.0	-75.0	1.0
8.991	2.482	inter_trials			
11.473	0.577	card_flip	15.0	-70.0	1.0
12.05	0.65	card_flip	15.0	-70.0	1.0
12.7	0.517	card_flip	15.0	-70.0	1.0
13.217	2.536	inter_trials			
15.753	0.74	card_flip	17.0	-75.0	1.0
16.493	1.163	card_flip	17.0	-75.0	1.0
17.656	2.478	inter_trials			
20.134	0.476	card_flip	24.0	-60.0	2.0
20.61	0.385	card_flip	24.0	-60.0	2.0
20.995	0.47	card_flip	24.0	-60.0	2.0
21.465	2.678	inter_trials			
24.143	0.659	card_flip	29.0	-75.0	2.0
24.802	0.397	card_flip	29.0	-75.0	2.0
25.199	0.432	card_flip	29.0	-75.0	2.0
25.631	2.401	inter_trials			
28.032	0.643	card_flip	17.0	-65.0	2.0
28.675	0.403	card_flip	17.0	-65.0	2.0
29.078	2.534	inter_trials			
31.612	0.603	card_flip	14.0	-95.0	1.0
32.215	0.398	card_flip	14.0	-95.0	1.0
32.613	0.946	card_flip	14.0	-95.0	1.0
33.559	0.585	card_flip	14.0	-95.0	1.0
34.144	0.699	card_flip	14.0	-95.0	1.0
34.843	2.611	inter_trials			
37.454	0.85	card_flip	15.0	-65.0	2.0
38.304	0.393	card_flip	15.0	-65.0	2.0
38.697	2.405	inter_trials			
41.102	0.787	card_flip	17.0	-65.0	2.0
41.889	0.849	card_flip	17.0	-65.0	2.0
42.738	0.428	card_flip	17.0	-65.0	2.0
43.166	2.617	inter_trials			
45.783	0.769	card_flip	13.0	-70.0	2.0
46.552	2.341	inter_trials			
48.893	0.703	card_flip	15.0	-80.0	2.0
49.596	0.362	card_flip	15.0	-80.0	2.0
49.958	0.596	card_flip	15.0	-80.0	2.0
50.554	2.261	inter_trials			
52.815	1.317	card_flip	14.0	-65.0	3.0
54.132	0.374	card_flip	14.0	-65.0	3.0
54.506	1.674	card_flip	14.0	-65.0	3.0
56.18	2.507	inter_trials			
58.687	1.088	card_flip	1.0	-45.0	1.0
59.775	0.345	card_flip	1.0	-45.0	1.0
60.12	0.325	card_flip	1.0	-45.0	1.0
60.445	3.279	inter_trials			
63.724	0.984	card_flip	15.0	-70.0	3.0
64.708	0.343	card_flip	15.0	-70.0	3.0
65.051	2.273	inter_trials			
67.324	1.26	card_flip	30.0	-50.0	3.0
68.584	2.26	inter_trials			
70.844	0.88	card_flip	17.0	-70.0	2.0
71.724	0.309	card_flip	17.0	-70.0	2.0
72.033	0.543	card_flip	17.0	-70.0	2.0
72.576	2.328	inter_trials			
74.904	0.579	card_flip	7.0	-95.0	1.0
75.483	0.292	card_flip	7.0	-95.0	1.0
75.775	0.243	card_flip	7.0	-95.0	1.0
76.018	0.59	card_flip	7.0	-95.0	1.0
76.608	0.4	card_flip	7.0	-95.0	1.0
77.008	2.735	inter_trials			
79.743	0.703	card_flip	9.0	-100.0	1.0
80.446	0.293	card_flip	9.0	-100.0	1.0
80.739	0.346	card_flip	9.0	-100.0	1.0
81.085	1.052	card_flip	9.0	-100.0	1.0
82.137	2.396	inter_trials			
84.533	0.942	card_flip	15.0	-80.0	2.0
85.475	0.267	card_flip	15.0	-80.0	2.0
85.742	1.461	card_flip	15.0	-80.0	2.0
87.203	0.553	card_flip	15.0	-80.0	2.0
87.756	2.338	inter_trials			
90.094	0.653	card_flip	16.0	-70.0	2.0
90.747	0.259	card_flip	16.0	-70.0	2.0
91.006	0.482	card_flip	16.0	-70.0	2.0
91.488	0.551	card_flip	16.0	-70.0	2.0
92.039	2.264	inter_trials			
94.303	1.682	card_flip	30.0	-45.0	5.0
95.985	2.277	inter_trials			
98.262	1.152	card_flip	13.0	-75.0	1.0
99.414	0.548	card_flip	13.0	-75.0	1.0
99.962	0.494	card_flip	13.0	-75.0	1.0
100.456	2.468	inter_trials			
102.924	1.597	card_flip	14.0	-70.0	1.0
104.521	0.391	card_flip	14.0	-70.0	1.0
104.912	0.579	card_flip	14.0	-70.0	1.0
105.491	2.472	inter_trials			
107.963	2.49	card_flip	16.0	-80.0	1.0
110.453	0.3	card_flip	16.0	-80.0	1.0
110.753	0.492	card_flip	16.0	-80.0	1.0
111.245	0.691	card_flip	16.0	-80.0	1.0
111.936	2.537	inter_trials			
114.473	1.387	card_flip	17.0	-70.0	1.0
115.86	0.398	card_flip	17.0	-70.0	1.0
116.258	1.538	card_flip	17.0	-70.0	1.0
117.796	2.407	inter_trials			
120.203	1.077	card_flip	25.0	-65.0	2.0
121.28	2.473	inter_trials			
123.753	1.639	card_flip	30.0	-80.0	2.0
125.392	0.462	card_flip	30.0	-80.0	2.0
125.854	2.54	inter_trials			
128.394	1.752	card_flip	13.0	-95.0	1.0
130.146	0.365	card_flip	13.0	-95.0	1.0
130.511	0.422	card_flip	13.0	-95.0	1.0
130.933	0.514	card_flip	13.0	-95.0	1.0
131.447	2.546	inter_trials			
133.993	1.878	card_flip	14.0	-90.0	1.0
135.871	0.245	card_flip	14.0	-90.0	1.0
136.116	0.219	card_flip	14.0	-90.0	1.0
136.335	1.077	card_flip	14.0	-90.0	1.0
137.412	0.567	card_flip	14.0	-90.0	1.0
137.979	2.615	inter_trials			
140.594	1.255	card_flip	16.0	-70.0	2.0
141.849	0.276	card_flip	16.0	-70.0	2.0
142.125	0.508	card_flip	16.0	-70.0	2.0
142.633	2.461	inter_trials			
145.094	3.263	card_flip	7.0	-100.0	1.0
148.357	0.747	card_flip	7.0	-100.0	1.0
149.104	2.348	inter_trials			
151.452	0.599	card_flip	14.0	-80.0	2.0
152.051	2.272	inter_trials			
154.323	1.135	card_flip	15.0	-75.0	2.0
155.458	2.686	inter_trials			
158.144	0.97	card_flip	15.0	-65.0	3.0
159.114	2.468	inter_trials			
161.582	1.883	card_flip	14.0	-70.0	3.0
163.465	0.439	card_flip	14.0	-70.0	3.0
163.904	0.523	card_flip	14.0	-70.0	3.0
164.427	2.406	inter_trials			
166.833	2.24	card_flip	11.0	-30.0	5.0
169.073	1.129	card_flip	11.0	-30.0	5.0
170.202	2.601	inter_trials			
172.803	1.264	card_flip	15.0	-75.0	2.0
174.067	0.229	card_flip	15.0	-75.0	2.0
174.296	0.174	card_flip	15.0	-75.0	2.0
174.47	1.531	card_flip	15.0	-75.0	2.0
176.001	2.343	inter_trials			
178.344	1.002	card_flip	17.0	-75.0	2.0
179.346	2.607	inter_trials			
181.953	0.992	card_flip	2.0	-25.0	1.0
182.945	0.249	card_flip	2.0	-25.0	1.0
183.194	0.194	card_flip	2.0	-25.0	1.0
183.388	0.197	card_flip	2.0	-25.0	1.0
183.585	0.504	card_flip	2.0	-25.0	1.0
184.089	0.715	card_flip	2.0	-25.0	1.0
184.804	0.97	card_flip	2.0	-25.0	1.0
185.774	2.408	inter_trials			
188.182	1.219	card_flip	9.0	-95.0	1.0
189.401	0.249	card_flip	9.0	-95.0	1.0
189.65	0.354	card_flip	9.0	-95.0	1.0
190.004	0.217	card_flip	9.0	-95.0	1.0
190.221	0.224	card_flip	9.0	-95.0	1.0
190.445	0.964	card_flip	9.0	-95.0	1.0
191.409	2.336	inter_trials			
193.745	0.977	card_flip	11.0	-100.0	1.0
194.722	0.426	card_flip	11.0	-100.0	1.0
195.148	0.165	card_flip	11.0	-100.0	1.0
195.313	2.33	inter_trials			
197.643	0.889	card_flip	16.0	-75.0	2.0
198.532	0.213	card_flip	16.0	-75.0	2.0
198.745	2.338	inter_trials			
201.083	0.858	card_flip	17.0	-80.0	2.0
