onset,duration,trial_type,response
325.8961,0.2226,90,other
327.2913,0.2226,90,other
328.6698,0.2226,50,other
330.0483,0.2074,4_dots,other
331.4116,0.2226,4_dots,other
332.7901,0.2226,2_dots,other
334.2686,0.2226,4_dots,other
335.547,0.2226,50,other
337.0255,0.2226,50,other
338.3874,7.1842,Bfix,other
