line,condition,item,pair,syntax,probe_type,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,probe_word
22,jabberwocky,57,257,coord,word_present,Ce,corsave,jeuticé,a,déramé,le,gossesplors,et,rejourplé,l'apergage.,rejourplé
31,word_list,43,443,word_list,word_present,Dansez,grosse,plongiez,dès,bombardons,le,que,marronniers,l'usure,des.,plongiez
4,simple_sentence,56,56,coord,word_present,La,PDG,mène,la,relance,et,le,redressement,financier,échoue.,relance
51,consonant_strings,25,1025,consonant_strings,word_present,Ps,lfgr,fqqprglt,pq,jjsbcnh,bs,prblgmsj,fchd,ls,hjxjzm.,hjxjzm
34,word_list,13,413,word_list,word_present,Ce,a,gardaient,lues,en,serveurs,concluez,billion,vrai,la.,vrai
8,simple_sentence,53,53,coord,word_absent,L'exposition,universelle,prône,une,vraie,démarche,écologique,et,l'UNESCO,apprécie.,lien
7,simple_sentence,27,27,adj,word_absent,Au,musée,les,parents,râlent,car,leurs,enfants,fatigués,traînent.,effiloché
35,word_list,2,402,word_list,word_absent,Mou,regrettant,la,son,en,confidente,s'effraye,poésie,dans,une.,abîment
43,pseudoword_list,51,351,pseudoword_list,word_present,Le,le,chienfiber,renlaments,vuée,le,inris,vure,et,sur.,inris
24,jabberwocky,58,258,coord,word_present,En,évace,les,amirèmeaux,pentiblent,et,les,tourportales,casorrent,élotamant.,amirèmeaux
3,simple_sentence,40,40,adj,word_present,Le,violoniste,soucieux,s'apaise,dès,que,sa,tendinite,se,soigne.,soucieux
28,jabberwocky,41,241,adj,word_absent,Les,bodeux,étérient,dès,que,la,peuvec,luquile,les,pumètes.,plote
18,complex_sentence,30,30,SubjRel,word_absent,Les,dirigeants,qui,perdent,les,ouvriers,les,plus,compétents,dépriment.,loquace
58,consonant_strings,10,1010,consonant_strings,word_absent,Hs,rlrwnbscml,gcsnrbqn,drc,tskcqfplpn,cs,cgxbg,jjjpsp,jr,rmhbsvbhl.,vdfkst
