Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,1,2,2,1,345.236,264.027,-81.209,None,177.253395,182.011612,185.140296,3.128684,185.142232,2.173409
2,1,1,1,0,271.676,5.673,93.997,None,188.473250,193.645209,197.296911,3.651702,197.299308,2.929253
3,1,1,2,1,273.702,242.143,-31.559,None,201.355748,206.373899,207.476257,1.102358,207.478677,2.770700
4,1,0,2,1,166.259,230.29,64.031,None,211.381311,216.696491,222.076328,5.379837,222.078388,2.245767
5,1,0,3,0,164.504,42.779,-121.725,None,225.516907,230.718150,240.119409,9.401259,240.121636,1.410310
6,1,1,3,1,274.574,242.143,-32.431,None,242.706507,247.717407,253.440208,5.722801,253.442630,2.397860
7,1,3,1,1,90.738,267.238,176.501,None,256.988791,261.699014,269.610190,7.911176,269.612039,3.269131
8,1,1,0,0,277.343,5.673,88.33,None,274.022576,279.152910,284.721117,5.568207,284.723529,4.252983
9,2,3,2,1,319.36,316.33,-3.029,1,290.128536,294.947950,296.620383,1.672433,296.621310,4.580197
9,2,3,1,2,47.54,41.458,-6.082,1,302.348233,307.132896,310.464302,3.331406,310.466161,4.531580
9,2,0,2,1,292.506,290.466,-2.04,1,316.134108,320.846173,322.026916,1.180743,322.027887,4.325624
9,2,0,0,0,213.903,213.264,-0.64,1,327.456924,332.882546,336.458714,3.576168,336.459858,4.312120
9,1,0,1,0,40.683,42.779,2.096,None,729.032384,734.316462,None,None,749.407399,2.700732
10,1,1,2,0,99.556,5.673,-93.884,None,753.235100,758.806916,763.952300,5.145384,763.954333,3.691231
11,1,2,2,1,354.853,264.027,-90.826,None,768.744493,773.845819,780.719755,6.873936,780.721961,3.142585
12,1,0,1,1,254.802,230.29,-24.512,None,784.987595,789.966230,795.678445,5.712215,795.681279,1.940380
13,1,0,2,1,159.403,230.29,70.886,None,798.790217,804.148040,811.678436,7.530396,811.680291,4.797858
14,1,2,0,0,350.649,1.098,10.449,None,817.635727,822.231505,829.494333,7.262828,829.496261,4.604064
15,1,2,3,1,85.597,264.027,178.43,None,835.259727,840.516653,843.881363,3.364710,843.883363,4.372732
16,1,1,3,0,273.229,5.673,92.444,None,849.420792,854.269239,861.816713,7.547474,861.819100,4.975753
17,2,2,3,0,207.222,207.599,0.377,1,867.998983,873.015856,876.215560,3.199704,876.216995,2.141060
17,2,2,1,0,209.584,207.599,-1.985,1,879.498968,884.921545,886.193740,1.272195,886.195292,2.647104
17,2,0,2,2,28.047,27.003,-1.044,1,890.014252,895.505244,898.717735,3.212491,898.719838,2.487058
17,2,1,1,2,52.018,48.517,-3.501,1,902.308566,907.757191,910.929497,3.172306,910.931385,4.359446
17,1,3,3,1,271.481,267.238,-4.243,None,1274.455166,1279.721871,1287.303642,7.581771,1287.306277,4.235433
18,1,2,1,0,352.794,1.098,8.304,None,1292.684609,1297.382859,1302.724440,5.341581,1302.726575,2.302917
19,1,1,2,0,4.812,5.673,0.861,None,1306.148893,1311.606989,1314.369930,2.762941,1314.372104,3.212667
20,1,0,0,0,335.666,42.779,67.113,None,1318.738682,1324.198091,1330.424586,6.226495,1330.427651,1.151892
21,1,2,0,1,70.288,264.027,-166.261,None,1332.764269,1337.689765,1345.882558,8.192793,1345.884778,2.387671
22,1,1,3,1,92.224,242.143,149.919,None,1349.433671,1354.774516,1357.639394,2.864878,1357.641380,1.917671
23,1,2,1,1,80.885,264.027,-176.858,None,1360.691054,1365.327741,1367.700697,2.372956,1367.702868,2.834342
24,1,0,1,0,332.758,42.779,70.021,None,1371.680458,1376.605779,1381.506161,4.900382,1381.508605,2.549967
25,2,0,1,2,25.496,27.003,1.507,1,1385.188633,1390.110304,1393.013586,2.903282,1393.015476,3.171479
25,2,3,1,3,136.57,136.796,0.226,1,1397.336369,1402.168828,1403.336263,1.167435,1403.337759,4.565471
25,2,1,3,3,145.861,148.822,2.961,1,1409.032315,1414.618782,1417.832778,3.213996,1417.834482,4.450100
25,2,1,0,1,332.417,330.706,-1.711,1,1423.426404,1428.198683,1430.919978,2.721295,1430.921965,1.622985
25,1,2,3,0,170.958,1.098,-169.86,None,1822.762830,1828.101771,1833.559144,5.457373,1833.561113,2.675015
26,1,2,0,1,357.364,264.027,-93.337,None,1837.372153,1842.778504,1847.639856,4.861352,1847.643110,2.737051
27,1,1,2,1,122.001,242.143,120.142,None,1851.499352,1856.361726,1864.246705,7.884979,1864.249339,4.977032
28,1,1,1,0,6.444,5.673,-0.771,None,1870.359000,1875.218114,1881.110568,5.892454,1881.112756,1.345137
29,1,2,2,0,88.938,1.098,-87.84,None,1883.615653,1888.893336,1894.318003,5.424667,1894.320493,2.508175
30,1,0,0,1,320.954,230.29,-90.664,None,1898.011412,1903.377047,1910.023965,6.646918,1910.027069,3.859059
31,1,0,2,0,341.694,42.779,61.085,None,1915.013813,1920.357607,1923.493255,3.135648,1923.495338,2.880946
32,1,3,3,1,181.058,267.238,86.18,None,1927.532514,1932.589870,1937.099857,4.509987,1937.102146,4.018130
33,2,2,1,1,296.335,287.922,-8.413,1,1942.258276,1947.822782,1950.805904,2.983122,1950.806880,2.921643
33,2,2,3,1,294.042,287.922,-6.12,1,1954.944734,1960.293407,1961.948390,1.654983,1961.949593,4.727212
33,2,3,3,3,133.635,136.796,3.161,1,1967.845574,1972.575442,1975.741631,3.166189,1975.743559,1.731740
33,2,1,3,0,232.907,231.509,-1.398,1,1978.623007,1983.620206,1986.836143,3.215937,1986.837305,3.060670
33,1,1,1,1,181.149,242.143,60.995,None,2403.890571,2409.161624,2409.875724,0.714100,2409.878095,2.235536
34,1,3,2,1,266.976,267.238,0.262,None,2413.277536,2418.616450,2425.293255,6.676805,2425.295729,2.450608
35,1,1,3,0,7.173,5.673,-1.5,None,2428.919926,2433.770189,2438.586556,4.816367,2438.588841,2.239462
36,1,2,0,0,167.997,1.098,-166.898,None,2441.935842,2447.351740,2450.018675,2.666935,2450.020988,2.298914
37,1,3,1,0,328.191,23.97,55.78,None,2453.466542,2458.972113,2462.774140,3.802027,2462.776251,2.995256
38,1,3,0,1,268.054,267.238,-0.816,None,2466.938723,2472.160376,2477.035829,4.875453,2477.038216,3.790641
39,1,2,3,1,85.925,264.027,178.102,None,2481.957249,2487.177500,2491.029915,3.852415,2491.032076,3.315355
40,1,1,0,1,359.439,242.143,-117.295,None,2495.501992,2500.532705,2504.630913,4.098208,2504.633918,1.097588
41,2,0,1,3,113.619,128.161,14.541,1,2506.855601,2512.471832,2513.693008,1.221176,2513.694784,2.829314
41,2,0,3,3,111.589,128.161,16.571,1,2517.678587,2523.039805,2526.244744,3.204939,2526.246551,1.191532
41,2,2,0,3,128.332,133.004,4.673,1,2528.568894,2534.076136,2535.682582,1.606446,2535.684353,2.865827
41,2,3,0,1,318.512,316.33,-2.182,1,2539.687728,2544.496582,2547.675891,3.179309,2547.676945,2.018450
41,1,0,3,0,267.559,42.779,135.22,None,2956.430560,2961.213461,2963.977156,2.763695,2963.979950,1.060279
42,1,0,1,1,268.441,230.29,-38.151,None,2966.135492,2970.960052,2973.932513,2.972461,2973.935325,1.990233
43,1,3,2,0,189.049,23.97,-165.079,None,2977.057421,2981.983351,2985.157796,3.174445,2985.160196,2.606680
44,1,1,1,1,281.366,242.143,-39.223,None,2988.921771,2993.577323,2998.769597,5.192274,2998.772055,3.866490
45,1,1,0,0,10.356,5.673,-4.683,None,3003.781947,3009.055588,3011.061327,2.005739,3011.064763,3.166188
46,1,0,0,0,321.272,42.779,81.507,None,3015.356138,3020.938200,3024.081644,3.143444,3024.084395,3.671013
47,1,3,3,0,268.619,23.97,115.351,None,3028.891347,3034.388844,3041.047222,6.658378,3041.049708,4.444455
48,1,2,1,1,60.117,264.027,-156.09,None,3046.661434,3051.952484,3054.629219,2.676735,3054.632325,3.961595
49,2,0,0,1,292.633,290.466,-2.167,1,3059.745787,3065.063865,3068.497292,3.433427,3068.498333,4.282426
49,2,3,2,0,223.037,225.759,2.722,1,3073.932222,3078.771237,3080.043104,1.271867,3080.044044,1.023247
49,2,1,1,0,235.21,231.509,-3.701,1,3082.219847,3086.989037,3088.360799,1.371762,3088.362198,4.395731
49,2,2,0,2,30.166,27.5,-2.666,1,3093.907297,3099.466408,3100.863750,1.397342,3100.865699,1.925568
