Number,999
Data type,Time,sPos (x),sPos (y), sPos(z),View Angle,jPos (x),jPos (z)
POSITION,0.018811,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.021971,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.038907,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.055567,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.072427,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.089103,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.105827,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.122338,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.139208,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.155846,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.173871,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.190620,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.207313,0.000,1.800,-0.000,90.000,0.000,-0.000
EVENT,0.220824,Familiarisation started
EVENT,0.221741,Start displaying intro screen
POSITION,0.276292,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.299996,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.323502,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.347064,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.371070,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.394974,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.418299,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.441890,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.465243,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.488662,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.511933,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.536274,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.559743,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.583183,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.606960,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.630482,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.654532,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.677650,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.701278,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.725436,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.749653,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.775903,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.803315,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.828599,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.852012,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.875219,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.898565,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.922445,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.946045,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.969456,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.993446,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.016876,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.044070,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.067611,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.091023,0.000,1.800,-0.000,90.000,0.000,-0.000
