Number,9999
Initials,[]
Gender,[]
Age,[]
Data type,Time,sPos (x),sPos (y), sPos(z),View Angle,jPos (x),jPos (z)
POSITION,0.031098,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.050139,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.067258,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.084151,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.100437,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.117104,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.133889,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.150730,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.167163,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.183789,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.200643,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.218022,0.000,1.800,-0.000,90.000,0.000,-0.000
EVENT,0.234258,Test started
EVENT,0.236799,Start displaying intro screen
EVENT,0.248710,"['Starting control trial', '[2, 3, 0]']"
EVENT,0.249537,"['Setting viewpoint position to', '[40.198, 0.547, -38.638]']"
EVENT,0.250220,Rotating to intersection center
POSITION,0.381405,40.198,2.347,-38.638,90.000,0.000,-0.000
EVENT,0.448308,"['Displaying control cue to target', '20']"
POSITION,0.449115,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,0.525732,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,0.614205,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,0.695979,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,0.776455,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,0.861970,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,0.950975,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,1.031598,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,1.117409,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,1.199833,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,1.280447,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,1.360866,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,1.442012,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,1.522509,40.198,2.347,-38.638,104.982,0.000,-0.000
EVENT,1.522972,"['Moving subject to center of intersection', '[35.057, 0.57, -19.427]']"
POSITION,1.605132,40.198,2.347,-38.638,104.982,0.000,-0.000
POSITION,1.687324,40.092,2.347,-38.243,104.982,0.000,-0.000
POSITION,1.768637,39.988,2.348,-37.853,104.982,0.000,-0.000
POSITION,1.849967,39.883,2.348,-37.462,104.982,0.000,-0.000
POSITION,1.936789,39.772,2.349,-37.045,104.982,0.000,-0.000
POSITION,2.026433,39.656,2.349,-36.614,104.982,0.000,-0.000
POSITION,2.105656,39.555,2.350,-36.234,104.982,0.000,-0.000
POSITION,2.186825,39.450,2.350,-35.844,104.982,0.000,-0.000
POSITION,2.265947,39.349,2.351,-35.464,104.982,0.000,-0.000
POSITION,2.344785,39.247,2.351,-35.085,104.982,0.000,-0.000
POSITION,2.424087,39.145,2.352,-34.705,104.982,0.000,-0.000
POSITION,2.504026,39.043,2.352,-34.321,104.982,0.000,-0.000
POSITION,2.584512,38.939,2.353,-33.934,104.982,0.000,-0.000
POSITION,2.664228,38.837,2.353,-33.551,104.982,0.000,-0.000
POSITION,2.742735,38.736,2.354,-33.174,104.982,0.000,-0.000
POSITION,2.821878,38.634,2.354,-32.794,104.982,0.000,-0.000
POSITION,2.900643,38.533,2.354,-32.416,104.982,0.000,-0.000
POSITION,2.979295,38.432,2.355,-32.038,104.982,0.000,-0.000
POSITION,3.065384,38.321,2.355,-31.625,104.982,0.000,-0.000
POSITION,3.148575,38.214,2.356,-31.225,104.982,0.000,-0.000
POSITION,3.227908,38.112,2.356,-30.844,104.982,0.000,-0.000
POSITION,3.311230,38.005,2.357,-30.444,104.982,0.000,-0.000
POSITION,3.389089,37.905,2.357,-30.070,104.982,0.000,-0.000
POSITION,3.466997,37.805,2.358,-29.695,104.982,0.000,-0.000
POSITION,3.544851,37.705,2.358,-29.321,104.982,0.000,-0.000
POSITION,3.622566,37.605,2.359,-28.948,104.982,0.000,-0.000
POSITION,3.700902,37.504,2.359,-28.572,104.982,0.000,-0.000
POSITION,3.777934,37.405,2.359,-28.202,104.982,0.000,-0.000
POSITION,3.863936,37.295,2.360,-27.789,104.982,0.000,-0.000
POSITION,3.941806,37.195,2.360,-27.416,104.982,0.000,-0.000
POSITION,4.016994,37.098,2.361,-27.054,104.982,0.000,-0.000
POSITION,4.092299,37.001,2.361,-26.693,104.982,0.000,-0.000
POSITION,4.174383,36.896,2.362,-26.298,104.982,0.000,-0.000
POSITION,4.247443,36.802,2.362,-25.947,104.982,0.000,-0.000
POSITION,4.321984,36.706,2.363,-25.589,104.982,0.000,-0.000
POSITION,4.394269,36.613,2.363,-25.242,104.982,0.000,-0.000
POSITION,4.466273,36.521,2.363,-24.896,104.982,0.000,-0.000
POSITION,4.539106,36.427,2.364,-24.547,104.982,0.000,-0.000
POSITION,4.611249,36.334,2.364,-24.200,104.982,0.000,-0.000
POSITION,4.683689,36.241,2.365,-23.852,104.982,0.000,-0.000
POSITION,4.756115,36.148,2.365,-23.505,104.982,0.000,-0.000
POSITION,4.828554,36.055,2.366,-23.156,104.982,0.000,-0.000
POSITION,4.901111,35.962,2.366,-22.808,104.982,0.000,-0.000
POSITION,4.974957,35.867,2.366,-22.453,104.982,0.000,-0.000
POSITION,5.047351,35.774,2.367,-22.106,104.982,0.000,-0.000
POSITION,5.120423,35.680,2.367,-21.755,104.982,0.000,-0.000
POSITION,5.198092,35.580,2.368,-21.382,104.982,0.000,-0.000
POSITION,5.276389,35.479,2.368,-21.006,104.982,0.000,-0.000
POSITION,5.349649,35.385,2.369,-20.654,104.982,0.000,-0.000
POSITION,5.422958,35.291,2.369,-20.302,104.982,0.000,-0.000
POSITION,5.497049,35.196,2.369,-19.946,104.982,0.000,-0.000
POSITION,5.571133,35.101,2.370,-19.590,104.982,0.000,-0.000
EVENT,5.644986,Movement ended
EVENT,5.645438,"['Short wait time', '1.454']"
POSITION,5.646667,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,5.720776,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,5.794646,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,5.869829,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,5.943616,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.017455,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.090932,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.165774,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.242024,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.322547,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.397075,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.471065,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.546883,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.621301,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.695583,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.769416,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.844016,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.918190,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,6.992806,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,7.066456,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,7.141235,35.057,2.370,-19.427,104.982,0.000,-0.000
EVENT,7.141712,['Short wait time ended']
EVENT,7.142781,Movement enabled
EVENT,7.143591,Crosshair displayed
POSITION,7.216384,35.057,2.370,-19.427,104.982,0.000,-0.000
POSITION,7.292420,35.057,2.370,-19.427,108.361,0.000,-0.000
POSITION,7.375631,35.057,2.370,-19.427,115.528,0.000,-0.000
POSITION,7.455314,35.057,2.370,-19.427,115.528,0.000,-0.000
POSITION,7.531212,35.057,2.370,-19.427,119.116,0.000,-0.000
POSITION,7.607371,35.057,2.370,-19.427,122.535,0.000,-0.000
POSITION,7.682956,35.057,2.370,-19.427,125.959,0.000,-0.000
POSITION,7.757052,35.057,2.370,-19.427,129.355,0.000,-0.000
POSITION,7.832110,35.057,2.370,-19.427,132.696,0.000,-0.000
POSITION,7.906319,35.057,2.370,-19.427,139.397,0.000,-0.000
POSITION,7.979168,35.057,2.370,-19.427,139.397,0.000,-0.000
POSITION,8.053897,35.057,2.370,-19.427,142.693,0.000,-0.000
POSITION,8.136165,35.057,2.370,-19.427,146.047,0.000,-0.000
POSITION,8.211279,35.057,2.370,-19.427,149.747,0.000,-0.000
POSITION,8.287988,35.057,2.370,-19.427,156.572,0.000,-0.000
POSITION,8.364396,35.057,2.370,-19.427,156.572,0.000,-0.000
POSITION,8.445777,35.057,2.370,-19.427,160.028,0.000,-0.000
POSITION,8.528281,35.057,2.370,-19.427,163.688,0.000,-0.000
POSITION,8.605077,35.057,2.370,-19.427,167.401,0.000,-0.000
POSITION,8.682988,35.057,2.370,-19.427,170.859,0.000,-0.000
POSITION,8.761941,35.057,2.370,-19.427,177.912,0.000,-0.000
