Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,2,1,2,3,145.735,148.822,3.088,1,1.460441,6.117947,11.667593,5.549646,11.678328,1.330145
1,1,1,1,0,185.802,5.673,179.871,None,228.837991,233.483766,None,None,248.562076,3.477190
2,1,3,3,1,356.821,267.238,-89.583,None,253.279369,258.772186,None,None,273.796684,1.790617
3,1,2,3,0,345.018,1.098,16.08,None,276.805253,281.796412,None,None,296.870779,1.764952
4,1,0,3,1,341.687,230.29,-111.397,None,299.827150,305.453148,305.514310,0.061162,305.531591,3.749161
5,1,3,0,0,87.519,23.97,-63.549,None,310.442272,315.974536,316.197072,0.222536,316.213071,3.199303
6,1,1,0,1,86.89,242.143,155.253,None,320.617259,325.493478,325.868031,0.374553,325.885810,4.446851
7,1,2,2,0,259.8,1.098,101.298,None,331.563522,336.574450,336.826593,0.252143,336.844976,2.778264
8,1,3,2,0,266.607,23.97,117.363,None,340.879177,345.710519,346.288415,0.577896,346.305353,3.063899
9,2,2,2,3,259.8,133.004,-126.796,0,350.626703,355.884989,356.234698,0.349709,356.249056,4.560895
9,2,3,0,1,87.519,316.33,-131.189,0,362.028553,366.767120,367.157189,0.390069,367.164892,2.164254
9,2,3,3,2,356.821,41.458,44.637,0,370.508663,375.309497,375.647732,0.338235,375.654777,4.650702
9,2,3,1,2,177.932,41.458,-136.475,0,381.524543,387.131187,387.598835,0.467648,387.607850,2.197516
