Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,1,3,1,1,260.545,267.238,6.694,None,224.023919,228.828817,231.557964,2.729147,231.573072,2.215066
2,1,3,0,1,359.208,267.238,-91.97,None,235.013644,239.874485,242.427218,2.552733,242.444090,1.409821
3,1,2,3,1,166.457,264.027,97.57,None,245.098871,250.564597,255.139751,4.575154,255.160614,1.069699
4,1,3,1,0,271.98,23.97,111.991,None,257.449195,263.067336,269.429911,6.362575,269.450631,1.503565
5,1,1,3,1,102.118,242.143,140.025,None,272.193359,277.599019,280.634032,3.035013,280.651687,1.952252
6,1,0,3,1,245.655,230.29,-15.365,None,283.807411,288.954048,295.427687,6.473639,295.444403,2.833351
7,1,1,0,1,86.89,242.143,155.253,None,299.547648,304.253243,304.708756,0.455513,304.726515,3.763560
8,1,2,2,0,95.767,1.098,-94.668,None,309.717096,314.782082,319.004269,4.222187,319.024213,2.994710
9,2,2,3,2,26.492,27.5,1.008,1,323.308696,328.602817,330.159039,1.556222,330.166889,1.510457
9,2,1,2,3,148.605,148.822,0.217,1,332.811742,337.660744,340.997009,3.336265,341.008304,4.740258
9,2,0,3,3,114.662,128.161,13.499,1,346.964956,351.772935,355.427479,3.654544,355.435837,2.321163
9,2,3,0,0,222.842,225.759,2.917,1,358.933244,364.466122,367.999705,3.533583,368.009181,1.172691
9,1,3,2,1,346.068,267.238,-78.83,None,789.148314,794.529343,797.863285,3.333942,797.881725,2.979069
10,1,1,1,1,183.468,242.143,58.675,None,802.096512,807.533705,812.525671,4.991966,812.543276,2.336078
11,1,2,0,1,358.018,264.027,-93.991,None,816.170946,821.181459,828.915182,7.733723,828.931625,2.931007
12,1,2,2,1,349.028,264.027,-85.001,None,833.152993,838.642087,841.197618,2.555531,841.213473,3.336910
13,1,1,0,0,12.597,5.673,-6.925,None,845.751459,850.851396,853.393427,2.542031,853.409842,3.894460
14,1,0,1,0,336.447,42.779,66.332,None,858.568268,863.935970,868.785885,4.849915,868.803183,2.117288
15,1,2,1,1,87.376,264.027,176.651,None,872.156429,877.255659,879.889564,2.633905,879.912454,2.098567
16,1,1,1,1,185.321,242.143,56.822,None,883.153151,888.497379,891.542692,3.045313,891.558121,1.071023
17,2,1,3,2,50.907,48.517,-2.39,1,893.816081,898.705955,900.137307,1.431352,900.147021,4.564631
17,2,3,2,0,229.029,225.759,-3.27,1,905.945558,910.789768,912.074960,1.285192,912.085841,1.523440
17,2,0,2,1,284.18,290.466,6.286,1,914.868796,920.072688,921.425771,1.353083,921.435964,4.026960
17,2,2,2,3,122.253,133.004,10.751,1,926.651742,932.340763,935.682492,3.341729,935.693752,2.484693
17,1,0,0,0,266.821,42.779,135.958,None,1343.147613,1348.609429,1352.858545,4.249116,1352.877911,1.702303
18,1,3,3,1,269.24,267.238,-2.002,None,1355.814927,1361.271453,1364.348402,3.076949,1364.363410,1.319946
19,1,3,0,0,267.859,23.97,116.111,None,1366.916448,1372.556257,1377.368683,4.812426,1377.388669,4.946237
20,1,1,1,0,358.717,5.673,6.956,None,1383.525977,1388.639920,1392.981943,4.342023,1392.996260,4.979048
21,1,2,1,0,166.776,1.098,-165.678,None,1399.169380,1404.433047,1404.500632,0.067585,1404.520452,4.793664
22,1,0,2,0,334.123,42.779,68.656,None,1410.577124,1415.914741,1418.301158,2.386417,1418.321324,2.325630
23,1,3,3,1,356.821,267.238,-89.583,None,1421.879862,1426.663603,1426.740381,0.076778,1426.756601,4.475238
24,1,2,3,0,79.18,1.098,-78.081,None,1432.477441,1437.866018,1441.193995,3.327977,1441.212190,3.271532
25,2,1,0,2,53.799,48.517,-5.282,1,1445.701753,1450.373211,1451.992788,1.619577,1452.002570,4.192160
25,2,3,2,1,318.474,316.33,-2.144,1,1457.412912,1462.324608,1464.166835,1.842227,1464.176908,1.105660
25,2,2,3,3,133.671,133.004,-0.667,1,1466.516786,1471.821940,1476.000191,4.178251,1476.009591,2.866698
25,2,3,3,3,133.28,136.796,3.515,1,1480.056198,1484.999124,1488.522983,3.523859,1488.531423,2.861868
25,1,0,1,0,82.723,42.779,-39.944,None,1894.497550,1899.399624,1901.675974,2.276350,1901.698185,3.862849
26,1,1,2,1,273.702,242.143,-31.559,None,1906.778945,1911.899510,1912.135246,0.235736,1912.153734,3.308005
27,1,1,0,1,9.612,242.143,-127.468,None,1916.688472,1922.334398,1924.649527,2.315129,1924.667874,3.217672
28,1,2,0,0,74.712,1.098,-73.614,None,1929.110551,1933.842519,1934.474062,0.631543,1934.493532,3.106369
29,1,3,2,0,91.087,23.97,-67.116,None,1938.812057,1943.668977,1951.565193,7.896216,1951.581300,3.627693
30,1,0,3,1,250.111,230.29,-19.821,None,1956.431286,1961.207227,1967.117266,5.910039,1967.134503,2.178008
31,1,3,1,0,270.641,23.97,113.33,None,1970.614084,1976.113251,1982.420259,6.307008,1982.438025,4.756268
32,1,2,1,1,83.859,264.027,-179.832,None,1988.380047,1993.504930,1996.290982,2.786052,1996.312695,2.355140
33,2,2,2,1,291.519,287.922,-3.597,1,1999.895165,2004.660320,2006.307619,1.647299,2006.316223,1.986148
33,2,3,1,1,311.371,316.33,4.959,1,2009.505675,2014.563084,2018.127070,3.563986,2018.133780,2.182565
33,2,2,0,2,28.596,27.5,-1.097,1,2021.526456,2026.436972,2028.085070,1.648098,2028.092227,4.109744
33,2,1,0,1,324.637,330.706,6.069,1,2033.403874,2038.252691,2041.481889,3.229198,2041.493515,1.386182
33,1,2,0,1,91.176,264.027,172.851,None,2473.579650,2478.872906,2486.999436,8.126530,2487.015901,2.194053
34,1,1,1,0,16.711,5.673,-11.038,None,2490.483842,2495.147830,2499.355633,4.207803,2499.373982,2.358336
35,1,1,2,0,7.433,5.673,-1.76,None,2502.890902,2507.919996,2510.449382,2.529386,2510.466177,3.624627
36,1,3,3,0,171.707,23.97,-147.737,None,2515.356624,2520.312622,2524.593513,4.280891,2524.609558,1.361216
37,1,3,2,1,256.394,267.238,10.844,None,2527.150707,2532.523778,2537.360521,4.836743,2537.377172,3.864182
38,1,2,0,0,164.567,1.098,-163.468,None,2542.538788,2548.127601,2552.865853,4.738252,2552.884356,2.967949
39,1,2,3,0,169.866,1.098,-168.767,None,2557.042235,2562.422425,2567.530129,5.107704,2567.547824,1.345307
40,1,0,0,1,162.001,230.29,68.288,None,2570.214527,2574.952222,2577.558893,2.606671,2577.573747,4.155081
41,2,0,1,3,107.089,128.161,21.072,1,2583.021918,2588.177788,2589.620977,1.443189,2589.629319,2.842217
41,2,0,0,1,286.602,290.466,3.864,1,2593.735276,2598.904241,2602.824642,3.920401,2602.834310,1.672523
41,2,1,1,3,151.104,148.822,-2.281,1,2605.693630,2611.063016,2612.628618,1.565602,2612.641677,3.298627
41,2,0,1,2,27.923,27.003,-0.92,1,2617.243284,2622.255727,2625.639905,3.384178,2625.650781,4.064436
41,1,0,3,0,256.189,42.779,146.589,None,3029.669073,3034.593403,3037.838217,3.244814,3037.858230,4.116689
42,1,0,1,1,152.067,230.29,78.222,None,3043.213878,3048.570000,3049.021585,0.451585,3049.036772,4.713427
43,1,3,1,1,264.023,267.238,3.215,None,3055.029174,3059.656358,3062.698026,3.041668,3062.714488,1.787268
44,1,0,2,1,332.106,230.29,-101.816,None,3065.770058,3071.164178,3073.704284,2.540106,3073.724223,4.728980
45,1,0,0,0,263.52,42.779,139.259,None,3079.721640,3084.982080,3089.467339,4.485259,3089.484148,2.446480
46,1,3,0,1,271.601,267.238,-4.363,None,3093.112701,3098.486046,3102.995922,4.509876,3103.013045,3.804621
47,1,2,2,1,96.218,264.027,167.809,None,3108.086338,3113.497529,3120.978200,7.480671,3121.001108,4.401006
48,1,1,2,0,10.913,5.673,-5.241,None,3126.627020,3131.983905,3134.659240,2.675335,3134.679234,1.841437
49,2,1,3,1,331.203,330.706,-0.497,1,3137.750792,3142.604312,3144.042277,1.437965,3144.051415,1.969301
49,2,2,1,1,296.235,287.922,-8.312,1,3147.234404,3151.909952,3156.068120,4.158168,3156.077100,4.220639
49,2,2,0,0,208.773,207.599,-1.174,1,3161.572225,3166.352812,3170.146001,3.793189,3170.154822,2.641057
49,2,3,3,2,43.26,41.458,-1.802,1,3173.993206,3179.489682,3181.287311,1.797629,3181.296244,4.934221
49,1,1,3,0,29.829,5.673,-24.156,None,3578.447917,3584.069186,3592.804689,8.735503,3592.820162,2.032563
50,1,0,3,0,252.741,42.779,150.037,None,3596.143006,3601.389214,3604.263843,2.874629,3604.280414,2.723395
51,1,2,3,1,82.565,264.027,-178.538,None,3608.183838,3612.914592,3618.879578,5.964986,3618.897913,4.232874
52,1,2,2,0,341.949,1.098,19.149,None,3624.348703,3629.803747,3632.462715,2.658968,3632.480324,2.688320
53,1,1,2,1,273.702,242.143,-31.559,None,3636.375494,3641.585087,3643.222093,1.637006,3643.237928,3.072577
54,1,0,1,1,344.808,230.29,-114.518,None,3647.527503,3652.715366,3659.222993,6.507627,3659.241424,2.414898
55,1,0,2,0,249.418,42.779,153.361,None,3662.854198,3668.490629,3678.646163,10.155534,3678.664673,4.314308
56,1,2,1,0,81.374,1.098,-80.276,None,3684.216225,3689.638269,3696.316903,6.678634,3696.336588,4.076776
57,2,3,0,3,131.792,136.796,5.003,1,3701.610781,3707.145163,3708.690950,1.545787,3708.700480,2.561454
57,2,1,2,0,230.861,231.509,0.648,1,3712.474924,3717.650680,3719.122833,1.472153,3719.131399,1.533475
57,2,0,3,0,213.762,213.264,-0.498,1,3721.924531,3727.051458,3730.536978,3.48552,3730.545400,1.897648
57,2,0,0,0,212.623,213.264,0.641,1,3733.738855,3739.322508,3742.990418,3.66791,3743.002854,1.857717
57,1,0,0,1,326.475,230.29,-96.185,None,4130.488073,4135.247486,4141.625432,6.377946,4141.643254,4.143312
58,1,3,3,0,355.668,23.97,28.302,None,4147.089288,4152.207012,4158.401665,6.194653,4158.419111,4.253628
59,1,1,3,1,6.611,242.143,-124.468,None,4163.908205,4168.864085,4177.123723,8.259638,4177.141447,2.654746
60,1,0,2,1,331.519,230.29,-101.229,None,4181.043289,4186.610044,4189.630916,3.020872,4189.648091,3.546061
61,1,1,0,0,8.878,5.673,-3.205,None,4194.384777,4199.711865,4201.964996,2.253131,4201.984519,2.700836
62,1,3,2,0,356.044,23.97,27.926,None,4205.956689,4210.830729,4221.074569,10.243840,4221.091228,2.935429
63,1,3,0,0,201.565,23.97,-177.595,None,4225.268612,4230.246769,None,None,4245.338488,2.449297
64,1,1,3,0,18.189,5.673,-12.516,None,4249.008134,4254.277858,4263.362236,9.084378,4263.377837,4.904905
65,2,0,2,2,27.551,27.003,-0.548,1,4269.533056,4274.938105,4278.419704,3.481599,4278.429008,3.464029
65,2,1,1,0,230.421,231.509,1.088,1,4283.084195,4288.724315,4290.177712,1.453397,4290.194815,3.288773
65,2,3,1,2,38.034,41.458,3.424,1,4294.692097,4300.096601,4303.549766,3.453165,4303.558577,4.854748
65,2,2,1,0,205.886,207.599,1.713,1,4309.610409,4314.498982,4315.941881,1.442899,4315.952669,2.643232
