Number,99
Initials,[]
Gender,[]
Age,[]
Data type,Time,sPos (x),sPos (y), sPos(z),View Angle,jPos (x),jPos (z)
POSITION,6.903470,30.838,2.196,40.932,169.524,0.000,-0.000
POSITION,6.991698,30.838,2.196,40.932,166.071,0.000,-0.000
POSITION,7.066916,30.838,2.196,40.932,162.087,0.000,-0.000
POSITION,7.141616,30.838,2.196,40.932,158.703,0.000,-0.000
POSITION,7.215427,30.838,2.196,40.932,162.052,0.000,-0.000
POSITION,7.290375,30.838,2.196,40.932,165.380,0.000,-0.000
POSITION,7.366628,30.838,2.196,40.932,172.174,0.000,-0.000
POSITION,7.445138,30.838,2.196,40.932,172.174,0.000,-0.000
POSITION,7.524093,30.838,2.196,40.932,175.717,0.000,-0.000
POSITION,7.604440,30.838,2.196,40.932,179.270,0.000,-0.000
POSITION,7.684954,30.838,2.196,40.932,182.896,0.000,-0.000
POSITION,7.766740,30.838,2.196,40.932,186.516,0.000,-0.000
POSITION,7.850303,30.838,2.196,40.932,190.197,0.000,-0.000
POSITION,7.933921,30.838,2.196,40.932,193.958,0.000,-0.000
POSITION,8.022822,30.838,2.196,40.932,201.680,0.000,-0.000
POSITION,8.113628,30.838,2.196,40.932,201.680,0.000,-0.000
POSITION,8.198586,30.838,2.196,40.932,205.809,0.000,-0.000
POSITION,8.284592,30.838,2.196,40.932,209.632,0.000,-0.000
POSITION,8.369477,30.838,2.196,40.932,213.501,0.000,-0.000
POSITION,8.454333,30.838,2.196,40.932,217.314,0.000,-0.000
POSITION,8.542543,30.838,2.196,40.932,221.132,0.000,-0.000
POSITION,8.625287,30.838,2.196,40.932,225.092,0.000,-0.000
POSITION,8.708521,30.838,2.196,40.932,228.822,0.000,-0.000
POSITION,8.795814,30.838,2.196,40.932,236.503,0.000,-0.000
POSITION,8.879381,30.838,2.196,40.932,236.503,0.000,-0.000
POSITION,8.981034,30.838,2.196,40.932,240.270,0.000,-0.000
POSITION,9.069835,30.838,2.196,40.932,244.813,0.000,-0.000
POSITION,9.180030,30.838,2.196,40.932,248.842,0.000,-0.000
POSITION,9.271646,30.838,2.196,40.932,253.801,0.000,-0.000
POSITION,9.360878,30.838,2.196,40.932,257.920,0.000,-0.000
POSITION,9.449398,30.838,2.196,40.932,261.936,0.000,-0.000
POSITION,9.535137,30.838,2.196,40.932,265.907,0.000,-0.000
