Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
62,1,1,2,0,273.702,5.673,91.97,None,4120.107646,4124.990519,None,None,4140.091136,2.765364
63,1,1,3,1,8.01,242.143,-125.866,None,4144.116426,4149.726988,None,None,4164.761521,1.896526
64,1,0,1,0,152.067,42.779,-109.289,None,4167.895097,4172.863103,None,None,4187.915501,4.509591
65,1,0,0,1,72.393,230.29,157.897,None,4193.742383,4198.651895,None,None,4213.692206,3.808156
66,1,0,2,0,251.599,42.779,151.18,None,4218.664686,4223.762517,None,None,4238.877363,2.012813
67,1,1,2,1,273.702,242.143,-31.559,None,4242.139957,4247.295057,None,None,4262.388485,1.365310
68,1,3,3,0,356.821,23.97,27.149,None,4264.941540,4269.814705,None,None,4284.903535,2.963939
70,2,0,1,2,152.067,27.003,-125.065,0,4289.100100,4294.482878,None,None,4309.570028,2.982789
71,2,1,1,1,185.802,330.706,144.904,0,4313.714229,4318.900986,None,None,4333.965300,3.984874
72,2,0,0,0,72.393,213.264,140.871,0,4339.211839,4344.198301,None,None,4359.313035,1.304925
73,2,0,1,3,152.067,128.161,-23.907,1,4361.920315,4366.799205,None,None,4381.865596,3.328549
73,1,0,1,1,152.067,230.29,78.222,None,4611.539820,4616.737384,None,None,4631.846679,3.548995
74,1,2,2,0,259.8,1.098,101.298,None,4636.557757,4641.532577,None,None,4656.660038,3.495348
75,1,0,3,1,341.687,230.29,-111.397,None,4661.362654,4666.548927,None,None,4681.621954,1.877909
76,1,2,1,0,166.776,1.098,-165.678,None,4684.741341,4689.648811,None,None,4704.776675,2.033763
77,1,3,1,0,177.932,23.97,-153.962,None,4707.979796,4712.825160,None,None,4727.916068,1.986757
78,1,0,2,1,251.599,230.29,-21.309,None,4731.107045,4736.668552,None,None,4751.752094,2.857229
79,1,0,3,0,341.687,42.779,61.092,None,4755.861551,4760.602223,None,None,4775.684548,4.294800
80,1,3,1,1,177.932,267.238,89.306,None,4781.145310,4785.927315,None,None,4801.025684,2.418100
82,2,3,1,1,177.932,316.33,138.398,0,4804.673280,4809.578526,None,None,4824.677008,1.098989
83,2,2,3,0,345.018,207.599,-137.419,0,4826.913426,4832.018470,None,None,4847.066026,3.742005
84,2,1,0,3,86.89,148.822,61.932,0,4852.075190,4857.538993,None,None,4872.554674,2.885653
85,2,3,2,3,266.607,136.796,-129.811,0,4876.716189,4882.073617,None,None,4897.149829,3.782703
85,1,3,0,1,87.519,267.238,179.719,None,5105.321727,5110.482163,None,None,5125.635004,1.434734
86,1,2,1,1,166.776,264.027,97.251,None,5128.365785,5133.423458,None,None,5148.526290,2.222861
87,1,0,2,0,251.599,42.779,151.18,None,5152.289209,5157.300698,None,None,5172.471171,4.795978
88,1,0,3,1,341.687,230.29,-111.397,None,5178.624115,5184.131788,None,None,5199.175641,1.356894
89,1,2,0,1,74.712,264.027,-170.685,None,5201.803856,5206.983839,None,None,5222.048556,4.007056
90,1,3,1,1,177.932,267.238,89.306,None,5227.277700,5232.859404,None,None,5247.899383,4.975072
91,1,1,1,1,185.802,242.143,56.341,None,5254.137545,5258.979200,None,None,5274.062621,1.509398
92,1,2,1,0,166.776,1.098,-165.678,None,5276.814530,5282.140939,None,None,5297.189780,4.536741
94,2,0,2,3,251.599,128.161,-123.438,0,5302.976665,5308.511828,None,None,5323.640026,1.865340
95,2,2,3,1,345.018,287.922,-57.096,0,5326.730445,5332.375581,None,None,5347.509737,3.164628
96,2,1,1,3,185.802,148.822,-36.98,0,5351.878941,5356.954111,None,None,5372.042949,4.208923
97,2,3,3,1,356.821,316.33,-40.491,0,5377.449336,5382.784127,None,None,5397.892791,2.604328
