Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,1,3,2,1,266.607,267.238,0.631,None,66.082694,71.631354,72.083869,0.452515,72.086382,4.241566
2,1,2,1,1,166.776,264.027,97.251,None,77.508425,82.670256,83.188324,0.518068,83.190874,1.156678
3,1,0,2,0,251.599,42.779,151.18,None,85.514447,90.186400,90.682037,0.495637,90.684983,3.006794
4,1,1,3,1,8.01,242.143,-125.866,None,94.841276,99.806457,100.281874,0.475417,100.284731,3.668801
5,1,2,2,0,259.8,1.098,101.298,None,105.108634,110.391596,110.864070,0.472474,110.866891,1.102170
6,1,2,0,0,74.712,1.098,-73.614,None,113.091267,118.054294,118.673666,0.619372,118.676107,4.910866
7,1,0,0,0,72.393,42.779,-29.614,None,124.738763,129.686766,130.269810,0.583044,130.271785,2.291888
8,1,0,2,0,251.599,42.779,151.18,None,133.717129,138.815059,139.350668,0.535609,139.353545,2.115480
9,2,2,2,3,259.8,133.004,-126.796,0,142.604125,147.394525,147.687035,0.29251,147.688270,2.075695
9,2,1,0,3,86.89,148.822,61.932,0,150.919515,156.012465,156.412816,0.400351,156.414752,3.205066
9,2,2,3,3,345.018,133.004,147.986,0,160.729972,165.807191,166.382941,0.57575,166.384896,3.618129
9,2,0,2,0,251.599,213.264,-38.335,0,171.138798,176.676551,177.199706,0.523155,177.200713,1.910756
