onset,duration,trial_type,response
0.0184,8.8194,p_startup,other
8.8544,0.4168,grid,other
9.2712,1.5171,6_dots_control,other
10.7883,3.0176,maintenance,other
15.273,1.5171,response,miss
16.8068,0.4168,grid,other
17.2236,1.5171,2_dots,other
18.7408,3.0176,maintenance,other
23.2255,2.5174,response,hit
25.7596,0.4168,grid,other
26.1764,1.5171,2_dots,other
27.6935,3.0176,maintenance,other
32.1782,4.518,response,hit
36.7129,0.4168,grid,other
37.1297,1.5171,4_dots_control,other
38.6468,3.0176,maintenance,other
43.1149,6.0185,response,hit
49.1501,0.4168,grid,other
49.5669,1.5171,2_dots_control,other
51.084,3.0176,maintenance,other
55.5687,2.0173,response,miss
57.6026,0.4168,grid,other
58.0194,1.5171,4_dots,other
59.5366,3.0176,maintenance,other
64.0213,1.5171,response,hit
65.5551,0.4168,grid,other
65.9719,1.5171,2_dots_control,other
67.489,3.0176,maintenance,other
71.9737,1.5171,response,miss
73.5075,0.4168,grid,other
73.9243,1.5171,6_dots,other
75.4414,3.0176,maintenance,other
79.9261,4.518,response,hit
84.4609,0.4168,grid,other
84.8776,1.5171,2_dots_control,other
86.3948,3.0176,maintenance,other
90.8795,1.017,response,hit
91.9131,0.4168,grid,other
92.3299,1.5171,6_dots_control,other
93.8471,3.0176,maintenance,other
98.3318,4.518,response,hit
102.8665,0.4168,grid,other
103.2833,1.5171,6_dots,other
104.8004,3.0176,maintenance,other
109.2851,3.5177,response,hit
112.8195,0.4168,grid,other
113.2363,1.5171,2_dots_control,other
114.7535,3.0176,maintenance,other
119.2382,1.5171,response,hit
120.772,0.4168,grid,other
121.1888,1.5171,4_dots_control,other
122.7059,3.0176,maintenance,other
127.1906,1.5171,response,miss
128.7244,0.4168,grid,other
129.1412,1.5171,6_dots,other
130.6583,3.0176,maintenance,other
135.143,2.5174,response,hit
137.6771,0.4168,grid,other
138.0939,1.5171,4_dots_control,other
139.611,3.0176,maintenance,other
144.0958,3.5177,response,hit
147.6302,0.4168,grid,other
148.047,1.5171,6_dots_control,other
149.5641,3.0176,maintenance,other
154.0488,1.5171,response,miss
155.5826,0.4168,grid,other
155.9994,1.5171,4_dots_control,other
157.5165,3.0176,maintenance,other
162.0012,2.0173,response,miss
164.0352,0.4168,grid,other
164.452,1.5171,4_dots,other
165.9691,3.0176,maintenance,other
170.4538,4.0179,response,hit
174.4884,0.4168,grid,other
174.9052,1.5171,6_dots,other
176.4223,3.0176,maintenance,other
180.907,6.0185,response,hit
186.9422,0.4168,grid,other
187.359,1.5171,6_dots_control,other
188.8761,3.0176,maintenance,other
193.3608,3.0176,response,hit
196.3951,0.4168,grid,other
196.8119,1.5171,6_dots_control,other
198.329,3.0176,maintenance,other
202.8137,2.5174,response,miss
205.3478,0.4168,grid,other
205.7646,1.5171,2_dots,other
207.2817,3.0176,maintenance,other
211.7664,1.5171,response,hit
213.3002,0.4168,grid,other
213.717,1.5171,4_dots,other
215.2342,3.0176,maintenance,other
219.7189,1.5171,response,hit
221.2527,0.4168,grid,other
221.6695,1.5171,4_dots_control,other
223.1866,3.0176,maintenance,other
227.6713,3.5177,response,miss
231.2057,0.4168,grid,other
231.6225,1.5171,4_dots_control,other
233.1396,3.0176,maintenance,other
237.6244,2.5174,response,hit
240.1585,0.4168,grid,other
240.5753,1.5171,4_dots,other
242.0924,3.0176,maintenance,other
246.5771,3.0176,response,hit
249.6114,0.4168,grid,other
250.0281,1.5171,2_dots,other
251.5453,3.0176,maintenance,other
256.03,4.518,response,hit
260.5647,0.4168,grid,other
260.9815,1.5171,4_dots,other
262.4986,3.0176,maintenance,other
266.9833,4.518,response,hit
271.5181,0.4168,grid,other
271.9348,1.5171,6_dots_control,other
273.452,3.0176,maintenance,other
277.9367,3.0176,response,hit
280.9709,0.4168,grid,other
281.3877,1.5171,2_dots_control,other
282.9049,3.0176,maintenance,other
287.3896,1.5171,response,miss
288.9234,0.4168,grid,other
289.3402,1.5171,6_dots,other
290.8573,3.0176,maintenance,other
295.342,1.5171,response,hit
296.8758,0.4168,grid,other
297.2926,1.5171,2_dots,other
298.8097,3.0176,maintenance,other
303.2944,5.0182,response,hit
308.3293,0.4168,grid,other
308.7461,1.5171,2_dots,other
310.2632,3.0176,maintenance,other
314.7479,6.0185,response,hit
320.7831,0.4168,grid,other
321.1999,1.5171,4_dots,other
322.717,3.0176,maintenance,other
327.1851,4.518,response,hit
331.7198,0.4168,grid,other
332.1366,1.5171,6_dots,other
333.6537,3.0176,maintenance,other
338.1384,4.0179,response,miss
342.173,0.4168,grid,other
342.5898,1.5171,2_dots_control,other
344.1069,3.0176,maintenance,other
348.5749,1.5171,response,hit
