"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"1718","13","text","0","1721","0.0-0.0","pilot-39_ses-02_2","","","","","","","","","","","","","","","",""
"1090","89","poldrack-text","1","3832","0.0-1.0","pilot-39_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","1090","500","fmri_response_test","","","","","","","","","","","",""
"494","71","poldrack-text","2","4844","0.0-2.0","pilot-39_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","494","500","fmri_response_test","","","","","","","","","","","",""
"517","82","poldrack-text","3","5882","0.0-3.0","pilot-39_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre annulaire</p></div>","517","500","fmri_response_test","","","","","","","","","","","",""
"3954","32","poldrack-single-stim","4","10356","0.0-4.0","pilot-39_ses-02_2","","3954","500","instructions","<div class = centerbox><div class = center-text>Repondre a la <strong>coleur de l'encre</strong> du mot!<br><br><span style = ""color:red;padding-left:30px"">MOT</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">MOT</span>: Majeur<br><span style = ""color:#4FE829;"">MOT</span>: Annulaire<br><br>Nous allos commencer par un peu de pratique</div></div>","32","3954","","","","","","","","",""
"1077","82","poldrack-categorize","5","12934","0.0-5.0-0.0-0.0","pilot-39_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","500","congruent","green","green","1","practice",""
"-1","-1","poldrack-single-stim","6","13213","0.0-5.0-1.0","pilot-39_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"663","71","poldrack-categorize","7","15255","0.0-5.0-2.0-0.0","pilot-39_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","500","congruent","blue","blue","2","practice",""
"-1","-1","poldrack-single-stim","8","15528","0.0-5.0-3.0","pilot-39_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"869","71","poldrack-categorize","9","17567","0.0-5.0-4.0-0.0","pilot-39_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","500","incongruent","blue","red","3","practice",""
"-1","-1","poldrack-single-stim","10","17837","0.0-5.0-5.0","pilot-39_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"700","82","poldrack-categorize","11","19880","0.0-5.0-6.0-0.0","pilot-39_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","500","incongruent","green","blue","4","practice",""
"-1","-1","poldrack-single-stim","12","20162","0.0-5.0-7.0","pilot-39_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"659","89","poldrack-categorize","13","22185","0.0-5.0-8.0-0.0","pilot-39_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","500","incongruent","red","green","5","practice",""
"-1","-1","poldrack-single-stim","14","22466","0.0-5.0-9.0","pilot-39_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"645","89","poldrack-categorize","15","24502","0.0-5.0-10.0-0.0","pilot-39_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","500","congruent","red","red","6","practice",""
"-1","-1","poldrack-single-stim","16","24770","0.0-5.0-11.0","pilot-39_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"518","89","poldrack-categorize","17","26804","0.0-5.0-12.0-0.0","pilot-39_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","500","incongruent","red","blue","7","practice",""
"-1","-1","poldrack-single-stim","18","27071","0.0-5.0-13.0","pilot-39_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"551","82","poldrack-categorize","19","29095","0.0-5.0-14.0-0.0","pilot-39_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","500","incongruent","green","red","8","practice",""
"-1","-1","poldrack-single-stim","20","29375","0.0-5.0-15.0","pilot-39_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"635","71","poldrack-categorize","21","31403","0.0-5.0-16.0-0.0","pilot-39_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","500","incongruent","blue","green","9","practice",""
"-1","-1","poldrack-single-stim","22","31694","0.0-5.0-17.0","pilot-39_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"6379","32","poldrack-text","23","38078","0.0-6.0","pilot-39_ses-02_2","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","6379","0","fmri_scanner_wait","","","","","","","","","","","",""
