"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","exp_id"
"13970","13","text","0","13974","0.0-0.0","sub-14_ses-01_2","","","","","","","","","","","","","","","","","",""
"4871","89","poldrack-text","1","19858","0.0-1.0","sub-14_ses-01_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","4871","500","fmri_response_test","","","","","","","","","","","","","",""
"248","71","poldrack-text","2","20626","0.0-2.0","sub-14_ses-01_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","248","500","fmri_response_test","","","","","","","","","","","","","",""
"5047","","survey-text","3","26209","0.0-3.0","sub-14_ses-01_2","","","","task_setup","{""Q0"":""250""}","","","","","","","","","","","","",""
"5222","32","poldrack-single-stim","4","32537","0.0-4.0","sub-14_ses-01_2","","5222","0","instructions","","<div class = instructbox><p class = instruct-text><font size=""+2"">Une seule cle est correcte pour chaque forme. Ne repondez pas si vous voyez l'etoile rouge! Les cles correctes son les suivantes:</font><ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png width= ""50%"" height= ""50%""></img>Index</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png width= ""50%"" height= ""50%""></img>Index</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png width= ""50%"" height= ""50%""></img>Majeur</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png width= ""50%"" height= ""50%""></img>Majeur</div></li></ul></div>","32","5222","","","","","","","","","",""
"-1","-1","poldrack-categorize","5","34921","0.0-5.0-0.0-0.0","sub-14_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","false","71","500","practice","0","","","","",""
"1001","71","poldrack-categorize","6","37572","0.0-5.0-0.0-1.0","sub-14_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","1","","","","",""
"765","89","poldrack-categorize","7","40232","0.0-5.0-0.0-2.0","sub-14_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","2","","","","",""
"675","71","poldrack-categorize","8","42883","0.0-5.0-0.0-3.0","sub-14_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","3","","","","",""
"517","89","poldrack-categorize","9","45521","0.0-5.0-0.0-4.0","sub-14_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","4","","","","",""
"592","71","poldrack-categorize","10","48173","0.0-5.0-0.0-5.0","sub-14_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","5","","","","",""
"523","89","poldrack-categorize","11","50812","0.0-5.0-0.0-6.0","sub-14_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","6","","","","",""
"552","71","poldrack-categorize","12","53462","0.0-5.0-0.0-7.0","sub-14_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","7","","","","",""
"441","89","poldrack-categorize","13","56102","0.0-5.0-0.0-8.0","sub-14_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","8","","","","",""
