"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"602","82","poldrack-single-stim","55","976030","0.0-11.0-27.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","27","test",""
"613","71","poldrack-single-stim","56","978051","0.0-11.0-28.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","28","test",""
"540","89","poldrack-single-stim","57","980208","0.0-11.0-29.0","sub-11_sess-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","29","test",""
"684","82","poldrack-single-stim","58","982229","0.0-11.0-30.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","30","test",""
"689","82","poldrack-single-stim","59","984240","0.0-11.0-31.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","31","test",""
"629","71","poldrack-single-stim","60","986390","0.0-11.0-32.0","sub-11_sess-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","32","test",""
"853","71","poldrack-single-stim","61","988410","0.0-11.0-33.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","33","test",""
"531","89","poldrack-single-stim","62","990419","0.0-11.0-34.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","34","test",""
"720","82","poldrack-single-stim","63","992602","0.0-11.0-35.0","sub-11_sess-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","35","test",""
"718","89","poldrack-single-stim","64","994760","0.0-11.0-36.0","sub-11_sess-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","36","test",""
"643","71","poldrack-single-stim","65","997050","0.0-11.0-37.0","sub-11_sess-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","37","test",""
"594","89","poldrack-single-stim","66","999740","0.0-11.0-38.0","sub-11_sess-02_1","","2680","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","38","test",""
"609","71","poldrack-single-stim","67","1001760","0.0-11.0-39.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","39","test",""
"541","82","poldrack-single-stim","68","1003780","0.0-11.0-40.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","40","test",""
"575","82","poldrack-single-stim","69","1006060","0.0-11.0-41.0","sub-11_sess-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","41","test",""
"712","71","poldrack-single-stim","70","1008079","0.0-11.0-42.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","42","test",""
"649","89","poldrack-single-stim","71","1010099","0.0-11.0-43.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","43","test",""
"673","82","poldrack-single-stim","72","1012109","0.0-11.0-44.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","44","test",""
"853","71","poldrack-single-stim","73","1014129","0.0-11.0-45.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","45","test",""
"680","89","poldrack-single-stim","74","1016140","0.0-11.0-46.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","46","test",""
"757","82","poldrack-single-stim","75","1018159","0.0-11.0-47.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","47","test",""
"768","71","poldrack-single-stim","76","1020440","0.0-11.0-48.0","sub-11_sess-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","48","test",""
"763","82","poldrack-single-stim","77","1022459","0.0-11.0-49.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","49","test",""
"504","82","poldrack-single-stim","78","1024880","0.0-11.0-50.0","sub-11_sess-02_1","","2408","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","50","test",""
"592","71","poldrack-single-stim","79","1026900","0.0-11.0-51.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","51","test",""
"521","82","poldrack-single-stim","80","1029040","0.0-11.0-52.0","sub-11_sess-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","52","test",""
"563","71","poldrack-single-stim","81","1031058","0.0-11.0-53.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","53","test",""
"535","71","poldrack-single-stim","82","1033079","0.0-11.0-54.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","54","test",""
"574","71","poldrack-single-stim","83","1035100","0.0-11.0-55.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","55","test",""
"398","71","poldrack-single-stim","84","1037380","0.0-11.0-56.0","sub-11_sess-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","56","test",""
"850","89","poldrack-single-stim","85","1039390","0.0-11.0-57.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","57","test",""
"675","71","poldrack-single-stim","86","1041679","0.0-11.0-58.0","sub-11_sess-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","58","test",""
"753","71","poldrack-single-stim","87","1043959","0.0-11.0-59.0","sub-11_sess-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","59","test",""
"602","89","poldrack-single-stim","88","1045978","0.0-11.0-60.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","60","test",""
"637","71","poldrack-single-stim","89","1048679","0.0-11.0-61.0","sub-11_sess-02_1","","2680","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","61","test",""
"579","82","poldrack-single-stim","90","1050698","0.0-11.0-62.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","62","test",""
"701","89","poldrack-single-stim","91","1052979","0.0-11.0-63.0","sub-11_sess-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","63","test",""
