"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","exp_id"
"1222","13","text","0","1223","0.0-0.0","sub-07_ses-01_2","","","","","","","","","","","","","","","","","",""
"2133","89","poldrack-text","1","4371","0.0-1.0","sub-07_ses-01_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","2133","500","fmri_response_test","","","","","","","","","","","","","",""
"521","71","poldrack-text","2","5398","0.0-2.0","sub-07_ses-01_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","521","500","fmri_response_test","","","","","","","","","","","","","",""
"5880","","survey-text","3","11807","0.0-3.0","sub-07_ses-01_2","","","","task_setup","{""Q0"":""250""}","","","","","","","","","","","","",""
"5107","32","poldrack-single-stim","4","17963","0.0-4.0","sub-07_ses-01_2","","5107","0","instructions","","<div class = instructbox><p class = instruct-text><font size=""+2"">Une seule cle est correcte pour chaque forme. Ne repondez pas si vous voyez l'etoile rouge! Les cles correctes son les suivantes:</font><ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png width= ""50%"" height= ""50%""></img>Index</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png width= ""50%"" height= ""50%""></img>Index</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png width= ""50%"" height= ""50%""></img>Majeur</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png width= ""50%"" height= ""50%""></img>Majeur</div></li></ul></div>","32","5107","","","","","","","","","",""
"1134","71","poldrack-categorize","5","20355","0.0-5.0-0.0-0.0","sub-07_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","0","","","","",""
"651","89","poldrack-categorize","6","22996","0.0-5.0-0.0-1.0","sub-07_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","1","","","","",""
"714","71","poldrack-categorize","7","25636","0.0-5.0-0.0-2.0","sub-07_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","2","","","","",""
"630","89","poldrack-categorize","8","28265","0.0-5.0-0.0-3.0","sub-07_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","3","","","","",""
"711","89","poldrack-categorize","9","30886","0.0-5.0-0.0-4.0","sub-07_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","4","","","","",""
"578","89","poldrack-categorize","10","33525","0.0-5.0-0.0-5.0","sub-07_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","5","","","","",""
"613","71","poldrack-categorize","11","36144","0.0-5.0-0.0-6.0","sub-07_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","6","","","","",""
"702","89","poldrack-categorize","12","38776","0.0-5.0-0.0-7.0","sub-07_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","7","","","","",""
"646","71","poldrack-categorize","13","41396","0.0-5.0-0.0-8.0","sub-07_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","8","","","","",""
"794","89","poldrack-categorize","14","44034","0.0-5.0-0.0-9.0","sub-07_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","9","","","","",""
"655","71","poldrack-categorize","15","46686","0.0-5.0-0.0-10.0","sub-07_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","10","","","","",""
"716","71","poldrack-categorize","16","49335","0.0-5.0-0.0-11.0","sub-07_ses-01_2","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","11","","","","",""
"2253","32","poldrack-text","17","51851","0.0-6.0","sub-07_ses-01_2","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","2253","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"58423","84","poldrack-text","18","110277","0.0-7.0","sub-07_ses-01_2","<div class = centerbox><div style='color:red'; class = center-text>+</div></div>","58423","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","19","111287","0.0-8.0","sub-07_ses-01_2","","1000","0","fmri_buffer","","","none","1000","","","","","","","","","",""
"-1","-1","poldrack-single-stim","20","112806","0.0-9.0","sub-07_ses-01_2","","1500","500","test_start_block","","<div class = centerbox><div class = center-text>Preparez-vous!</p></div>","none","1500","","","","","","","","","",""
"-1","-1","stop-signal","21","115586","0.0-10.0-0.0","sub-07_ses-01_2","","2250","0","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","false","89","","test","0","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","250","stop","500",""
"850","71","stop-signal","22","118266","0.0-10.0-1.0","sub-07_ses-01_2","","2658","0","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","","test","1","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","300","go","500",""
"1006","71","stop-signal","23","120936","0.0-10.0-2.0","sub-07_ses-01_2","","2658","0","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","","test","2","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","300","go","500",""
"973","89","stop-signal","24","123196","0.0-10.0-3.0","sub-07_ses-01_2","","2250","0","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","","test","3","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","300","go","500",""
