"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"1048","13","text","0","1054","0.0-0.0","sub-07_ses-02_2","","","","","","","","","","","","","","","",""
"4310","89","poldrack-text","1","6393","0.0-1.0","sub-07_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","4310","500","fmri_response_test","","","","","","","","","","","",""
"288","71","poldrack-text","2","7191","0.0-2.0","sub-07_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","288","500","fmri_response_test","","","","","","","","","","","",""
"1921","82","poldrack-text","3","9620","0.0-3.0","sub-07_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre annulaire</p></div>","1921","500","fmri_response_test","","","","","","","","","","","",""
"4179","32","poldrack-single-stim","4","14312","0.0-4.0","sub-07_ses-02_2","","4179","500","instructions","<div class = centerbox><div class = center-text><font size = +4>Repondre a la <strong>coleur de l'encre</strong> du mot!<br><br><span style = ""color:red;padding-left:30px"">MOT</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">MOT</span>: Majeur<br><span style = ""color:#4FE829;"">MOT</span>: Annulaire<br><br>Nous allons commencer par un peu de pratique</div></div>","32","4179","","","","","","","","",""
"1149","89","poldrack-categorize","5","16846","0.0-5.0-0.0-0.0","sub-07_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","false","82","500","incongruent","green","red","1","practice",""
"-1","-1","poldrack-single-stim","6","17106","0.0-5.0-1.0","sub-07_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"992","71","poldrack-categorize","7","19137","0.0-5.0-2.0-0.0","sub-07_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","500","incongruent","blue","red","2","practice",""
"-1","-1","poldrack-single-stim","8","19395","0.0-5.0-3.0","sub-07_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"1095","82","poldrack-categorize","9","21436","0.0-5.0-4.0-0.0","sub-07_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","500","incongruent","green","blue","3","practice",""
"-1","-1","poldrack-single-stim","10","21698","0.0-5.0-5.0","sub-07_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"644","82","poldrack-categorize","11","23737","0.0-5.0-6.0-0.0","sub-07_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","500","congruent","green","green","4","practice",""
"-1","-1","poldrack-single-stim","12","23997","0.0-5.0-7.0","sub-07_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"706","89","poldrack-categorize","13","26037","0.0-5.0-8.0-0.0","sub-07_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","500","incongruent","red","blue","5","practice",""
"-1","-1","poldrack-single-stim","14","26295","0.0-5.0-9.0","sub-07_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"686","71","poldrack-categorize","15","28336","0.0-5.0-10.0-0.0","sub-07_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","500","congruent","blue","blue","6","practice",""
"-1","-1","poldrack-single-stim","16","28596","0.0-5.0-11.0","sub-07_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"758","89","poldrack-categorize","17","30626","0.0-5.0-12.0-0.0","sub-07_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","500","congruent","red","red","7","practice",""
"-1","-1","poldrack-single-stim","18","30886","0.0-5.0-13.0","sub-07_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"1261","71","poldrack-categorize","19","32927","0.0-5.0-14.0-0.0","sub-07_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","500","incongruent","blue","green","8","practice",""
"-1","-1","poldrack-single-stim","20","33197","0.0-5.0-15.0","sub-07_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"550","89","poldrack-categorize","21","35237","0.0-5.0-16.0-0.0","sub-07_ses-02_2","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","500","incongruent","red","green","9","practice",""
"-1","-1","poldrack-single-stim","22","35496","0.0-5.0-17.0","sub-07_ses-02_2","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"1797","32","poldrack-text","23","37304","0.0-6.0","sub-07_ses-02_2","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","1797","0","fmri_scanner_wait","","","","","","","","","","","",""
"52729","84","poldrack-text","24","90037","0.0-7.0","sub-07_ses-02_2","<div class = centerbox><div style='color:red'; class = center-text>+</div></div>","52729","0","fmri_trigger_wait","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","25","91047","0.0-8.0","sub-07_ses-02_2","","1000","0","fmri_buffer","","none","1000","","","","","","","","",""
"-1","-1","poldrack-single-stim","26","92567","0.0-9.0","sub-07_ses-02_2","","1500","500","test_start_block","<div class = centerbox><div class = center-text>Preparez-vous!</p></div>","none","1500","","","","","","","","",""
"-1","-1","poldrack-single-stim","27","93606","0.0-10.0","sub-07_ses-02_2","","500","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","500","","","","","","","","",""
"860","71","poldrack-single-stim","28","95625","0.0-11.0-0.0","sub-07_ses-02_2","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","0","test",""
"564","89","poldrack-single-stim","29","97646","0.0-11.0-1.0","sub-07_ses-02_2","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","1","test",""
"443","82","poldrack-single-stim","30","99926","0.0-11.0-2.0","sub-07_ses-02_2","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","2","test",""
"701","89","poldrack-single-stim","31","101946","0.0-11.0-3.0","sub-07_ses-02_2","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","3","test",""
