"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"1280","13","text","0","1285","0.0-0.0","sub-07_ses-02_2","","","","","","","","","","","","","",""
"5643","89","poldrack-text","1","7940","0.0-1.0","sub-07_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","5643","500","fmri_response_test","","","","","","","","","",""
"725","71","poldrack-text","2","9177","0.0-2.0","sub-07_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","725","500","fmri_response_test","","","","","","","","","",""
"3998","32","poldrack-single-stim","3","13692","0.0-3.0","sub-07_ses-02_2","","3998","500","instructions","<div class = centerbox><div class = center-text><font size=""+3"">Choisissez entre <strong>20€ aujourd'hui</strong> ou l'option presentee.<br><strong>Index:</strong> Accepter l'option a l'ecran (rejeter 20€ aujourd'hui). <br><strong>Majeur:</strong> Rejeter l'option a l'ecran (accept 20€ today)<br>Nous commencerons par un essai d'entrainement.</font></div></div>","32","3998","","","","","","",""
"1275","89","poldrack-single-stim","4","15486","0.0-4.0","sub-07_ses-02_2","","1275","1000","stim","<div class = dd-stim><div class = amtbox style = ""color:white"">53.75€</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71","1275","practice","","","","","",""
"1825","32","poldrack-text","5","18325","0.0-5.0","sub-07_ses-02_2","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","1825","0","fmri_scanner_wait","","","","","","","","","",""
"55698","84","poldrack-text","6","74027","0.0-6.0","sub-07_ses-02_2","<div class = centerbox><div style='color:red'; class = center-text>+</div></div>","55698","0","fmri_trigger_wait","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","75042","0.0-7.0","sub-07_ses-02_2","","1000","0","fmri_buffer","","none","1000","","","","","","",""
"-1","-1","poldrack-single-stim","8","76561","0.0-8.0","sub-07_ses-02_2","","1500","500","test_start_block","<div class = centerbox><div class = center-text>Preparez-vous!</p></div>","none","1500","","","","","","",""
"1430","71","poldrack-single-stim","9","82399","0.0-9.0","sub-07_ses-02_2","","5316","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">31€</div><br><br><div class = delbox style = ""color:white"">76 jours</div></div>","89,71","4000","","20","31","76","smaller_sooner","",""
"978","71","poldrack-single-stim","10","86989","0.0-10.0","sub-07_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">43€</div><br><br><div class = delbox style = ""color:white"">19 jours</div></div>","89,71","4000","","20","43","19","smaller_sooner","",""
"2110","71","poldrack-single-stim","11","91637","0.0-11.0","sub-07_ses-02_2","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">60€</div><br><br><div class = delbox style = ""color:white"">124 jours</div></div>","89,71","4000","","20","60","124","smaller_sooner","",""
"1530","71","poldrack-single-stim","12","96568","0.0-12.0","sub-07_ses-02_2","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">27€</div><br><br><div class = delbox style = ""color:white"">142 jours</div></div>","89,71","4000","","20","27","142","smaller_sooner","",""
"1135","71","poldrack-single-stim","13","101088","0.0-13.0","sub-07_ses-02_2","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">25€</div><br><br><div class = delbox style = ""color:white"">70 jours</div></div>","89,71","4000","","20","25","70","smaller_sooner","",""
"1924","89","poldrack-single-stim","14","106068","0.0-14.0","sub-07_ses-02_2","","4976","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">44€</div><br><br><div class = delbox style = ""color:white"">92 jours</div></div>","89,71","4000","","20","44","92","larger_later","",""
"1426","89","poldrack-single-stim","15","110998","0.0-15.0","sub-07_ses-02_2","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">41€</div><br><br><div class = delbox style = ""color:white"">27 jours</div></div>","89,71","4000","","20","41","27","larger_later","",""
"1496","89","poldrack-single-stim","16","115587","0.0-16.0","sub-07_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">64€</div><br><br><div class = delbox style = ""color:white"">89 jours</div></div>","89,71","4000","","20","64","89","larger_later","",""
"2009","89","poldrack-single-stim","17","120108","0.0-17.0","sub-07_ses-02_2","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">78€</div><br><br><div class = delbox style = ""color:white"">108 jours</div></div>","89,71","4000","","20","78","108","larger_later","",""
"1864","89","poldrack-single-stim","18","126329","0.0-18.0","sub-07_ses-02_2","","6200","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">80€</div><br><br><div class = delbox style = ""color:white"">145 jours</div></div>","89,71","4000","","20","80","145","larger_later","",""
"1162","71","poldrack-single-stim","19","131037","0.0-19.0","sub-07_ses-02_2","","4704","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">41€</div><br><br><div class = delbox style = ""color:white"">174 jours</div></div>","89,71","4000","","20","41","174","smaller_sooner","",""
"1016","71","poldrack-single-stim","20","136098","0.0-20.0","sub-07_ses-02_2","","5044","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">42€</div><br><br><div class = delbox style = ""color:white"">145 jours</div></div>","89,71","4000","","20","42","145","smaller_sooner","",""
