"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"2143","13","text","0","2147","0.0-0.0","sub-11_sess-02_1","","","","","","","","","","","","","",""
"1104","89","poldrack-text","1","4260","0.0-1.0","sub-11_sess-02_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","1104","500","fmri_response_test","","","","","","","","","",""
"377","71","poldrack-text","2","5156","0.0-2.0","sub-11_sess-02_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","377","500","fmri_response_test","","","","","","","","","",""
"3161","32","poldrack-single-stim","3","8839","0.0-3.0","sub-11_sess-02_1","","3161","500","instructions","<div class = centerbox><div class = center-text><font size=""+3"">Choisissez entre <strong>20€ aujourd'hui</strong> ou l'option presentee.<br><strong>Index:</strong> Accepter l'option a l'ecran (rejeter 20€ aujourd'hui). <br><strong>Majeur:</strong> Rejeter l'option a l'ecran (accept 20€ today)<br>Nous commencerons par un essai d'entrainement.</font></div></div>","32","3161","","","","","","",""
"2200","71","poldrack-single-stim","4","11546","0.0-4.0","sub-11_sess-02_1","","2200","1000","stim","<div class = dd-stim><div class = amtbox style = ""color:white"">53.75€</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71","2200","practice","","","","","",""
"2417","32","poldrack-text","5","14980","0.0-5.0","sub-11_sess-02_1","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","2417","0","fmri_scanner_wait","","","","","","","","","",""
"55345","84","poldrack-text","6","70330","0.0-6.0","sub-11_sess-02_1","<div class = centerbox><div style='color:red'; class = center-text>+</div></div>","55345","0","fmri_trigger_wait","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","71344","0.0-7.0","sub-11_sess-02_1","","1000","0","fmri_buffer","","none","1000","","","","","","",""
"-1","-1","poldrack-single-stim","8","72864","0.0-8.0","sub-11_sess-02_1","","1500","500","test_start_block","<div class = centerbox><div class = center-text>Preparez-vous!</p></div>","none","1500","","","","","","",""
"2071","89","poldrack-single-stim","9","78703","0.0-9.0","sub-11_sess-02_1","","5316","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">31€</div><br><br><div class = delbox style = ""color:white"">76 jours</div></div>","89,71","4000","","20","31","76","larger_later","",""
"1424","89","poldrack-single-stim","10","83283","0.0-10.0","sub-11_sess-02_1","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">43€</div><br><br><div class = delbox style = ""color:white"">19 jours</div></div>","89,71","4000","","20","43","19","larger_later","",""
"1686","89","poldrack-single-stim","11","87922","0.0-11.0","sub-11_sess-02_1","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">60€</div><br><br><div class = delbox style = ""color:white"">124 jours</div></div>","89,71","4000","","20","60","124","larger_later","",""
"1919","71","poldrack-single-stim","12","92842","0.0-12.0","sub-11_sess-02_1","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">27€</div><br><br><div class = delbox style = ""color:white"">142 jours</div></div>","89,71","4000","","20","27","142","smaller_sooner","",""
"944","71","poldrack-single-stim","13","97361","0.0-13.0","sub-11_sess-02_1","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">25€</div><br><br><div class = delbox style = ""color:white"">70 jours</div></div>","89,71","4000","","20","25","70","smaller_sooner","",""
"786","89","poldrack-single-stim","14","102353","0.0-14.0","sub-11_sess-02_1","","4976","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">44€</div><br><br><div class = delbox style = ""color:white"">92 jours</div></div>","89,71","4000","","20","44","92","larger_later","",""
"1032","89","poldrack-single-stim","15","107272","0.0-15.0","sub-11_sess-02_1","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">41€</div><br><br><div class = delbox style = ""color:white"">27 jours</div></div>","89,71","4000","","20","41","27","larger_later","",""
"997","89","poldrack-single-stim","16","111851","0.0-16.0","sub-11_sess-02_1","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">64€</div><br><br><div class = delbox style = ""color:white"">89 jours</div></div>","89,71","4000","","20","64","89","larger_later","",""
"954","89","poldrack-single-stim","17","116371","0.0-17.0","sub-11_sess-02_1","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">78€</div><br><br><div class = delbox style = ""color:white"">108 jours</div></div>","89,71","4000","","20","78","108","larger_later","",""
"612","89","poldrack-single-stim","18","122591","0.0-18.0","sub-11_sess-02_1","","6200","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">80€</div><br><br><div class = delbox style = ""color:white"">145 jours</div></div>","89,71","4000","","20","80","145","larger_later","",""
"2120","71","poldrack-single-stim","19","127311","0.0-19.0","sub-11_sess-02_1","","4704","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">41€</div><br><br><div class = delbox style = ""color:white"">174 jours</div></div>","89,71","4000","","20","41","174","smaller_sooner","",""
"1158","71","poldrack-single-stim","20","132361","0.0-20.0","sub-11_sess-02_1","","5044","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">42€</div><br><br><div class = delbox style = ""color:white"">145 jours</div></div>","89,71","4000","","20","42","145","smaller_sooner","",""
"1258","71","poldrack-single-stim","21","137421","0.0-21.0","sub-11_sess-02_1","","5044","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">36€</div><br><br><div class = delbox style = ""color:white"">114 jours</div></div>","89,71","4000","","20","36","114","smaller_sooner","",""
"1017","89","poldrack-single-stim","22","142621","0.0-22.0","sub-11_sess-02_1","","5180","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">58€</div><br><br><div class = delbox style = ""color:white"">55 jours</div></div>","89,71","4000","","20","58","55","larger_later","",""
"727","89","poldrack-single-stim","23","147611","0.0-23.0","sub-11_sess-02_1","","4976","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">81€</div><br><br><div class = delbox style = ""color:white"">58 jours</div></div>","89,71","4000","","20","81","58","larger_later","",""
"1581","71","poldrack-single-stim","24","152402","0.0-24.0","sub-11_sess-02_1","","4772","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">32€</div><br><br><div class = delbox style = ""color:white"">111 jours</div></div>","89,71","4000","","20","32","111","smaller_sooner","",""
"1704","71","poldrack-single-stim","25","157182","0.0-25.0","sub-11_sess-02_1","","4772","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">25€</div><br><br><div class = delbox style = ""color:white"">141 jours</div></div>","89,71","4000","","20","25","141","smaller_sooner","",""
"899","89","poldrack-single-stim","26","162372","0.0-26.0","sub-11_sess-02_1","","5180","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">67€</div><br><br><div class = delbox style = ""color:white"">23 jours</div></div>","89,71","4000","","20","67","23","larger_later","",""
"914","89","poldrack-single-stim","27","167572","0.0-27.0","sub-11_sess-02_1","","5180","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">77€</div><br><br><div class = delbox style = ""color:white"">161 jours</div></div>","89,71","4000","","20","77","161","larger_later","",""
"1337","89","poldrack-single-stim","28","172832","0.0-28.0","sub-11_sess-02_1","","5248","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">55€</div><br><br><div class = delbox style = ""color:white"">163 jours</div></div>","89,71","4000","","20","55","163","larger_later","",""
"1072","71","poldrack-single-stim","29","177422","0.0-29.0","sub-11_sess-02_1","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">40€</div><br><br><div class = delbox style = ""color:white"">159 jours</div></div>","89,71","4000","","20","40","159","smaller_sooner","",""
"840","89","poldrack-single-stim","30","181942","0.0-30.0","sub-11_sess-02_1","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">76€</div><br><br><div class = delbox style = ""color:white"">161 jours</div></div>","89,71","4000","","20","76","161","larger_later","",""
