"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"3060","13","text","0","3070","0.0-0.0","sub-04_ses-02_1","","","","","","","","","","","","","",""
"1165","89","poldrack-text","1","5246","0.0-1.0","sub-04_ses-02_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","1165","500","fmri_response_test","","","","","","","","","",""
"351","71","poldrack-text","2","6122","0.0-2.0","sub-04_ses-02_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","351","500","fmri_response_test","","","","","","","","","",""
"5891","32","poldrack-single-stim","3","12530","0.0-3.0","sub-04_ses-02_1","","5891","500","instructions","<div class = centerbox><div class = center-text><font size=""+3"">Choisissez entre <strong>20€ aujourd'hui</strong> ou l'option presentee.<br><strong>Index:</strong> Accepter l'option a l'ecran (rejeter 20€ aujourd'hui). <br><strong>Majeur:</strong> Rejeter l'option a l'ecran (accept 20€ today)<br>Nous commencerons par un essai d'entrainement.</font></div></div>","32","5891","","","","","","",""
"2312","89","poldrack-single-stim","4","15353","0.0-4.0","sub-04_ses-02_1","","2312","1000","stim","<div class = dd-stim><div class = amtbox style = ""color:white"">53.75€</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71","2312","practice","","","","","",""
"9398","32","poldrack-text","5","25757","0.0-5.0","sub-04_ses-02_1","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","9398","0","fmri_scanner_wait","","","","","","","","","",""
"52540","84","poldrack-text","6","78300","0.0-6.0","sub-04_ses-02_1","<div class = centerbox><div style='color:red'; class = center-text>+</div></div>","52540","0","fmri_trigger_wait","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","79309","0.0-7.0","sub-04_ses-02_1","","1000","0","fmri_buffer","","none","1000","","","","","","",""
"-1","-1","poldrack-single-stim","8","80830","0.0-8.0","sub-04_ses-02_1","","1500","500","test_start_block","<div class = centerbox><div class = center-text>Preparez-vous!</p></div>","none","1500","","","","","","",""
"1339","71","poldrack-single-stim","9","86667","0.0-9.0","sub-04_ses-02_1","","5316","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">31€</div><br><br><div class = delbox style = ""color:white"">76 jours</div></div>","89,71","4000","","20","31","76","smaller_sooner","",""
