"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"1532","13","text","0","1536","0.0-0.0","sub-06_ses-02_1","","","","","","","","","","","","","","","",""
"3732","89","poldrack-text","1","6274","0.0-1.0","sub-06_ses-02_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","3732","500","fmri_response_test","","","","","","","","","","","",""
"461","71","poldrack-text","2","7256","0.0-2.0","sub-06_ses-02_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","461","500","fmri_response_test","","","","","","","","","","","",""
"520","82","poldrack-text","3","8291","0.0-3.0","sub-06_ses-02_1","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre annulaire</p></div>","520","500","fmri_response_test","","","","","","","","","","","",""
"6124","32","poldrack-single-stim","4","14941","0.0-4.0","sub-06_ses-02_1","","6124","500","instructions","<div class = centerbox><div class = center-text><font size = +4>Repondre a la <strong>coleur de l'encre</strong> du mot!<br><br><span style = ""color:red;padding-left:30px"">MOT</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">MOT</span>: Majeur<br><span style = ""color:#4FE829;"">MOT</span>: Annulaire<br><br>Nous allos commencer par un peu de pratique</div></div>","32","6124","","","","","","","","",""
"1357","89","poldrack-categorize","5","17490","0.0-5.0-0.0-0.0","sub-06_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","false","71","500","incongruent","blue","green","1","practice",""
"-1","-1","poldrack-single-stim","6","17750","0.0-5.0-1.0","sub-06_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"1335","82","poldrack-categorize","7","19790","0.0-5.0-2.0-0.0","sub-06_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","500","incongruent","green","red","2","practice",""
"-1","-1","poldrack-single-stim","8","20050","0.0-5.0-3.0","sub-06_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"644","82","poldrack-categorize","9","22078","0.0-5.0-4.0-0.0","sub-06_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","500","incongruent","green","blue","3","practice",""
"-1","-1","poldrack-single-stim","10","22341","0.0-5.0-5.0","sub-06_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"489","71","poldrack-categorize","11","24370","0.0-5.0-6.0-0.0","sub-06_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","500","congruent","blue","blue","4","practice",""
"-1","-1","poldrack-single-stim","12","24630","0.0-5.0-7.0","sub-06_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"765","82","poldrack-categorize","13","26669","0.0-5.0-8.0-0.0","sub-06_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","500","congruent","green","green","5","practice",""
"-1","-1","poldrack-single-stim","14","26930","0.0-5.0-9.0","sub-06_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"1016","71","poldrack-categorize","15","28950","0.0-5.0-10.0-0.0","sub-06_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","500","incongruent","blue","red","6","practice",""
"-1","-1","poldrack-single-stim","16","29209","0.0-5.0-11.0","sub-06_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"578","89","poldrack-categorize","17","31240","0.0-5.0-12.0-0.0","sub-06_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","500","incongruent","red","green","7","practice",""
"-1","-1","poldrack-single-stim","18","31500","0.0-5.0-13.0","sub-06_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"687","89","poldrack-categorize","19","33540","0.0-5.0-14.0-0.0","sub-06_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","500","congruent","red","red","8","practice",""
"-1","-1","poldrack-single-stim","20","33800","0.0-5.0-15.0","sub-06_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"906","89","poldrack-categorize","21","35840","0.0-5.0-16.0-0.0","sub-06_ses-02_1","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","500","incongruent","red","blue","9","practice",""
"-1","-1","poldrack-single-stim","22","36100","0.0-5.0-17.0","sub-06_ses-02_1","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
