"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"2142","13","text","0","2146","0.0-0.0","pilot-39_ses-02_2","","","","","","","","","","","","","",""
"861","89","poldrack-text","1","4022","0.0-1.0","pilot-39_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre index</p></div>","861","500","fmri_response_test","","","","","","","","","",""
"294","71","poldrack-text","2","4825","0.0-2.0","pilot-39_ses-02_2","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Veuillez appuyer avec votre majeur</p></div>","294","500","fmri_response_test","","","","","","","","","",""
"3053","32","poldrack-single-stim","3","8399","0.0-3.0","pilot-39_ses-02_2","","3053","500","instructions","<div class = centerbox><div class = center-text><font size=""+3"">Choisissez entre <strong>20€ aujourd'hui</strong> ou l'option presentee.<br><strong>Index:</strong> Accepter l'option a l'ecran (rejeter 20€ aujourd'hui). <br><strong>Majeur:</strong> Rejeter l'option a l'ecran (accept 20€ today)<br>Nous commencerons par un essai d'entrainement.</font></div></div>","32","3053","","","","","","",""
"1302","89","poldrack-single-stim","4","10220","0.0-4.0","pilot-39_ses-02_2","","1302","1000","stim","<div class = dd-stim><div class = amtbox style = ""color:white"">53.75€</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71","1302","practice","","","","","",""
"1339","32","poldrack-text","5","12584","0.0-5.0","pilot-39_ses-02_2","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","1339","0","fmri_scanner_wait","","","","","","","","","",""
"58119","84","poldrack-text","6","70705","0.0-6.0","pilot-39_ses-02_2","<div class = centerbox><div style='color:red'; class = center-text>+</div></div>","58119","0","fmri_trigger_wait","","","","","","","","","",""
"-1","-1","poldrack-single-stim","7","71725","0.0-7.0","pilot-39_ses-02_2","","1000","0","fmri_buffer","","none","1000","","","","","","",""
"-1","-1","poldrack-single-stim","8","73241","0.0-8.0","pilot-39_ses-02_2","","1500","500","test_start_block","<div class = centerbox><div class = center-text>Preparez-vous!</p></div>","none","1500","","","","","","",""
"1273","71","poldrack-single-stim","9","79093","0.0-9.0","pilot-39_ses-02_2","","5316","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">31€</div><br><br><div class = delbox style = ""color:white"">76 jours</div></div>","89,71","4000","","20","31","76","smaller_sooner","",""
"625","71","poldrack-single-stim","10","83673","0.0-10.0","pilot-39_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">43€</div><br><br><div class = delbox style = ""color:white"">19 jours</div></div>","89,71","4000","","20","43","19","smaller_sooner","",""
"355","89","poldrack-single-stim","11","88320","0.0-11.0","pilot-39_ses-02_2","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">60€</div><br><br><div class = delbox style = ""color:white"">124 jours</div></div>","89,71","4000","","20","60","124","larger_later","",""
"993","71","poldrack-single-stim","12","93246","0.0-12.0","pilot-39_ses-02_2","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">27€</div><br><br><div class = delbox style = ""color:white"">142 jours</div></div>","89,71","4000","","20","27","142","smaller_sooner","",""
"896","71","poldrack-single-stim","13","97771","0.0-13.0","pilot-39_ses-02_2","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">25€</div><br><br><div class = delbox style = ""color:white"">70 jours</div></div>","89,71","4000","","20","25","70","smaller_sooner","",""
"1369","89","poldrack-single-stim","14","102767","0.0-14.0","pilot-39_ses-02_2","","4976","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">44€</div><br><br><div class = delbox style = ""color:white"">92 jours</div></div>","89,71","4000","","20","44","92","larger_later","",""
"658","89","poldrack-single-stim","15","107697","0.0-15.0","pilot-39_ses-02_2","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">41€</div><br><br><div class = delbox style = ""color:white"">27 jours</div></div>","89,71","4000","","20","41","27","larger_later","",""
"1149","71","poldrack-single-stim","16","112282","0.0-16.0","pilot-39_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">64€</div><br><br><div class = delbox style = ""color:white"">89 jours</div></div>","89,71","4000","","20","64","89","smaller_sooner","",""
"1443","89","poldrack-single-stim","17","116793","0.0-17.0","pilot-39_ses-02_2","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">78€</div><br><br><div class = delbox style = ""color:white"">108 jours</div></div>","89,71","4000","","20","78","108","larger_later","",""
"528","89","poldrack-single-stim","18","123020","0.0-18.0","pilot-39_ses-02_2","","6200","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">80€</div><br><br><div class = delbox style = ""color:white"">145 jours</div></div>","89,71","4000","","20","80","145","larger_later","",""
"637","71","poldrack-single-stim","19","127747","0.0-19.0","pilot-39_ses-02_2","","4704","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">41€</div><br><br><div class = delbox style = ""color:white"">174 jours</div></div>","89,71","4000","","20","41","174","smaller_sooner","",""
"1013","71","poldrack-single-stim","20","132806","0.0-20.0","pilot-39_ses-02_2","","5044","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">42€</div><br><br><div class = delbox style = ""color:white"">145 jours</div></div>","89,71","4000","","20","42","145","smaller_sooner","",""
"1196","71","poldrack-single-stim","21","137848","0.0-21.0","pilot-39_ses-02_2","","5044","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">36€</div><br><br><div class = delbox style = ""color:white"">114 jours</div></div>","89,71","4000","","20","36","114","smaller_sooner","",""
"1109","71","poldrack-single-stim","22","143056","0.0-22.0","pilot-39_ses-02_2","","5180","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">58€</div><br><br><div class = delbox style = ""color:white"">55 jours</div></div>","89,71","4000","","20","58","55","smaller_sooner","",""
"835","89","poldrack-single-stim","23","148056","0.0-23.0","pilot-39_ses-02_2","","4976","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">81€</div><br><br><div class = delbox style = ""color:white"">58 jours</div></div>","89,71","4000","","20","81","58","larger_later","",""
"870","71","poldrack-single-stim","24","152855","0.0-24.0","pilot-39_ses-02_2","","4772","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">32€</div><br><br><div class = delbox style = ""color:white"">111 jours</div></div>","89,71","4000","","20","32","111","smaller_sooner","",""
"1520","71","poldrack-single-stim","25","157612","0.0-25.0","pilot-39_ses-02_2","","4772","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">25€</div><br><br><div class = delbox style = ""color:white"">141 jours</div></div>","89,71","4000","","20","25","141","smaller_sooner","",""
"1063","89","poldrack-single-stim","26","162801","0.0-26.0","pilot-39_ses-02_2","","5180","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">67€</div><br><br><div class = delbox style = ""color:white"">23 jours</div></div>","89,71","4000","","20","67","23","larger_later","",""
"1070","71","poldrack-single-stim","27","167993","0.0-27.0","pilot-39_ses-02_2","","5180","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">77€</div><br><br><div class = delbox style = ""color:white"">161 jours</div></div>","89,71","4000","","20","77","161","smaller_sooner","",""
"1395","71","poldrack-single-stim","28","173252","0.0-28.0","pilot-39_ses-02_2","","5248","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">55€</div><br><br><div class = delbox style = ""color:white"">163 jours</div></div>","89,71","4000","","20","55","163","smaller_sooner","",""
"1126","71","poldrack-single-stim","29","177831","0.0-29.0","pilot-39_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">40€</div><br><br><div class = delbox style = ""color:white"">159 jours</div></div>","89,71","4000","","20","40","159","smaller_sooner","",""
