,onset,duration,trial_type
1,1.0473,20.0825,Bfix
13,22.1297,2.5226,hi_salience_left
16,25.7394,2.5226,hi_salience_left
20,29.3357,2.5226,hi_salience_right
24,32.9445,2.5226,hi_salience_left
28,36.5529,2.5226,hi_salience_left
32,40.1628,2.5226,hi_salience_left
35,43.7727,2.5226,hi_salience_left
39,47.3839,2.5226,hi_salience_right
43,50.9937,2.5226,hi_salience_left
47,54.6032,2.5226,hi_salience_left
50,57.1425,20.0881,Bfix
62,78.2305,2.5226,low_salience_left
65,81.84,2.5226,low_salience_right
69,85.4513,2.5226,low_salience_left
73,89.0611,2.5226,low_salience_left
77,92.6706,2.5226,low_salience_left
81,96.282,2.5226,low_salience_right
84,99.8937,2.5226,low_salience_right
88,103.5019,2.5226,low_salience_left
92,107.1116,2.5226,low_salience_left
96,110.7219,2.5226,low_salience_right
98,113.2612,20.074,Bfix
111,134.3351,2.5226,hi_salience_left
114,137.9429,2.5226,hi_salience_left
118,141.5521,2.5226,hi_salience_left
122,145.1489,2.5226,hi_salience_right
126,148.7571,2.5226,hi_salience_left
130,152.3668,2.5226,hi_salience_left
134,156.0114,2.5226,hi_salience_left
137,159.6175,2.5226,hi_salience_right
141,163.2274,2.5226,hi_salience_left
145,166.8369,2.5226,hi_salience_right
148,169.3762,20.0225,Bfix
160,190.48,2.5226,low_salience_left
164,194.0896,2.5226,low_salience_right
167,197.6993,2.5226,low_salience_left
171,201.3087,2.5226,low_salience_left
175,204.9187,2.5226,low_salience_right
179,208.5306,2.5226,low_salience_left
183,212.1403,2.5226,low_salience_right
186,215.7502,2.5226,low_salience_left
190,219.3593,2.5226,low_salience_right
194,222.9689,2.5226,low_salience_left
197,225.5082,20.0913,Bfix
209,246.5994,2.5041,hi_salience_right
213,250.1915,2.5226,hi_salience_left
216,253.8027,2.5226,hi_salience_left
220,257.4105,2.5226,hi_salience_right
224,261.0254,2.5226,hi_salience_right
228,264.6303,2.5226,hi_salience_right
232,268.2416,2.5226,hi_salience_right
235,271.8381,2.5226,hi_salience_right
239,275.4444,2.5226,hi_salience_right
242,277.9836,20.1068,Bfix
254,299.0903,2.5226,low_salience_right
258,302.6978,2.5226,low_salience_left
262,306.3073,2.5226,low_salience_left
265,309.9187,2.5226,low_salience_right
269,313.5307,2.5226,low_salience_right
273,317.1266,2.5226,low_salience_right
277,320.7361,2.5226,low_salience_right
281,324.3448,2.5226,low_salience_right
284,327.9411,2.5226,low_salience_left
288,331.548,2.5226,low_salience_left
292,334.0872,21.2002,Bfix
