line,condition,item,pair,syntax,probe_type,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,probe_word
56,consonant_strings,45,1045,consonant_strings,word_present,Nqstgqbpn,krr,vcs,ffdzchns,xsds,ltrpwps,cjfsstpz,dfg,ptghvp,bgkprvk.,bgkprvk
42,pseudoword_list,36,336,pseudoword_list,word_absent,Parfort,une,checririni,le,lention,que,asnus,du,dès,chanfontat.,trimmellui
41,pseudoword_list,26,326,pseudoword_list,word_absent,Voeurs,condorre,le,depuis,scrouave,sombe,scotion,que,terites,les.,choracule
39,word_list,39,439,word_list,word_present,Muet,se,le,sans,serviettes,bahut,la,au,protège,roula.,serviettes
18,complex_sentence,55,55,ObjRel,word_present,Les,relations,bilatérales,que,la,politique,extérieure,change,reprennent,lentement.,relations
34,word_list,11,411,word_list,word_absent,La,confondons,volions,fantassin,revue,sa,pannes,neural,pour,trou.,aidé
25,jabberwocky,38,238,adj,word_present,Les,marverlors,aurivants,escensent,l'égabour,dès,que,flis,porparnants,dévepir.,égabours
28,jabberwocky,53,253,coord,word_present,Les,dérommines,laistrent,aux,roupliants,et,les,pleubans,trubilument,quotrant.,pleubans
0,simple_sentence,8,8,cVP,word_absent,Le,professeur,regrette,les,étudiants,de,cette,classe,en,soupirant.,constamment
45,pseudoword_list,44,344,pseudoword_list,word_present,La,sitraite,auverse,appauder,envrons,que,cerrodre,le,se,contasidait.,cerrodre
30,word_list,22,422,word_list,word_absent,Peuplades,les,festoie,aux,autopsie,des ,aliment,susceptibles,violes,acoustique.,chic
9,simple_sentence,24,24,adj,word_present,Une,voiture,pressée,dépasse,pendant ,que,le,camion,éclabousse,partout.,partout
26,jabberwocky,12,212,cvp,word_present,Le,houtier,a,dénossé,une,flaie,lérellente,en,remairant,l'arsision.,houtier
44,pseudoword_list,35,335,pseudoword_list,word_absent,Pabarbres,les,et,êté,capédain,opmu,la,itait,l'une,suiveme.,tange
50,consonant_strings,46,1046,consonant_strings,word_absent,Fq,rddpg,slnrj,mqmbxpczjb,fvvmv,rb,prgrwxl,bqlpvxq,sp,rfgsvfr.,ntxdstzxn
27,jabberwocky,27,227,adj,word_present,Le,lépavre,dénate,pendant,que,le,cheux,risé,herpi,s'orgice.,herpi
40,pseudoword_list,23,323,pseudoword_list,word_absent,Un,tasa,un,peule,aptaplire,ronche,en,briste,lupare,a.,versi
35,word_list,6,406,word_list,word_present,En,ectoplasme,installe,les,de,grognon,le,l'escabeau,mou,auberge.,grognon
47,pseudoword_list,29,329,pseudoword_list,word_present,Qui,reuil,fisande,dérare,la,a,un,honsulcire,carbas,pesque.,fisande
21,jabberwocky,19,219,coord,word_absent,La,pasonté,a,malpagé,ce,dévangarteur,et,la,celténier,bolome.,armoumoles
3,simple_sentence,34,34,adj,word_absent,L'île,révèle,des,paysages,incroyables,dès,que,le,soleil,resplendit.,affable
53,consonant_strings,7,1007,consonant_strings,word_absent,Jnssn,r,rfnvdq,grcrtwrf,vzmf,ls,sfsjsj,cbrxv,fd,tbptcbgg.,pqnnq
31,word_list,25,425,word_list,word_absent,Le,le,s'engage,la,abonde,et,gaze,arbitre,dans,fluides.,séparés
55,consonant_strings,2,1002,consonant_strings,word_present,Sv,qhshqfwnqq,glkxscnjm,nc,zqsmctplvbc,cgt,stxjvq,bfsv,vgq,dcp.,stxjvq
43,pseudoword_list,50,350,pseudoword_list,word_absent,Mier,et,le,jourcitin,mouiltervec,au,le,trabafont,voft,braités.,craidique
2,simple_sentence,57,57,coord,word_absent,Le,jeune,homme,bouscule,tout,et,la,vielle,dame,rouspète.,comparable
48,pseudoword_list,30,330,pseudoword_list,word_present,Quarton,les,que,pourténue,atrir,soumons,loude,amarer,les,solie.,soumons
20,jabberwocky,54,254,coord,word_absent,Le,jacolin,inapidu,le,forime,et,le,charsonce,le,sécollame.,colletre
46,pseudoword_list,33,333,pseudoword_list,word_present,Que,le,couqua,mounue,longlontes,sous,aptildille,femparsons,les,ont.,couqua
12,complex_sentence,47,47,ObjRel,word_absent,En,hiver,les,nationales,que,les,autoroutes,dégagées,longent,ferment.,cheval
5,simple_sentence,16,16,cVP,word_present,Cet,accord,pérennise,une,injustice,en,pénalisant,gravement,la,mobilité.,gravement
37,word_list,52,452,word_list,word_present,Son,est,invitent,le,cuit,tairais,joufflu,et,parle,remarier.,invitent
19,complex_sentence,1,1,ObjClef,word_present,Ce,sont,les,marins,que,les,mouettes,agacent,en,criant.,marins
