line,island,space,time,reference_ns,cue,distance,event_ns_1,correct_answer,event_ns_2,correct_answer,event_ns_3,correct_answer,event_ns_4,correct_aswer
19,sn,south,present,dolmens_sous_la_pluie,avant_ou_apres,close,roseaux_pour_offices,after,oiseaux_pour_augures,after,bain_purificateur,before,position_des_astres,before
15,sn,north,present,les_feux_follets_sallument,avant_ou_apres,close,construction_de_radeaux,after,commerce_local,before,discussions_tranquilles,after,onguent_contre_parasite,before
20,sn,south,present,dolmens_sous_la_pluie,avant_ou_apres,far,arc_en_ciel_observe,before,arret_pour_manger,after,retour_au_foyer,after,vivres_charges,before
3,sn,center,past,premier_rituel,avant_ou_apres,close,priere_aux_morts,before,commerce_local,after,arc_en_ciel_observe,before,bain_purificateur,after
18,sn,south,present,dolmens_sous_la_pluie,sud_ou_nord,far,retour_au_foyer,north,roseaux_pour_offices,south,vivres_charges,north,bain_purificateur,south
8,sn,center,present,le_grand_pretre_observe,avant_ou_apres,far,roseaux_pour_offices,after,bain_purificateur,before,discussions_tranquilles,after,commerce_local,before
11,sn,center,future,second_rituel,avant_ou_apres,close,arret_pour_manger,after,roseaux_pour_offices,before,discussions_tranquilles,before,esprit_du_marais,after
17,sn,south,present,dolmens_sous_la_pluie,sud_ou_nord,close,arret_pour_manger,south,arc_en_ciel_observe,south,oiseaux_pour_augures,north,position_des_astres,north
4,sn,center,past,premier_rituel,avant_ou_apres,far,fumee_observee,before,onguent_contre_parasite,after,position_des_astres,after,vivres_charges,before
14,sn,north,present,les_feux_follets_sallument,sud_ou_nord,far,commerce_local,north,procession_terminee,south,fumee_observee,south,discussions_tranquilles,north
6,sn,center,present,le_grand_pretre_observe,sud_ou_nord,far,arc_en_ciel_observe,north,esprit_du_marais,south,priere_aux_morts,south,arret_pour_manger,north
10,sn,center,future,second_rituel,sud_ou_nord,far,retour_au_foyer,north,construction_de_radeaux,south,oiseaux_pour_augures,north,procession_terminee,south
5,sn,center,present,le_grand_pretre_observe,sud_ou_nord,close,roseaux_pour_offices,north,bain_purificateur,north,commerce_local,south,discussions_tranquilles,south
13,sn,north,present,les_feux_follets_sallument,sud_ou_nord,close,construction_de_radeaux,south,onguent_contre_parasite,south,priere_aux_morts,north,esprit_du_marais,north
7,sn,center,present,le_grand_pretre_observe,avant_ou_apres,close,position_des_astres,before,construction_de_radeaux,after,onguent_contre_parasite,before,oiseaux_pour_augures,after
12,sn,center,future,second_rituel,avant_ou_apres,far,retour_au_foyer,after,procession_terminee,after,construction_de_radeaux,before,oiseaux_pour_augures,before
16,sn,north,present,les_feux_follets_sallument,avant_ou_apres,far,procession_terminee,after,fumee_observee,before,priere_aux_morts,before,esprit_du_marais,after
9,sn,center,future,second_rituel,sud_ou_nord,close,arret_pour_manger,north,roseaux_pour_offices,north,discussions_tranquilles,south,esprit_du_marais,south
1,sn,center,past,premier_rituel,sud_ou_nord,close,arc_en_ciel_observe,north,priere_aux_morts,south,bain_purificateur,north,commerce_local,south
2,sn,center,past,premier_rituel,sud_ou_nord,far,onguent_contre_parasite,south,fumee_observee,south,position_des_astres,north,vivres_charges,north
