onset,duration,trial_type,response
0.0155,10.0197,p_startup,other
10.0519,0.4168,cross,other
10.5687,1.5171,6_letters_same,other
12.0858,3.0176,cross,other
16.6039,1.5171,response,hit
18.121,1.5171,blank2,other
19.6548,0.4168,cross,other
20.1716,1.5171,4_letters_different,other
21.6888,3.0176,cross,other
26.2068,1.5171,response,hit
27.7239,2.5174,blank2,other
30.258,0.4168,cross,other
30.7749,1.5171,6_letters_different,other
32.292,3.0176,cross,other
36.81,1.5171,response,hit
38.3272,1.5171,blank2,other
39.861,0.4168,cross,other
40.3778,1.5171,2_letters_different,other
41.8949,3.0176,cross,other
46.413,1.5171,response,hit
47.9301,2.0173,blank2,other
49.9641,0.4168,cross,other
50.4809,1.5171,6_letters_different,other
51.998,3.0176,cross,other
56.5161,1.5171,response,hit
58.0332,4.518,blank2,other
62.5679,0.4168,cross,other
63.0847,1.5171,2_letters_different,other
64.6019,3.0176,cross,other
69.1199,1.5171,response,hit
70.6371,3.5177,blank2,other
74.1715,0.4168,cross,other
74.6883,1.5171,6_letters_same,other
76.2054,3.0176,cross,other
80.7235,1.5171,response,hit
82.2406,4.518,blank2,other
86.7753,0.4168,cross,other
87.2921,1.5171,4_letters_same,other
88.8093,3.0176,cross,other
93.3273,1.5171,response,hit
94.8445,1.017,blank2,other
95.8781,0.4168,cross,other
96.3949,1.5171,2_letters_different,other
97.9121,3.0176,cross,other
102.4301,1.5171,response,hit
103.9472,2.0173,blank2,other
105.9812,0.4168,cross,other
106.498,1.5171,4_letters_same,other
108.0152,3.0176,cross,other
112.5332,1.5171,response,hit
114.0503,3.0176,blank2,other
117.0846,0.4168,cross,other
117.6014,1.5171,4_letters_different,other
119.1185,3.0176,cross,other
123.6366,1.5171,response,hit
125.1537,4.0179,blank2,other
129.1883,0.4168,cross,other
129.7051,1.5171,2_letters_same,other
131.2222,3.0176,cross,other
135.7403,1.5171,response,hit
137.2574,1.017,blank2,other
138.2911,0.4168,cross,other
138.8079,1.5171,6_letters_different,other
140.325,3.0176,cross,other
144.8431,1.5171,response,hit
146.3602,3.0176,blank2,other
149.3945,0.4168,cross,other
149.9113,1.5171,6_letters_same,other
151.4284,3.0176,cross,other
155.9465,1.5171,response,hit
157.4636,1.5171,blank2,other
158.9974,0.4168,cross,other
159.5142,1.5171,6_letters_same,other
161.0314,3.0176,cross,other
165.5494,1.5171,response,hit
167.0665,2.0173,blank2,other
169.1005,0.4168,cross,other
169.6173,1.5171,2_letters_different,other
171.1345,3.0176,cross,other
175.6525,1.5171,response,hit
177.1696,4.0179,blank2,other
181.2042,0.4168,cross,other
181.721,1.5171,2_letters_different,other
183.2381,3.0176,cross,other
187.7562,1.5171,response,hit
189.2733,1.5171,blank2,other
190.8071,0.4168,cross,other
191.324,1.5171,6_letters_same,other
192.8411,3.0176,cross,other
197.3591,1.5171,response,hit
198.8763,2.0173,blank2,other
200.9102,0.4168,cross,other
201.427,1.5171,4_letters_different,other
202.9442,3.0176,cross,other
207.4622,1.5171,response,hit
208.9794,3.0176,blank2,other
212.0136,0.4168,cross,other
212.5304,1.5171,6_letters_same,other
214.0476,3.0176,cross,other
218.5656,1.5171,response,hit
220.0828,4.0179,blank2,other
224.1173,0.4168,cross,other
224.6341,1.5171,2_letters_different,other
226.1513,3.0176,cross,other
230.6693,1.5171,response,hit
232.1865,2.5174,blank2,other
234.7206,0.4168,cross,other
235.2374,1.5171,4_letters_same,other
236.7545,3.0176,cross,other
241.2726,1.5171,response,hit
242.7897,1.017,blank2,other
243.8233,0.4168,cross,other
244.3402,1.5171,6_letters_different,other
245.8573,3.0176,cross,other
250.3753,1.5171,response,hit
251.8925,1.5171,blank2,other
253.4263,0.4168,cross,other
253.9431,1.5171,2_letters_same,other
255.4602,3.0176,cross,other
259.9783,1.5171,response,hit
261.4954,6.0185,blank2,other
267.5306,0.4168,cross,other
268.0474,1.5171,4_letters_same,other
269.5645,3.0176,cross,other
274.0826,1.5171,response,hit
275.5997,4.0179,blank2,other
279.6343,0.4168,cross,other
280.1511,1.5171,4_letters_different,other
281.6682,3.0176,cross,other
286.1863,1.5171,response,hit
287.7034,1.5171,blank2,other
289.2372,0.4168,cross,other
289.7541,1.5171,2_letters_same,other
291.2712,3.0176,cross,other
295.7892,1.5171,response,hit
297.3064,5.0182,blank2,other
302.3412,0.4168,cross,other
302.8581,1.5171,6_letters_different,other
304.3752,3.0176,cross,other
308.8932,1.5171,response,hit
310.4104,1.017,blank2,other
311.444,0.4168,cross,other
311.9608,1.5171,4_letters_same,other
313.478,3.0176,cross,other
317.996,1.5171,response,hit
319.5132,3.0176,blank2,other
322.5474,0.4168,cross,other
323.0642,1.5171,2_letters_same,other
324.5814,3.0176,cross,other
329.0994,1.5171,response,hit
330.6165,6.0185,blank2,other
336.6517,0.4168,cross,other
337.1685,1.5171,2_letters_same,other
338.6857,3.0176,cross,other
343.2037,1.5171,response,hit
344.7209,3.0176,blank2,other
347.7551,0.4168,cross,other
348.2719,1.5171,2_letters_same,other
349.7891,3.0176,cross,other
354.3071,1.5171,response,hit
355.8243,1.5171,blank2,other
357.3581,0.4168,cross,other
357.8749,1.5171,4_letters_different,other
359.392,3.0176,cross,other
363.9101,1.5171,response,hit
365.4272,5.5184,blank2,other
370.9622,0.4168,cross,other
371.479,1.5171,4_letters_different,other
372.9962,3.0176,cross,other
377.5142,1.5171,response,hit
379.0314,4.0179,blank2,other
383.0659,0.4168,cross,other
383.5827,1.5171,6_letters_different,other
385.0999,3.0176,cross,other
389.6179,1.5171,response,hit
391.1351,4.0179,blank2,other
395.1696,0.4168,cross,other
395.6864,1.5171,4_letters_same,other
397.2036,3.0176,cross,other
401.7216,1.5171,response,hit
403.2388,1.5171,blank2,other
