Scenario - loca_lec2
Logfile written - 12/12/2008 11:39:56

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
124	Picture	10	878956	0	1	2011	2	0	2000
125	Picture	20	885995	0	2	2012	3	0	2000
126	Picture	10	893035	0	1	2011	2	0	2000
127	Picture	20	900074	0	1	2011	2	0	2000
128	Picture	10	907113	0	1	2011	2	0	2000
129	Picture	20	914152	0	2	2012	3	0	2000
130	Picture	20	921192	0	1	2011	2	0	2000
131	Picture	10	928231	0	1	2011	2	0	2000
132	Picture	20	935270	0	1	2011	3	0	2000
133	Picture	10	942309	0	2	2012	3	0	2000
134	Picture	20	949349	0	1	2011	2	0	2000
135	Picture	10	956388	0	1	2011	2	0	2000
136	Picture	10	963427	0	1	2011	2	0	2000
137	Picture	20	970466	0	2	2011	4	0	2000
138	Picture	10	977506	0	1	2011	2	0	2000
139	Picture	20	984545	0	1	2011	2	0	2000
140	Picture	20	991584	0	1	2011	2	0	2000
141	Picture	20	998623	0	2	2012	3	0	2000
142	Picture	10	1005663	0	1	2011	2	0	2000
143	Picture	20	1012702	0	1	2011	2	0	2000
144	Picture	10	1019741	0	1	2011	2	0	2000
145	Picture	10	1026780	0	2	2012	3	0	2000
146	Picture	20	1033820	0	1	2011	2	0	2000
147	Picture	10	1040859	0	1	2011	2	0	2000
148	Picture	20	1047898	0	1	2011	2	0	2000
149	Picture	10	1054937	0	2	2012	3	0	2000
150	Picture	10	1061977	0	1	2011	2	0	2000
151	Picture	10	1069016	0	1	2011	2	0	2000
152	Picture	20	1076055	0	1	2011	2	0	2000
153	Picture	20	1083094	0	2	2012	3	0	2000
154	Picture	10	1090133	0	2	2012	3	0	2000
155	Picture	10	1097173	0	1	2011	2	0	2000
156	Picture	10	1104212	0	1	2011	3	0	2000
157	Picture	10	1111251	0	2	2012	3	0	2000
158	Picture	10	1118291	0	1	2011	2	0	2000
159	Picture	20	1125330	0	1	2011	2	0	2000
160	Picture	10	1132369	0	1	2011	3	0	2000
161	Picture	20	1139408	0	2	2012	3	0	2000
162	Picture	20	1146448	0	1	2011	2	0	2000
163	Picture	10	1153487	0	1	2011	2	0	2000
164	Picture	20	1160526	0	1	2011	2	0	2000
165	Picture	10	1167565	0	2	2012	3	0	2000
166	Picture	20	1174605	0	1	2011	2	0	2000
167	Picture	10	1181644	0	1	2011	2	0	2000
168	Picture	20	1188683	0	1	2011	3	0	2000
169	Picture	10	1195722	0	2	2012	3	0	2000
170	Picture	20	1202762	0	1	2011	2	0	2000
171	Picture	10	1209801	0	1	2011	2	0	2000
172	Picture	10	1216840	0	1	2011	3	0	2000
173	Picture	10	1223879	0	2	2012	3	0	2000
174	Picture	20	1230919	0	1	2011	2	0	2000
175	Picture	10	1237958	0	1	2011	2	0	2000
176	Picture	10	1244997	0	1	2011	3	0	2000
177	Picture	20	1252036	0	2	2012	3	0	2000
178	Picture	10	1259076	0	1	2011	2	0	2000
179	Picture	20	1266115	0	1	2011	2	0	2000
180	Picture	10	1273154	0	1	2011	3	0	2000
181	Picture	10	1280193	0	2	2012	4	0	2000
181	Quit		1283159	2966	
