fname,chrom,block,id
color_stimuli/chromatic_010.png,chromatic,0,1
color_stimuli/chromatic_003.png,chromatic,0,2
color_stimuli/chromatic_003.png,chromatic,0,3
color_stimuli/chromatic_020.png,chromatic,0,4
color_stimuli/chromatic_021.png,chromatic,0,5
color_stimuli/chromatic_002.png,chromatic,0,6
color_stimuli/chromatic_014.png,chromatic,0,7
color_stimuli/chromatic_024.png,chromatic,0,8
color_stimuli/chromatic_019.png,chromatic,0,9
color_stimuli/chromatic_013.png,chromatic,0,10
color_stimuli/chromatic_000.png,chromatic,0,11
color_stimuli/chromatic_015.png,chromatic,0,12
color_stimuli/achromatic_017.png,achromatic,1,1
color_stimuli/achromatic_012.png,achromatic,1,2
color_stimuli/achromatic_022.png,achromatic,1,3
color_stimuli/achromatic_022.png,achromatic,1,4
color_stimuli/achromatic_010.png,achromatic,1,5
color_stimuli/achromatic_008.png,achromatic,1,6
color_stimuli/achromatic_011.png,achromatic,1,7
color_stimuli/achromatic_023.png,achromatic,1,8
color_stimuli/achromatic_006.png,achromatic,1,9
color_stimuli/achromatic_013.png,achromatic,1,10
color_stimuli/achromatic_002.png,achromatic,1,11
color_stimuli/achromatic_003.png,achromatic,1,12
color_stimuli/chromatic_005.png,chromatic,2,13
color_stimuli/chromatic_001.png,chromatic,2,14
color_stimuli/chromatic_012.png,chromatic,2,15
color_stimuli/chromatic_018.png,chromatic,2,16
color_stimuli/chromatic_017.png,chromatic,2,17
color_stimuli/chromatic_008.png,chromatic,2,18
color_stimuli/chromatic_023.png,chromatic,2,19
color_stimuli/chromatic_004.png,chromatic,2,20
color_stimuli/chromatic_004.png,chromatic,2,21
color_stimuli/chromatic_009.png,chromatic,2,22
color_stimuli/chromatic_016.png,chromatic,2,23
color_stimuli/chromatic_022.png,chromatic,2,24
color_stimuli/achromatic_003.png,achromatic,3,13
color_stimuli/achromatic_015.png,achromatic,3,14
color_stimuli/achromatic_015.png,achromatic,3,15
color_stimuli/achromatic_019.png,achromatic,3,16
color_stimuli/achromatic_020.png,achromatic,3,17
color_stimuli/achromatic_020.png,achromatic,3,18
color_stimuli/achromatic_005.png,achromatic,3,19
color_stimuli/achromatic_014.png,achromatic,3,20
color_stimuli/achromatic_016.png,achromatic,3,21
color_stimuli/achromatic_007.png,achromatic,3,22
color_stimuli/achromatic_018.png,achromatic,3,23
color_stimuli/achromatic_001.png,achromatic,3,24
