fname,chrom,block,id
color_stimuli/achromatic_102.png,achromatic,0,1
color_stimuli/achromatic_076.png,achromatic,0,2
color_stimuli/achromatic_021.png,achromatic,0,3
color_stimuli/achromatic_215.png,achromatic,0,4
color_stimuli/achromatic_186.png,achromatic,0,5
color_stimuli/achromatic_086.png,achromatic,0,6
color_stimuli/achromatic_134.png,achromatic,0,7
color_stimuli/achromatic_147.png,achromatic,0,8
color_stimuli/achromatic_157.png,achromatic,0,9
color_stimuli/achromatic_090.png,achromatic,0,10
color_stimuli/achromatic_090.png,achromatic,0,11
color_stimuli/achromatic_153.png,achromatic,0,12
color_stimuli/chromatic_165.png,chromatic,1,1
color_stimuli/chromatic_106.png,chromatic,1,2
color_stimuli/chromatic_087.png,chromatic,1,3
color_stimuli/chromatic_076.png,chromatic,1,4
color_stimuli/chromatic_173.png,chromatic,1,5
color_stimuli/chromatic_173.png,chromatic,1,6
color_stimuli/chromatic_008.png,chromatic,1,7
color_stimuli/chromatic_071.png,chromatic,1,8
color_stimuli/chromatic_037.png,chromatic,1,9
color_stimuli/chromatic_152.png,chromatic,1,10
color_stimuli/chromatic_178.png,chromatic,1,11
color_stimuli/chromatic_055.png,chromatic,1,12
color_stimuli/chromatic_192.png,chromatic,2,13
color_stimuli/chromatic_110.png,chromatic,2,14
color_stimuli/chromatic_205.png,chromatic,2,15
color_stimuli/chromatic_045.png,chromatic,2,16
color_stimuli/chromatic_088.png,chromatic,2,17
color_stimuli/chromatic_194.png,chromatic,2,18
color_stimuli/chromatic_137.png,chromatic,2,19
color_stimuli/chromatic_159.png,chromatic,2,20
color_stimuli/chromatic_211.png,chromatic,2,21
color_stimuli/chromatic_007.png,chromatic,2,22
color_stimuli/chromatic_059.png,chromatic,2,23
color_stimuli/chromatic_103.png,chromatic,2,24
color_stimuli/chromatic_199.png,chromatic,3,25
color_stimuli/chromatic_155.png,chromatic,3,26
color_stimuli/chromatic_083.png,chromatic,3,27
color_stimuli/chromatic_115.png,chromatic,3,28
color_stimuli/chromatic_073.png,chromatic,3,29
color_stimuli/chromatic_039.png,chromatic,3,30
color_stimuli/chromatic_089.png,chromatic,3,31
color_stimuli/chromatic_090.png,chromatic,3,32
color_stimuli/chromatic_122.png,chromatic,3,33
color_stimuli/chromatic_096.png,chromatic,3,34
color_stimuli/chromatic_200.png,chromatic,3,35
color_stimuli/chromatic_116.png,chromatic,3,36
color_stimuli/chromatic_125.png,chromatic,4,37
color_stimuli/chromatic_125.png,chromatic,4,38
color_stimuli/chromatic_166.png,chromatic,4,39
color_stimuli/chromatic_134.png,chromatic,4,40
color_stimuli/chromatic_005.png,chromatic,4,41
color_stimuli/chromatic_022.png,chromatic,4,42
color_stimuli/chromatic_180.png,chromatic,4,43
color_stimuli/chromatic_118.png,chromatic,4,44
color_stimuli/chromatic_012.png,chromatic,4,45
color_stimuli/chromatic_179.png,chromatic,4,46
color_stimuli/chromatic_145.png,chromatic,4,47
color_stimuli/chromatic_070.png,chromatic,4,48
color_stimuli/achromatic_125.png,achromatic,5,13
color_stimuli/achromatic_050.png,achromatic,5,14
color_stimuli/achromatic_174.png,achromatic,5,15
color_stimuli/achromatic_108.png,achromatic,5,16
color_stimuli/achromatic_057.png,achromatic,5,17
color_stimuli/achromatic_031.png,achromatic,5,18
color_stimuli/achromatic_078.png,achromatic,5,19
color_stimuli/achromatic_183.png,achromatic,5,20
color_stimuli/achromatic_192.png,achromatic,5,21
color_stimuli/achromatic_192.png,achromatic,5,22
color_stimuli/achromatic_096.png,achromatic,5,23
color_stimuli/achromatic_012.png,achromatic,5,24
color_stimuli/chromatic_150.png,chromatic,6,49
color_stimuli/chromatic_129.png,chromatic,6,50
color_stimuli/chromatic_064.png,chromatic,6,51
color_stimuli/chromatic_044.png,chromatic,6,52
color_stimuli/chromatic_124.png,chromatic,6,53
color_stimuli/chromatic_184.png,chromatic,6,54
color_stimuli/chromatic_074.png,chromatic,6,55
color_stimuli/chromatic_074.png,chromatic,6,56
color_stimuli/chromatic_189.png,chromatic,6,57
color_stimuli/chromatic_109.png,chromatic,6,58
color_stimuli/chromatic_063.png,chromatic,6,59
color_stimuli/chromatic_107.png,chromatic,6,60
color_stimuli/chromatic_092.png,chromatic,7,61
color_stimuli/chromatic_018.png,chromatic,7,62
color_stimuli/chromatic_210.png,chromatic,7,63
color_stimuli/chromatic_015.png,chromatic,7,64
color_stimuli/chromatic_160.png,chromatic,7,65
color_stimuli/chromatic_191.png,chromatic,7,66
color_stimuli/chromatic_144.png,chromatic,7,67
color_stimuli/chromatic_187.png,chromatic,7,68
color_stimuli/chromatic_108.png,chromatic,7,69
color_stimuli/chromatic_033.png,chromatic,7,70
color_stimuli/chromatic_214.png,chromatic,7,71
color_stimuli/chromatic_161.png,chromatic,7,72
color_stimuli/achromatic_062.png,achromatic,8,25
color_stimuli/achromatic_040.png,achromatic,8,26
color_stimuli/achromatic_015.png,achromatic,8,27
color_stimuli/achromatic_135.png,achromatic,8,28
color_stimuli/achromatic_046.png,achromatic,8,29
color_stimuli/achromatic_209.png,achromatic,8,30
color_stimuli/achromatic_119.png,achromatic,8,31
color_stimuli/achromatic_178.png,achromatic,8,32
color_stimuli/achromatic_110.png,achromatic,8,33
color_stimuli/achromatic_161.png,achromatic,8,34
color_stimuli/achromatic_010.png,achromatic,8,35
color_stimuli/achromatic_131.png,achromatic,8,36
color_stimuli/achromatic_137.png,achromatic,9,37
color_stimuli/achromatic_098.png,achromatic,9,38
color_stimuli/achromatic_047.png,achromatic,9,39
color_stimuli/achromatic_001.png,achromatic,9,40
color_stimuli/achromatic_003.png,achromatic,9,41
color_stimuli/achromatic_193.png,achromatic,9,42
color_stimuli/achromatic_185.png,achromatic,9,43
color_stimuli/achromatic_156.png,achromatic,9,44
color_stimuli/achromatic_019.png,achromatic,9,45
color_stimuli/achromatic_212.png,achromatic,9,46
color_stimuli/achromatic_009.png,achromatic,9,47
color_stimuli/achromatic_009.png,achromatic,9,48
color_stimuli/achromatic_075.png,achromatic,10,49
color_stimuli/achromatic_195.png,achromatic,10,50
color_stimuli/achromatic_195.png,achromatic,10,51
color_stimuli/achromatic_188.png,achromatic,10,52
color_stimuli/achromatic_027.png,achromatic,10,53
color_stimuli/achromatic_182.png,achromatic,10,54
color_stimuli/achromatic_037.png,achromatic,10,55
color_stimuli/achromatic_187.png,achromatic,10,56
color_stimuli/achromatic_132.png,achromatic,10,57
color_stimuli/achromatic_162.png,achromatic,10,58
color_stimuli/achromatic_054.png,achromatic,10,59
color_stimuli/achromatic_208.png,achromatic,10,60
color_stimuli/achromatic_088.png,achromatic,11,61
color_stimuli/achromatic_184.png,achromatic,11,62
color_stimuli/achromatic_082.png,achromatic,11,63
color_stimuli/achromatic_196.png,achromatic,11,64
color_stimuli/achromatic_138.png,achromatic,11,65
color_stimuli/achromatic_152.png,achromatic,11,66
color_stimuli/achromatic_023.png,achromatic,11,67
color_stimuli/achromatic_056.png,achromatic,11,68
color_stimuli/achromatic_155.png,achromatic,11,69
color_stimuli/achromatic_060.png,achromatic,11,70
color_stimuli/achromatic_177.png,achromatic,11,71
color_stimuli/achromatic_071.png,achromatic,11,72
color_stimuli/achromatic_006.png,achromatic,12,73
color_stimuli/achromatic_077.png,achromatic,12,74
color_stimuli/achromatic_130.png,achromatic,12,75
color_stimuli/achromatic_127.png,achromatic,12,76
color_stimuli/achromatic_180.png,achromatic,12,77
color_stimuli/achromatic_121.png,achromatic,12,78
color_stimuli/achromatic_121.png,achromatic,12,79
color_stimuli/achromatic_038.png,achromatic,12,80
color_stimuli/achromatic_206.png,achromatic,12,81
color_stimuli/achromatic_124.png,achromatic,12,82
color_stimuli/achromatic_179.png,achromatic,12,83
color_stimuli/achromatic_160.png,achromatic,12,84
color_stimuli/chromatic_025.png,chromatic,13,73
color_stimuli/chromatic_021.png,chromatic,13,74
color_stimuli/chromatic_021.png,chromatic,13,75
color_stimuli/chromatic_029.png,chromatic,13,76
color_stimuli/chromatic_016.png,chromatic,13,77
color_stimuli/chromatic_101.png,chromatic,13,78
color_stimuli/chromatic_075.png,chromatic,13,79
color_stimuli/chromatic_126.png,chromatic,13,80
color_stimuli/chromatic_182.png,chromatic,13,81
color_stimuli/chromatic_154.png,chromatic,13,82
color_stimuli/chromatic_004.png,chromatic,13,83
color_stimuli/chromatic_004.png,chromatic,13,84
