Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,1,3,1,0,177.932,23.97,-153.962,None,83.407992,88.974744,None,None,104.006030,1.342408
2,1,0,2,0,251.599,42.779,151.18,None,106.540036,111.420369,None,None,126.462650,3.324086
3,1,0,0,0,72.393,42.779,-29.614,None,131.009278,135.711025,None,None,150.724640,3.308093
4,1,1,1,0,185.802,5.673,179.871,None,155.318905,160.682604,None,None,175.788441,1.309637
5,1,3,0,1,87.519,267.238,179.719,None,178.358663,183.685322,None,None,198.819724,3.717560
6,1,3,3,0,356.821,23.97,27.149,None,203.832481,209.108039,None,None,224.241493,2.748176
7,1,1,3,1,8.01,242.143,-125.866,None,228.240334,233.599019,None,None,248.671691,2.317247
8,1,2,0,0,74.712,1.098,-73.614,None,252.246982,257.488347,None,None,272.501560,2.191747
9,2,1,2,3,273.702,148.822,-124.88,0,275.878407,281.254112,None,None,296.346575,1.626147
9,2,1,3,2,8.01,48.517,40.507,0,299.218708,304.540885,None,None,319.641211,1.963805
9,2,2,3,2,345.018,27.5,42.481,0,322.835698,328.094965,None,None,343.230015,4.844308
9,2,0,0,0,72.393,213.264,140.871,0,349.302298,354.721383,None,None,369.866861,2.176910
9,1,1,1,0,185.802,5.673,179.871,None,561.236220,566.422559,None,None,581.541703,4.739977
10,1,3,3,1,356.821,267.238,-89.583,None,587.450747,592.906230,None,None,607.972151,4.054657
11,1,2,3,0,345.018,1.098,16.08,None,613.284701,618.764960,None,None,633.856064,2.250643
12,1,0,3,1,341.687,230.29,-111.397,None,637.346499,642.519731,None,None,657.564642,2.358883
13,1,3,0,0,87.519,23.97,-63.549,None,661.177472,666.270168,None,None,681.356745,2.752767
14,1,1,0,1,86.89,242.143,155.253,None,685.342920,689.972554,None,None,705.089585,3.917324
15,1,2,2,0,259.8,1.098,101.298,None,710.199450,715.746512,None,None,730.788293,2.930427
16,1,3,2,0,266.607,23.97,117.363,None,735.008483,740.343346,None,None,755.379580,3.621178
17,2,2,2,3,259.8,133.004,-126.796,0,760.257024,764.965552,None,None,780.028787,2.981273
17,2,3,0,1,87.519,316.33,-131.189,0,784.280945,789.019759,None,None,804.092911,4.662870
17,2,3,3,2,356.821,41.458,44.637,0,810.038771,815.329476,None,None,830.411567,4.443604
17,2,3,1,2,177.932,41.458,-136.475,0,836.144275,841.196517,None,None,856.231117,3.020370
Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,1,3,1,0,177.932,23.97,-153.962,None,140.414426,145.899163,None,None,161.011250,4.810163
2,1,0,2,0,238.538,42.779,164.241,None,167.104525,171.825723,174.621630,2.795907,174.636338,3.243829
3,1,0,0,0,72.393,42.779,-29.614,None,179.096267,184.788887,None,None,199.827789,4.412746
4,1,1,1,0,185.802,5.673,179.871,None,205.460825,210.381561,None,None,225.490941,1.959496
5,1,3,0,1,87.519,267.238,179.719,None,228.680453,233.354801,None,None,248.451763,1.254197
6,1,3,3,0,356.821,23.97,27.149,None,250.960760,256.484260,None,None,271.590297,4.830607
7,1,1,3,1,8.01,242.143,-125.866,None,277.654948,282.357027,None,None,297.463016,4.107333
8,1,2,0,0,74.712,1.098,-73.614,None,302.819525,307.719502,None,None,322.802115,4.870748
9,2,1,2,3,273.702,148.822,-124.88,0,328.903282,334.483496,None,None,349.659210,4.809958
