Number,999
Initials,[]
Gender,[]
Age,[]
Data type,Time,sPos (x),sPos (y), sPos(z),View Angle,jPos (x),jPos (z)
POSITION,0.054806,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.071454,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.088671,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.105654,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.122353,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.139105,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.155862,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.172943,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.189821,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.206268,0.000,1.800,-0.000,90.000,0.000,-0.000
EVENT,0.219072,Test started
EVENT,0.222122,Start displaying intro screen
EVENT,0.233820,"['Starting control trial', '[3, 2, 1]']"
EVENT,0.234708,"['Setting viewpoint position to', '[-4.174, 0.146, -29.425]']"
EVENT,0.235391,Rotating to intersection center
POSITION,0.363625,-4.174,1.946,-29.425,90.000,0.000,-0.000
EVENT,0.429237,"['Displaying control cue to target', '31']"
POSITION,0.430036,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.482139,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.526720,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.571611,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.625133,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.670814,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.716910,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.763737,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.808064,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.852205,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.897125,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.954327,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.002521,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.046829,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.101083,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.145155,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.189497,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.233733,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.279702,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.323860,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.368228,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.415611,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.465197,-4.174,1.946,-29.425,183.393,0.000,-0.000
EVENT,1.465754,"['Moving subject to center of intersection', '[-24.126, 0.172, -30.608]']"
POSITION,1.516702,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.560394,-4.393,1.946,-29.438,183.393,0.000,-0.000
POSITION,1.604485,-4.612,1.947,-29.451,183.393,0.000,-0.000
POSITION,1.647606,-4.828,1.947,-29.464,183.393,0.000,-0.000
POSITION,1.691570,-5.047,1.947,-29.477,183.393,0.000,-0.000
POSITION,1.736325,-5.270,1.947,-29.490,183.393,0.000,-0.000
POSITION,1.779292,-5.484,1.948,-29.503,183.393,0.000,-0.000
POSITION,1.824280,-5.709,1.948,-29.516,183.393,0.000,-0.000
POSITION,1.867817,-5.926,1.948,-29.529,183.393,0.000,-0.000
POSITION,1.911453,-6.144,1.949,-29.542,183.393,0.000,-0.000
POSITION,1.955248,-6.362,1.949,-29.555,183.393,0.000,-0.000
POSITION,1.998433,-6.577,1.949,-29.568,183.393,0.000,-0.000
POSITION,2.049341,-6.831,1.949,-29.583,183.393,0.000,-0.000
