Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,2,3,2,1,266.607,316.33,49.723,0,1.431732,6.559165,6.631221,0.072056,6.641996,2.625226
1,1,0,1,0,152.067,42.779,-109.289,None,196.889193,201.798628,None,None,217.030022,4.708988
2,1,2,3,1,345.018,264.027,-80.991,None,223.176357,228.253175,None,None,243.484454,3.057478
3,1,1,1,0,185.802,5.673,179.871,None,248.017030,253.164346,None,None,268.303077,2.164924
4,1,3,3,0,356.821,23.97,27.149,None,271.819422,277.488505,None,None,292.620957,4.251287
5,1,1,2,1,273.702,242.143,-31.559,None,298.263121,303.896241,None,None,319.077277,1.961366
6,1,1,0,0,86.89,5.673,-81.217,None,322.323742,327.692582,None,None,342.822978,4.651375
7,1,3,0,1,87.519,267.238,179.719,None,348.851265,354.131772,None,None,369.277650,3.062350
8,1,1,1,1,185.802,242.143,56.341,None,373.764553,378.802096,None,None,393.832149,2.870922
9,2,0,2,0,251.599,213.264,-38.335,0,398.085800,403.776858,None,None,418.873904,2.999603
9,2,2,1,3,166.776,133.004,-33.772,0,423.217887,428.117376,None,None,443.317589,1.287656
9,2,3,1,2,177.932,41.458,-136.475,0,445.959789,450.799254,None,None,465.863703,3.796111
9,2,2,3,0,345.018,207.599,-137.419,0,471.020591,476.166808,None,None,491.231603,4.671658
