Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,1,0,0,1,72.393,230.29,157.897,None,67.718201,72.485474,73.717632,1.232158,73.720253,3.160684
2,1,0,3,0,341.687,42.779,61.092,None,78.093962,82.969447,83.767519,0.798072,83.769858,4.924197
3,1,2,0,0,74.712,1.098,-73.614,None,89.875932,95.166251,95.376575,0.210324,95.379235,2.467585
4,1,1,3,1,8.01,242.143,-125.866,None,98.997210,104.149218,104.616557,0.467339,104.619228,1.978170
5,1,3,1,1,177.932,267.238,89.306,None,107.748768,112.921292,113.394563,0.473271,113.396939,2.109393
6,1,3,0,0,87.519,23.97,-63.549,None,116.649964,121.242263,121.762940,0.520677,121.765471,2.846454
7,1,3,2,1,266.607,267.238,0.631,None,125.791386,131.034197,131.650096,0.615899,131.655331,2.090541
8,1,3,3,1,356.821,267.238,-89.583,None,134.892302,140.010958,140.701207,0.690249,140.704470,4.451623
9,2,3,2,1,266.607,316.33,49.723,0,146.339509,151.852727,161.395233,9.542506,161.397224,1.695136
9,2,3,0,1,87.519,316.33,-131.189,0,164.211493,169.112097,170.890022,1.777925,170.892022,2.256336
9,2,2,1,1,166.776,287.922,121.146,0,174.254863,179.733888,183.594963,3.861075,183.597090,4.522567
9,2,0,1,3,152.067,128.161,-23.907,1,189.278185,194.779786,195.214549,0.434763,195.217140,2.585502
Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,1,0,0,1,72.393,230.29,157.897,None,66.704422,71.805379,72.783449,0.978070,72.786538,4.978943
2,1,0,3,0,341.687,42.779,61.092,None,78.925787,83.856105,86.519051,2.662946,86.521507,3.599863
3,1,2,0,0,74.712,1.098,-73.614,None,91.292427,96.661963,97.890264,1.228301,97.892805,3.820866
4,1,1,3,1,8.01,242.143,-125.866,None,102.842567,108.300285,110.854173,2.553888,110.856958,2.699732
5,1,3,1,1,177.932,267.238,89.306,None,114.708178,119.822999,124.990237,5.167238,124.996122,3.830215
6,1,3,0,0,87.519,23.97,-63.549,None,129.959077,134.694435,136.728658,2.034223,136.731752,4.230885
7,1,3,2,1,266.607,267.238,0.631,None,142.089370,147.385535,148.744793,1.359258,148.748081,3.842226
8,1,3,3,1,356.821,267.238,-89.583,None,153.723436,158.761990,162.120840,3.358850,162.123573,4.590285
9,2,3,2,1,266.607,316.33,49.723,0,167.871141,173.137173,173.662599,0.525426,173.664010,1.535122
9,2,3,0,1,87.519,316.33,-131.189,0,176.311213,181.903896,182.272995,0.369099,182.274922,2.716847
9,2,2,1,1,166.776,287.922,121.146,0,186.140614,191.443739,191.663170,0.219431,191.665267,2.448233
9,2,0,1,3,152.067,128.161,-23.907,1,195.292464,200.540685,200.930928,0.390243,200.933021,1.174989
Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,1,0,0,1,72.393,230.29,157.897,None,62.385613,67.405418,67.511030,0.105612,67.513820,2.905483
2,1,0,3,0,341.687,42.779,61.092,None,71.593629,77.030566,77.191753,0.161187,77.194865,2.919978
3,1,2,0,0,74.712,1.098,-73.614,None,81.276068,86.598620,86.639981,0.041361,86.641996,2.101320
4,1,1,3,1,8.01,242.143,-125.866,None,89.878174,95.109029,95.192360,0.083331,95.195137,3.918095
5,1,3,1,1,177.932,267.238,89.306,None,100.263718,105.496178,107.032816,1.536638,107.036405,4.372057
6,1,3,0,0,87.519,23.97,-63.549,None,112.578785,117.923632,118.297629,0.373997,118.300080,1.543353
7,1,3,2,1,266.607,267.238,0.631,None,120.975059,125.811208,127.229652,1.418444,127.233868,1.764755
8,1,3,3,1,356.821,267.238,-89.583,None,130.142753,135.351775,136.896959,1.545184,136.899496,3.166404
9,2,3,2,1,266.607,316.33,49.723,0,141.215269,146.529651,146.894078,0.364427,146.895582,4.347936
9,2,3,0,1,87.519,316.33,-131.189,0,152.373232,156.978434,157.907268,0.928834,157.909289,4.299109
9,2,2,1,1,166.776,287.922,121.146,0,163.340653,168.314524,168.752936,0.438412,168.755654,1.828396
9,2,0,1,3,152.067,128.161,-23.907,1,171.744211,176.858574,177.290598,0.432024,177.292616,2.657830
