Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,1,3,2,0,266.607,23.97,117.363,None,9.183598,14.393552,None,None,29.496270,4.751638
2,1,3,3,0,356.821,23.97,27.149,None,35.532075,40.584697,None,None,55.644605,4.753313
3,1,2,2,1,259.8,264.027,4.227,None,61.692282,67.219556,None,None,82.246351,2.942585
4,1,0,1,0,152.067,42.779,-109.289,None,86.463364,91.353790,None,None,106.422742,4.273661
5,1,2,3,1,345.018,264.027,-80.991,None,111.968011,117.605854,None,None,132.673358,2.368479
6,1,2,0,1,74.712,264.027,-170.685,None,136.240525,141.324036,None,None,156.351704,3.836211
7,1,3,2,0,266.607,23.97,117.363,None,161.409312,166.211268,None,None,181.298812,3.641371
8,1,1,2,1,273.702,242.143,-31.559,None,186.208416,191.018525,None,None,206.084664,3.682706
9,2,1,0,3,86.89,148.822,61.932,0,211.047677,215.684010,None,None,230.737280,1.076761
9,2,2,1,0,166.776,207.599,40.823,0,232.990493,237.709985,None,None,252.751210,1.235658
9,2,0,3,2,341.687,27.003,45.316,0,255.230830,260.825457,None,None,275.846069,4.264546
9,2,3,3,0,356.821,225.759,-131.062,0,281.295072,286.199933,None,None,301.303369,1.677803
9,1,0,3,1,341.687,230.29,-111.397,None,492.145952,497.579013,None,None,512.644673,2.023661
10,1,1,1,1,185.802,242.143,56.341,None,515.839307,520.938508,None,None,535.974366,4.310490
11,1,2,3,0,345.018,1.098,16.08,None,541.496643,546.976521,None,None,561.994307,2.901630
12,1,2,2,0,259.8,1.098,101.298,None,566.137837,571.422534,None,None,586.499695,1.520522
13,1,3,3,1,356.821,267.238,-89.583,None,589.197988,594.281073,None,None,609.413178,2.650678
14,1,2,0,0,74.712,1.098,-73.614,None,613.345240,618.163431,None,None,633.239650,1.297619
15,1,0,1,1,152.067,230.29,78.222,None,635.784470,640.994198,None,None,656.059484,3.295335
16,1,0,0,0,72.393,42.779,-29.614,None,660.650600,666.010925,None,None,681.069599,4.349096
17,2,3,2,2,266.607,41.458,134.851,0,686.663003,692.133644,None,None,707.219325,2.625849
17,2,1,2,0,273.702,231.509,-42.193,0,711.069849,716.201808,None,None,731.304649,4.811753
17,2,0,2,0,251.599,213.264,-38.335,0,737.280183,742.523561,None,None,757.546851,3.111241
17,2,2,3,3,345.018,133.004,147.986,0,761.940037,767.446035,None,None,782.500280,2.518807
17,1,1,2,0,273.702,5.673,91.97,None,998.491598,1003.175993,None,None,1018.297148,1.923620
18,1,0,2,1,251.599,230.29,-21.309,None,1021.424033,1026.333713,None,None,1041.388930,4.319796
19,1,2,2,0,259.8,1.098,101.298,None,1046.950495,1051.779409,None,None,1066.878265,4.187788
20,1,3,1,0,177.932,23.97,-153.962,None,1072.301294,1076.986260,None,None,1092.009084,1.144993
21,1,1,1,0,185.802,5.673,179.871,None,1094.369808,1099.318935,None,None,1114.371817,4.835899
22,1,1,3,0,8.01,5.673,-2.337,None,1120.430004,1126.011533,None,None,1141.052614,1.392194
23,1,3,1,1,177.932,267.238,89.306,None,1143.611894,1148.580955,None,None,1163.633908,1.788919
24,1,1,2,0,273.702,5.673,91.97,None,1166.671333,1171.578522,None,None,1186.703241,3.132061
25,2,2,0,3,74.712,133.004,58.292,0,1191.070730,1195.744264,None,None,1210.793915,3.401102
25,2,3,1,2,177.932,41.458,-136.475,0,1215.374803,1220.420745,None,None,1235.468334,4.475393
25,2,1,1,2,185.802,48.517,-137.285,0,1241.209562,1246.460335,None,None,1261.482790,3.619793
25,2,0,2,2,251.599,27.003,135.404,0,1266.321935,1271.099199,None,None,1286.126648,3.661209
25,1,0,3,0,341.687,42.779,61.092,None,1491.484052,1496.569442,None,None,1511.628152,4.429110
26,1,1,3,1,8.01,242.143,-125.866,None,1517.250969,1522.123632,None,None,1537.181542,3.013938
