Number,88
Data type,Time,sPos (x),sPos (y), sPos(z),View Angle,jPos (x),jPos (z)
POSITION,0.373337,0.000,1.800,-0.000,90.000,0.000,-0.000
EVENT,0.377811,Familiarisation started
EVENT,0.378152,Start displaying intro screen
POSITION,0.429298,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.465894,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.507782,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.548721,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.587897,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.628755,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.676933,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.724626,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.773589,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.827222,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.875282,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.929287,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.965559,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.008234,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.047408,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.088395,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.131717,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.175224,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.214432,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.256481,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.296097,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.334106,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.376696,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.427958,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.468879,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.510852,0.000,1.800,-0.000,90.000,0.000,-0.000
