Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,1,2,3,1,85.412,264.027,178.615,None,187.617073,192.974278,196.073685,3.099407,196.092792,2.355214
2,1,2,0,1,74.712,264.027,-170.685,None,199.692221,204.443497,204.792912,0.349415,204.813011,3.430253
3,1,0,1,0,70.456,42.779,-27.677,None,209.486118,214.406368,218.815314,4.408946,218.834667,4.526903
4,1,2,1,1,349.242,264.027,-85.215,None,224.585180,229.460736,237.244968,7.784232,237.261917,4.304650
5,1,0,3,0,341.687,42.779,61.092,None,242.790767,248.020228,248.440585,0.420357,248.457844,2.893835
6,1,3,1,0,177.932,23.97,-153.962,None,252.592211,257.978502,258.117170,0.138668,258.143561,4.806302
7,1,2,2,0,345.4,1.098,15.698,None,264.207341,269.326838,273.372485,4.045647,273.392047,4.497837
8,1,3,0,1,178.093,267.238,89.145,None,279.147976,284.094326,288.129969,4.035643,288.149567,4.084879
9,2,1,1,1,319.962,330.706,10.744,1,293.451414,298.829978,302.188786,3.358808,302.199149,3.845949
9,2,0,3,2,24.722,27.003,2.281,1,307.240411,312.233739,313.579391,1.345652,313.589354,4.617452
9,2,1,0,3,141.37,148.822,7.453,1,319.422409,324.118350,325.708971,1.590621,325.721967,2.460946
9,2,2,2,3,259.8,133.004,-126.796,0,329.423488,334.899893,334.991408,0.091515,335.002306,2.467373
9,1,1,2,0,273.702,5.673,91.97,None,753.307440,758.504220,759.803015,1.298795,759.823990,4.984425
10,1,0,1,0,224.394,42.779,178.385,None,765.971799,771.450934,773.895604,2.444670,773.913461,2.964090
11,1,1,1,0,185.802,5.673,179.871,None,778.106758,782.894345,782.975021,0.080676,782.990776,3.257970
12,1,2,3,0,53.302,1.098,-52.203,None,787.538035,792.375478,795.231917,2.856439,795.248311,1.157781
13,1,0,2,1,67.483,230.29,162.807,None,797.619410,802.254982,807.612526,5.357544,807.631457,3.494810
14,1,2,1,0,240.673,1.098,120.425,None,812.342931,817.988499,820.678198,2.689699,820.697558,2.718237
15,1,3,3,1,92.723,267.238,174.515,None,824.642402,829.739503,832.923482,3.183979,832.938224,1.565675
16,1,2,2,0,163.099,1.098,-162.0,None,835.720477,840.643089,847.423206,6.780117,847.440376,2.244746
17,2,3,1,2,37.659,41.458,3.798,1,850.927826,856.446352,865.024357,8.578005,865.032081,3.715506
17,2,0,2,0,216.697,213.264,-3.434,1,869.935665,874.861040,876.281152,1.420112,876.290461,1.660960
17,2,1,3,0,222.788,231.509,8.722,1,879.160052,883.940222,888.105103,4.164881,888.113413,1.366172
17,2,1,1,2,56.362,48.517,-7.845,1,890.686434,896.299591,900.900613,4.601022,900.911125,3.613728
17,1,1,0,0,5.963,5.673,-0.291,None,1315.813164,1321.252719,1323.569722,2.317003,1323.589551,3.774123
18,1,0,0,0,165.924,42.779,-123.145,None,1328.572714,1333.829473,1337.249454,3.419981,1337.266670,2.707742
19,1,3,3,0,269.757,23.97,114.213,None,1341.186491,1345.951969,1349.779259,3.827290,1349.797939,1.093312
20,1,0,3,1,142.327,230.29,87.963,None,1352.126445,1356.820255,1361.807179,4.986924,1361.823040,1.649319
21,1,1,2,1,273.702,242.143,-31.559,None,1364.742343,1369.723064,1369.882345,0.159281,1369.900301,2.870540
22,1,3,1,1,89.109,267.238,178.13,None,1373.993787,1378.729961,1382.524842,3.794881,1382.540576,1.408024
23,1,3,0,0,272.111,23.97,111.859,None,1385.167497,1390.785478,1396.017146,5.231668,1396.036910,2.304172
24,1,0,2,0,334.611,42.779,68.167,None,1399.544050,1404.774073,1407.781297,3.007224,1407.802432,4.675523
25,2,2,3,0,200.178,207.599,7.421,1,1413.683719,1419.175779,1424.698920,5.523141,1424.710973,4.594519
25,2,3,3,1,314.031,316.33,2.299,1,1430.533178,1435.209620,1436.644685,1.435065,1436.654600,2.899641
25,2,2,0,2,39.335,27.5,-11.835,1,1440.761862,1445.948910,1446.975519,1.026609,1446.983535,4.644693
25,2,3,1,1,308.144,316.33,8.186,1,1452.890201,1457.537610,1460.881684,3.344074,1460.893235,2.045990
25,1,3,1,0,88.212,23.97,-64.242,None,1869.844012,1874.923289,1877.649169,2.725880,1877.667327,1.821986
26,1,1,0,1,8.905,242.143,-126.762,None,1880.757826,1885.778792,1895.818194,10.039402,1895.834882,2.113345
27,1,1,2,1,4.442,242.143,-122.299,None,1899.145819,1904.349104,1907.254736,2.905632,1907.273360,4.065071
28,1,0,0,1,336.689,230.29,-106.4,None,1912.613001,1918.027553,1921.424437,3.396884,1921.447173,2.308400
29,1,3,2,1,266.607,267.238,0.631,None,1925.001510,1930.306640,1930.375691,0.069051,1930.393078,4.439523
30,1,3,0,0,178.011,23.97,-154.041,None,1936.021296,1941.301489,1943.833826,2.532337,1943.854352,2.310876
31,1,1,1,1,7.731,242.143,-125.588,None,1947.403466,1952.341146,1956.896410,4.555264,1956.914090,4.747353
32,1,2,3,1,260.939,264.027,3.088,None,1962.988563,1967.882550,1971.991451,4.108901,1972.008709,4.510079
