Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,2,3,2,1,313.415,316.33,2.915,1,1.392201,6.579804,8.144642,1.564838,8.146022,2.292706
1,1,3,0,0,289.027,23.97,94.943,None,243.448849,248.255604,254.280353,6.024749,254.283642,4.101279
2,1,3,1,0,333.043,23.97,50.927,None,259.528758,264.848428,271.159378,6.310950,271.162223,2.140198
3,1,2,2,0,264.823,1.098,96.275,None,274.491847,280.095607,287.895110,7.799503,287.898332,2.474944
4,1,0,3,1,65.219,230.29,165.07,None,291.488231,296.451082,300.010998,3.559916,300.013730,2.641195
5,1,3,2,1,268.989,267.238,-1.751,None,303.806084,308.452919,312.085131,3.632212,312.088447,1.741962
6,1,3,3,0,255.223,23.97,128.747,None,314.933666,319.741242,322.084828,2.343586,322.088605,3.396124
7,1,3,0,1,270.105,267.238,-2.866,None,326.606934,332.081369,337.416068,5.334699,337.419362,3.410280
8,1,2,1,0,356.041,1.098,5.057,None,341.980239,347.345354,353.112085,5.766731,353.114907,1.546465
9,2,1,2,2,52.204,48.517,-3.687,1,355.774103,360.979644,364.103205,3.123561,364.104231,4.100504
9,2,1,0,3,148.284,148.822,0.538,1,369.358755,374.079706,375.491283,1.411577,375.492254,3.999159
9,2,3,0,0,226.187,225.759,-0.428,1,380.633431,386.154747,389.287154,3.132407,389.289090,1.293945
9,2,2,2,2,32.766,27.5,-5.266,1,391.742384,396.403632,399.404711,3.001079,399.405766,1.284115
9,1,0,2,0,72.454,42.779,-29.675,None,797.695058,802.908985,807.785085,4.876100,807.787912,3.538719
10,1,3,0,0,355.182,23.97,28.789,None,812.506792,817.675059,821.501969,3.826910,821.504846,1.530788
11,1,0,0,1,176.593,230.29,53.697,None,824.158347,829.176364,832.076358,2.899994,832.081443,3.548355
12,1,3,1,1,270.876,267.238,-3.638,None,836.763117,842.338257,844.720243,2.381986,844.723524,4.052175
13,1,2,3,0,256.064,1.098,105.034,None,849.977397,855.313118,862.045001,6.731883,862.048240,2.660979
14,1,1,0,1,185.841,242.143,56.302,None,865.858807,871.243979,875.147782,3.903803,875.150872,1.417967
15,1,0,3,1,257.615,230.29,-27.325,None,877.706434,882.993259,885.501137,2.507878,885.504637,4.832550
16,1,3,2,0,90.395,23.97,-66.425,None,891.487876,896.855747,906.340868,9.485121,906.344253,2.549403
17,2,3,3,2,44.268,41.458,-2.81,1,909.994369,914.947384,916.055886,1.108502,916.056874,3.339959
17,2,0,3,0,205.116,213.264,8.148,1,920.523712,925.562956,928.646813,3.083857,928.647848,4.352651
17,2,1,2,1,332.575,330.706,-1.869,1,934.156080,939.598964,941.108372,1.509408,941.109395,2.111998
17,2,2,2,3,127.543,133.004,5.461,1,944.387888,949.195048,952.217224,3.022176,952.218266,4.427697
