Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,1,2,2,1,129.837,264.027,134.19,None,183.491552,188.957447,193.355898,4.398451,193.358548,1.506719
2,1,1,0,0,40.534,5.673,-34.861,None,196.060765,201.707131,208.946491,7.239360,208.948358,2.571682
3,1,0,2,0,189.596,42.779,-146.818,None,212.708729,217.553962,224.840341,7.286379,224.842105,4.185235
4,1,1,2,1,273.702,242.143,-31.559,None,230.288548,235.372897,235.455929,0.083032,235.459023,3.977529
5,1,2,1,0,304.575,1.098,56.523,None,240.722320,245.550105,250.985617,5.435512,250.988786,1.051243
6,1,0,2,1,288.402,230.29,-58.113,None,253.248091,258.346542,267.227242,8.880700,267.232290,1.280480
7,1,2,2,1,318.043,264.027,-54.016,None,269.798548,274.754386,284.791505,10.037119,284.793537,2.284936
8,1,3,2,1,224.569,267.238,42.669,None,288.381789,293.424272,301.210816,7.786544,301.214117,1.415232
9,2,2,1,2,32.872,27.5,-5.372,1,303.863910,309.441180,313.018522,3.577342,313.019450,3.123761
9,2,1,2,2,41.719,48.517,6.797,1,317.372157,322.860209,326.203809,3.3436,326.204711,4.882273
9,2,1,1,0,230.29,231.509,1.22,1,332.361504,337.063112,338.885951,1.822839,338.886870,1.146625
9,2,2,3,2,28.523,27.5,-1.023,1,341.325929,346.740589,348.556345,1.815756,348.557618,4.543519
9,1,1,2,0,48.994,5.673,-43.321,None,783.691919,789.117337,792.963664,3.846327,792.965919,1.826161
10,1,0,0,0,128.514,42.779,-85.736,None,795.989436,801.237665,803.542115,2.304450,803.544088,3.559349
11,1,2,1,0,61.101,1.098,-60.003,None,808.366386,813.792771,820.508616,6.715845,820.514142,1.648091
12,1,0,3,1,125.269,230.29,105.021,None,823.401588,828.766316,834.105236,5.338920,834.107125,2.015956
13,1,3,1,0,128.876,23.97,-104.905,None,837.349743,842.700174,849.886997,7.186823,849.889159,3.013178
14,1,2,2,0,130.728,1.098,-129.63,None,854.138131,859.754592,865.414685,5.660093,865.417509,4.001730
15,1,3,3,0,141.044,23.97,-117.073,None,870.565312,875.249972,878.940469,3.690497,878.943197,2.208892
16,1,2,3,0,216.38,1.098,144.718,None,882.337079,887.787598,894.148618,6.361020,894.154211,1.399042
17,2,3,2,3,134.791,136.796,2.005,1,896.735995,901.589513,904.957107,3.367594,904.959552,1.916834
17,2,1,0,3,125.257,148.822,23.565,1,908.220899,913.498968,914.935857,1.436889,914.939752,4.685129
17,2,3,3,2,26.354,41.458,15.104,1,920.899731,925.669787,926.939851,1.270064,926.943109,2.700518
17,2,1,2,1,310.949,330.706,19.756,1,930.911167,936.449873,937.794673,1.3448,937.795637,1.031576
17,1,3,1,1,42.123,267.238,-134.885,None,1344.352746,1349.480261,1354.881453,5.401192,1354.883325,3.169718
18,1,3,3,1,59.272,267.238,-152.033,None,1359.295808,1364.732977,1372.560105,7.827128,1372.561705,3.400190
19,1,2,0,0,299.857,1.098,61.241,None,1377.197194,1382.274583,1388.558020,6.283437,1388.560389,2.187657
20,1,0,3,0,116.601,42.779,-73.823,None,1391.963501,1397.247272,1400.853042,3.605770,1400.855824,2.670227
21,1,0,1,0,120.166,42.779,-77.387,None,1404.833990,1410.129377,1411.512827,1.383450,1411.514782,3.664144
